
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h31m17s643ms,-0.099975586,9.761612,-0.009735107,0.23838806,-0.009963989,4.272461E-4,-0.010360718
10h31m17s717ms,-0.10903931,9.758362,-0.022521973,0.12081909,-0.0022125244,0.0030822754,-0.0033416748
10h31m17s803ms,-0.11352539,9.753799,-0.013549805,0.08206686,0.0066986084,-3.6621094E-4,0.008865356
10h31m17s869ms,-0.09989929,9.777435,-0.045074463,0.06745911,-0.00440979,8.087158E-4,-0.0015411377
10h31m17s931ms,-0.09603882,9.764282,-0.012619019,0.0565979,-0.0043640137,-2.593994E-4,-0.0043182373
10h31m18s9ms,-0.115753174,9.76387,-0.0047302246,0.009002686,0.0050354004,-9.613037E-4,0.0035247803
10h31m18s106ms,-0.08654785,9.767883,-0.050720215,0.009155273,0.0022125244,-2.593994E-4,1.5258789E-5
10h31m18s160ms,-0.114151,9.770737,-0.03967285,0.008813476,-0.003753662,-1.9836426E-4,-0.009353638
10h31m18s223ms,-0.12471008,9.762283,-0.0059814453,0.0057769776,0.012145996,0.0037384033,0.0016479492
10h31m18s294ms,-0.103775024,9.783997,-0.05458069,0.0074890135,-0.021728516,-6.1035156E-5,0.005935669
10h31m18s369ms,-0.035125732,9.750992,0.08047485,0.014007568,0.027496338,-0.0013122559,0.01133728
10h31m18s437ms,-0.15312195,9.7625885,-0.13061523,0.015524292,-0.002380371,-0.0154418945,-0.023727417
10h31m18s512ms,-0.05142212,9.799133,-0.060836792,0.022262573,0.056610107,0.68717957,0.008056641
10h31m18s587ms,-0.18328857,9.828781,0.016601563,0.026501466,0.056137085,1.2971802,-0.21203613
10h31m18s657ms,-1.4683228,9.499786,-1.2134857,0.08795776,-0.04727173,0.15544128,0.36631775
10h31m18s732ms,0.23324585,9.648102,-0.44702148,0.111019894,0.02746582,-0.017959595,-0.052444458
10h31m18s819ms,-0.41011047,9.686478,-0.2462616,0.11637573,-0.09944153,0.009841919,0.08682251
10h31m18s884ms,-0.032226563,9.771408,-0.06274414,0.12605286,0.02243042,-0.0056762695,-0.0158844
10h31m18s946ms,-0.088775635,9.777145,-0.09410095,0.12127075,-0.0041503906,0.0034637451,0.0038146973
10h31m19s18ms,-0.18798828,9.761185,-0.10644531,0.058663942,0.025375366,-0.008834839,9.0026855E-4
10h31m19s88ms,-0.09132385,9.795624,0.025039673,0.035888672,-0.014160156,0.002609253,0.0
10h31m19s162ms,-0.1421814,9.764877,-0.111831665,0.034362793,-0.0011749268,-0.0032653809,-0.0018157959
10h31m19s236ms,-0.1186676,9.761505,0.054092407,0.018051147,0.0013275146,-1.9836426E-4,0.0023345947
10h31m19s307ms,-0.1400299,9.766525,-0.069610596,0.017907714,1.0681152E-4,-0.0015716553,0.0013885498
10h31m19s385ms,-0.15184021,9.755386,0.004714966,0.01694336,0.08811951,-0.0105896,0.07244873
10h31m19s457ms,-0.43621826,9.724182,0.16862488,0.016296387,0.028640747,-0.13258362,0.029830933
10h31m19s521ms,-0.09262085,9.757263,-0.08093262,0.016763305,0.010772705,0.0033721924,0.025680542
10h31m19s595ms,-0.07672119,9.76738,-0.18240356,0.018112183,-0.0071411133,-0.013076782,0.02293396
10h31m19s670ms,-0.22277832,9.738998,-0.227005,0.022784423,-0.050720215,-0.1721344,0.06517029
10h31m19s739ms,-0.10473633,9.750778,-0.90779114,0.022912597,0.05961609,-1.618454,0.08050537
10h31m19s812ms,-0.045028687,9.794815,0.05105591,0.025479127,-0.0084991455,-1.0554962,-0.005050659
10h31m19s898ms,0.07861328,9.792511,-0.2637329,0.01932373,-0.07637024,-1.3472443,0.0015411377
10h31m19s958ms,-0.032699585,9.729401,-0.41716003,0.029922485,0.003829956,-1.4558105,0.018432617
10h31m20s31ms,-0.016311646,9.680634,0.36535645,0.033999633,0.015625,-0.20863342,-0.007156372
10h31m20s105ms,0.0048675537,9.775711,0.24757385,0.05065918,-0.035583496,-0.053146362,-0.022033691
10h31m20s178ms,-0.64453125,9.950226,-1.1295929,0.07675476,-0.12524414,-0.7351227,0.2709198
10h31m20s245ms,-0.79719543,9.513763,-0.17800903,0.16358642,0.34043884,-1.090805,-0.23626709
10h31m20s321ms,0.64697266,9.7341,-0.18609619,0.19503173,0.08381653,-0.70866394,-6.1035156E-5
10h31m20s405ms,-0.18173218,9.593338,-0.37823486,0.21343079,-0.10682678,-0.0031280518,0.024246216
10h31m20s463ms,-0.06776428,9.770157,0.25186157,0.22977905,-0.010284424,-0.18341064,0.017196655
10h31m20s533ms,0.081344604,9.780106,-0.1091156,0.19686584,0.0655365,-0.41719055,0.014923096
10h31m20s607ms,-0.08470154,9.794632,-0.124053955,0.112478636,-0.107040405,-0.07406616,0.0140686035
10h31m20s681ms,-0.07336426,9.712997,0.5154114,0.08473816,0.0723114,-0.06932068,-0.009140015
10h31m20s753ms,0.15403748,9.707428,-0.67585754,0.057699583,-0.0041656494,-0.29081726,-0.014678955
10h31m20s825ms,-0.2542572,9.651596,1.3187561,0.0335022,-0.084121704,-0.009140015,0.03251648
10h31m20s896ms,-0.051864624,10.123322,-1.566391,0.12585755,-0.42765808,-0.86325073,0.15344238
10h31m20s970ms,-0.14706421,9.716583,-0.83750916,0.20429993,-1.021347,-1.6443634,0.44270325
