
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h22m20s458ms,-0.14125061,6.3069153,-1.258606,3.6930847,2.7006989,-0.13319397,0.20552063
13h22m20s532ms,-0.14125061,6.3069153,-1.258606,3.6930847,0.022079468,0.012069702,0.41378784
13h22m20s605ms,0.44833374,-0.44059753,-12.950546,5.220299,-3.5263214,0.5144043,0.19953918
13h22m20s680ms,0.44833374,-0.44059753,-12.950546,5.220299,-8.50972,1.4806976,-0.72740173
13h22m20s755ms,0.44833374,-0.44059753,-12.950546,5.220299,-9.842651,2.6678925,-1.4391022
13h22m20s829ms,0.29776,1.7219696,-8.921539,4.201055,-3.598053,0.6115875,-0.5829315
13h22m20s904ms,0.29776,1.7219696,-8.921539,4.201055,-1.7766266,0.58851624,-0.29179382
13h22m20s976ms,-0.57177734,8.053482,5.0417023,4.7336693,-0.29299927,0.16189575,-0.0382843
13h22m21s49ms,-0.57177734,8.053482,5.0417023,4.7336693,1.5809784,-0.22595215,0.19326782
13h22m21s124ms,-0.57177734,8.053482,5.0417023,4.7336693,5.475189,-1.2791138,0.6335144
13h22m21s197ms,-0.57141113,8.220627,4.9856567,3.8203645,7.40271,-1.0001221,0.90760803
13h22m21s275ms,-0.57141113,8.220627,4.9856567,3.8203645,6.065674,-0.5990753,0.6659241
13h22m21s348ms,-0.57141113,8.220627,4.9856567,3.8203645,6.096283,-0.5258484,0.8332825
13h22m21s422ms,0.2642975,3.434021,-6.977951,4.0390687,2.9936829,0.3922882,0.10070801
13h22m21s496ms,0.2642975,3.434021,-6.977951,4.0390687,0.54714966,0.27954102,0.07861328
13h22m21s571ms,1.1162109,-2.14299,-12.043182,3.8049684,-1.4533081,-0.053237915,-0.0074920654
13h22m21s650ms,1.1162109,-2.14299,-12.043182,3.8049684,-5.253601,0.70480347,-0.8657074
13h22m21s722ms,1.1162109,-2.14299,-12.043182,3.8049684,-7.4143677,0.6586304,-0.92858887
13h22m21s791ms,1.5971527,0.947937,-10.331253,3.9906402,-8.628281,1.5790558,-1.8809662
13h22m21s866ms,1.5971527,0.947937,-10.331253,3.9906402,-5.2326202,0.4651184,-1.3523712
13h22m21s940ms,1.5971527,0.947937,-10.331253,3.9906402,-1.5163879,0.03678894,-0.1778717
13h22m22s13ms,-0.7795563,6.5411224,3.7351532,3.842975,0.042129517,0.20018005,0.07121277
13h22m22s89ms,-0.7795563,6.5411224,3.7351532,3.842975,1.8899994,-0.30932617,0.21723938
13h22m22s165ms,-0.7795563,6.5411224,3.7351532,3.842975,6.1434174,-1.3948822,0.94210815
13h22m22s237ms,-1.0709229,8.428818,5.163925,4.187085,6.7322845,-1.2027893,0.9019928
13h22m22s312ms,-1.0709229,8.428818,5.163925,4.187085,5.1896057,0.016784668,0.4997406
13h22m22s390ms,0.14857483,4.3941193,-5.170624,4.0367036,6.121567,-0.43719482,1.0172424
13h22m22s458ms,0.14857483,4.3941193,-5.170624,4.0367036,2.7659607,0.39178467,0.41438293
13h22m22s536ms,0.14857483,4.3941193,-5.170624,4.0367036,1.0941467,0.40934753,0.64533997
13h22m22s602ms,1.1078033,-1.8369446,-11.627762,4.167514,-0.64653015,0.10897827,0.112716675
13h22m22s678ms,1.1078033,-1.8369446,-11.627762,4.167514,-5.1286926,0.7801666,-0.79478455
13h22m22s751ms,1.1078033,-1.8369446,-11.627762,4.167514,-8.662338,1.0513916,-1.6278687
13h22m22s824ms,2.043335,-0.60298157,-12.66745,3.7961211,-9.193649,1.6522064,-2.4956055
13h22m22s904ms,2.043335,-0.60298157,-12.66745,3.7961211,-4.477768,0.22575378,-1.5856781
13h22m22s975ms,2.043335,-0.60298157,-12.66745,3.7961211,-1.3938599,-0.055114746,-0.36062622
13h22m23s50ms,-0.95388794,5.2043,2.6545105,3.8389404,1.7238617,-0.1416626,0.4319458
13h22m23s123ms,-0.95388794,5.2043,2.6545105,3.8389404,3.5208588,-0.67529297,0.75120544
13h22m23s197ms,-1.1826324,8.418472,5.161148,4.1042356,6.5119324,-1.4102783,0.93873596
13h22m23s268ms,-1.1826324,8.418472,5.161148,4.1042356,6.412918,-0.5647278,0.8774109
13h22m23s346ms,-1.1826324,8.418472,5.161148,4.1042356,6.4718475,-0.45495605,0.913147
