
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h34m45s929ms,-0.13996887,9.783646,-0.2530365,0.21635437,0.0024108887,0.17727661,-0.011306763
10h34m46s0ms,-0.21022034,9.873795,-0.3027649,0.15325165,-0.16462708,0.11225891,0.24897766
10h34m46s75ms,-0.21022034,9.873795,-0.3027649,0.10216776,-0.4363861,0.2002716,0.18806458
10h34m46s149ms,-0.21022034,9.873795,-0.3027649,0.076625824,0.21696472,-0.028778076,-0.20652771
10h34m46s225ms,-0.2880249,11.890259,0.103378296,0.4645935,0.0028686523,0.5323639,0.012817383
10h34m46s319ms,-0.2880249,11.890259,0.103378296,0.42132264,0.26663208,-0.12234497,-0.34410095
10h34m46s380ms,-0.2880249,11.890259,0.103378296,0.40329283,-0.6186981,0.10966492,0.059936523
10h34m46s446ms,0.2627411,9.932175,-0.6670532,0.79490966,0.3019867,-0.20089722,0.0038757324
10h34m46s521ms,0.2627411,9.932175,-0.6670532,0.79490966,-0.7455292,0.2129364,0.060440063
10h34m46s592ms,0.019897461,8.114716,0.9045105,0.75510865,-0.15757751,0.22531128,0.14689636
10h34m46s667ms,0.019897461,8.114716,0.9045105,0.75510865,0.61868286,0.0765686,0.050216675
10h34m46s741ms,0.019897461,8.114716,0.9045105,0.75510865,-0.28936768,0.16436768,0.18241882
10h34m46s816ms,0.103393555,9.222458,0.40341187,0.5850403,0.0770874,0.05895996,-0.03668213
10h34m46s891ms,0.103393555,9.222458,0.40341187,0.5850403,-0.17120361,-0.08779907,0.09703064
10h34m46s966ms,0.103393555,9.222458,0.40341187,0.22154847,-0.24894714,0.15556335,0.2844391
10h34m47s38ms,-0.022994995,9.588608,0.4501648,0.29477844,1.3592224,-0.25408936,0.089660645
10h34m47s113ms,-0.022994995,9.588608,0.4501648,0.29477844,2.8486023,-0.09687805,0.5197754
10h34m47s189ms,-0.022994995,9.588608,0.4501648,0.07322998,4.623642,-0.1269226,0.323761
10h34m47s263ms,0.6371002,9.84819,0.6242523,0.12514648,7.053314,-0.735672,0.61557007
10h34m47s337ms,0.6371002,9.84819,0.6242523,0.12514648,9.075241,-1.2733612,-0.047943115
10h34m47s408ms,-0.22096252,1.0382843,-7.342209,1.8138977,3.9880066,0.43139648,1.2131958
10h34m47s483ms,-0.22096252,1.0382843,-7.342209,1.8138977,1.2970886,-0.25405884,-0.17852783
10h34m47s558ms,-0.22096252,1.0382843,-7.342209,1.8138977,-0.042770386,0.15917969,-0.061584473
10h34m47s632ms,0.26914978,-4.620331,-9.118561,2.8937042,-0.13330078,0.08972168,-0.0743103
10h34m47s707ms,0.26914978,-4.620331,-9.118561,2.8937042,-0.06829834,0.023773193,0.013381958
10h34m47s782ms,0.26914978,-4.620331,-9.118561,1.131723,-0.78559875,0.13191223,-0.10574341
10h34m47s855ms,0.06530762,-5.0292664,-8.998566,1.2135102,-4.0474854,0.62423706,-0.7307434
10h34m47s929ms,0.06530762,-5.0292664,-8.998566,1.2135102,-7.1187286,0.96136475,-1.904129
10h34m48s1ms,0.98672485,-1.8436432,-10.917023,0.71891177,-5.952133,0.9253998,-1.2055817
10h34m48s79ms,0.98672485,-1.8436432,-10.917023,0.71891177,-6.7536774,0.9525757,-1.3480377
10h34m48s153ms,0.98672485,-1.8436432,-10.917023,0.71891177,-4.519211,-0.3651886,-1.1435852
10h34m48s225ms,0.7758026,6.8990173,-3.2660828,2.3856568,-0.39916992,-1.3415985,-0.5994568
10h34m48s299ms,0.7758026,6.8990173,-3.2660828,2.3856568,-0.3595581,-0.26387024,-0.26515198
10h34m48s374ms,0.7758026,6.8990173,-3.2660828,1.748532,-0.10494995,-0.5117645,0.12832642
10h34m48s447ms,-0.51467896,9.475464,1.6871948,2.2638214,0.83522034,-0.4491272,-0.13975525
10h34m48s523ms,-0.51467896,9.475464,1.6871948,2.2638214,-0.005844116,-0.056289673,-0.030395508
10h34m48s598ms,-0.51467896,9.475464,1.6871948,0.5152893,0.30963135,-0.032165527,-0.11439514
10h34m48s671ms,-0.18565369,9.829361,1.1225586,0.58606875,-0.013763428,-0.05960083,-0.030670166
10h34m48s746ms,-0.18565369,9.829361,1.1225586,0.58606875,0.100357056,0.014694214,-0.009765625
10h34m48s817ms,-0.4666443,9.6145935,0.60040283,0.11373291,0.12150574,0.05543518,0.02470398
10h34m48s895ms,-0.4666443,9.6145935,0.60040283,0.11373291,-0.012619019,-0.028030396,0.043640137
10h34m48s970ms,-0.4666443,9.6145935,0.60040283,0.11373291,0.068862915,0.0069885254,0.07817078
10h34m49s41ms,-0.4230957,9.696793,0.28431702,0.05939331,0.09472656,0.067337036,0.07775879
10h34m49s116ms,-0.4230957,9.696793,0.28431702,0.05939331,1.0218506,0.03463745,0.2298584
10h34m49s190ms,-0.4230957,9.696793,0.28431702,0.01643982,2.79187,-0.2659607,0.016189575
10h34m49s263ms,-0.10040283,10.289078,0.520401,0.13489684,4.8897247,-0.1503601,0.20480347
10h34m49s340ms,-0.10040283,10.289078,0.520401,0.13489684,6.1773834,-0.009628296,0.47499084
10h34m49s414ms,-0.1668396,5.316681,-4.7332916,1.1129364,6.7760773,-0.58236694,0.69906616
10h34m49s487ms,-0.1668396,5.316681,-4.7332916,1.1129364,5.473999,-0.28089905,0.57806396
10h34m49s562ms,-0.1668396,5.316681,-4.7332916,1.1129364,2.581894,-0.048568726,0.30807495
10h34m49s633ms,-0.120407104,-3.4556732,-10.216187,2.7489502,0.13749695,0.2687378,-0.037094116
10h34m49s708ms,-0.120407104,-3.4556732,-10.216187,2.7489502,0.03929138,0.0884552,0.039230347
10h34m49s786ms,-0.120407104,-3.4556732,-10.216187,1.7544708,-0.318161,0.037490845,-0.12876892
10h34m49s857ms,-0.48068237,-5.5110626,-8.689758,2.1655488,-0.19277954,-0.023529053,-0.030960083
10h34m49s932ms,-0.48068237,-5.5110626,-8.689758,2.1655488,-0.80944824,0.07649231,-0.15966797
10h34m50s7ms,-0.48068237,-5.5110626,-8.689758,0.4110779,-4.1690216,0.6040039,-0.7011719
10h34m50s79ms,0.10101318,-4.7395477,-10.212814,0.5653809,-6.697525,0.7273712,-1.2286072
10h34m50s154ms,0.10101318,-4.7395477,-10.212814,0.5653809,-6.121353,0.42474365,-0.86917114
10h34m50s229ms,0.6686859,-0.21827698,-9.141174,1.0585572,-5.8312836,0.58599854,-0.9108734
10h34m50s304ms,0.6686859,-0.21827698,-9.141174,1.0585572,-4.0884857,-0.5349426,-0.20974731
10h34m50s381ms,0.6686859,-0.21827698,-9.141174,1.0585572,-1.6639862,-0.59399414,-0.31040955
10h34m50s449ms,-0.019073486,8.159348,-1.0626221,2.5797791,-0.7067566,-0.21864319,-0.1720581
