
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h21m23s926ms,1.254837,9.561951,-1.4354248,0.43804932,-5.602173,0.76831055,-0.822937
13h21m24s1ms,0.142807,5.8129425,4.652054,2.0935287,-5.9806366,1.1511688,-0.9012451
13h21m24s72ms,0.142807,5.8129425,4.652054,2.0935287,-6.807602,2.353775,-1.0134583
13h21m24s150ms,0.142807,5.8129425,4.652054,2.0935287,-1.5740051,0.3577881,-1.1811981
13h21m24s221ms,-2.7835388,-3.5917664,9.824142,4.5305886,0.43196106,-0.09416199,-0.1413269
13h21m24s296ms,-2.7835388,-3.5917664,9.824142,4.5305886,4.893463,-1.1624451,0.8492584
13h21m24s371ms,-2.7835388,-3.5917664,9.824142,4.5305886,6.944748,-1.5297394,0.9769745
13h21m24s444ms,-2.935318,-4.2608337,10.819061,3.5652084,8.304459,-1.7008514,0.58325195
13h21m24s518ms,-2.935318,-4.2608337,10.819061,3.5652084,8.121292,-1.4153595,0.5836792
13h21m24s595ms,-2.935318,-4.2608337,10.819061,3.5652084,3.49617,0.2986145,0.46603394
13h21m24s670ms,-0.12258911,4.2049713,0.5199585,4.5453277,-0.58644104,0.3895111,0.037857056
13h21m24s742ms,-0.12258911,4.2049713,0.5199585,4.5453277,-1.6690979,0.5044708,-0.19218445
13h21m24s813ms,1.4172821,9.06311,-4.9403687,5.4293456,-4.6009216,0.61413574,-0.32995605
13h21m24s896ms,1.4172821,9.06311,-4.9403687,5.4293456,-8.350845,1.1824036,-0.7068329
13h21m24s966ms,1.4172821,9.06311,-4.9403687,5.4293456,-9.567856,2.7597656,-0.96580505
13h21m25s40ms,-0.22480774,3.237793,5.0449524,5.8446074,-5.12442,1.1082764,-1.1818848
13h21m25s130ms,-0.22480774,3.237793,5.0449524,5.8446074,-2.4318848,1.0648193,-0.92056274
13h21m25s187ms,-0.22480774,3.237793,5.0449524,5.8446074,0.38175964,-0.31674194,-0.064071655
13h21m25s261ms,-3.3870544,-5.827759,10.10881,5.7767763,4.6304626,-1.0911102,0.5419464
13h21m25s335ms,-3.3870544,-5.827759,10.10881,5.7767763,7.0508575,-1.7364502,0.89279175
13h21m25s411ms,-3.3870544,-5.827759,10.10881,5.7767763,6.605484,-1.1029205,0.37069702
13h21m25s484ms,-1.987854,-2.8462524,10.171478,6.239264,7.383072,-1.1463165,0.28489685
13h21m25s559ms,-1.987854,-2.8462524,10.171478,6.239264,6.109329,-0.052352905,0.28219604
13h21m25s632ms,0.24339294,6.3539276,0.8651581,6.386139,2.263977,0.0617218,0.058502197
13h21m25s704ms,0.24339294,6.3539276,0.8651581,6.386139,-0.43188477,0.5332184,-0.122665405
13h21m25s779ms,0.24339294,6.3539276,0.8651581,6.386139,-0.94664,0.26800537,0.123687744
