
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h3m9s521ms,0.68930054,6.318802,3.2078705,3.6811981,-6.9601746,-0.26345825,1.6161041
13h3m9s595ms,0.68930054,6.318802,3.2078705,3.6811981,-6.1094513,-0.45350647,1.561554
13h3m9s670ms,0.68930054,6.318802,3.2078705,3.6811981,-5.7178497,0.6536865,1.7719879
13h3m9s743ms,1.9631195,-3.386444,9.579575,6.693222,-4.8988495,0.99913025,0.8803711
13h3m9s817ms,1.9631195,-3.386444,9.579575,6.693222,-4.0535583,0.3048706,1.1790771
13h3m9s892ms,1.9631195,-3.386444,9.579575,6.693222,-5.2703247,-0.1561737,0.99658203
13h3m9s967ms,0.21784973,-10.070267,2.1598358,6.6900887,-1.3316803,-0.4636383,-0.545105
13h3m10s42ms,0.21784973,-10.070267,2.1598358,6.6900887,0.42720032,-0.097961426,-0.03526306
13h3m10s113ms,-1.3387451,-10.514099,-0.43093872,5.128525,0.02142334,0.9375763,0.48776245
13h3m10s187ms,-1.3387451,-10.514099,-0.43093872,5.128525,0.4737091,0.066970825,-0.023880005
13h3m10s264ms,-1.3387451,-10.514099,-0.43093872,5.128525,0.8191681,-0.28507996,-0.20739746
13h3m10s336ms,-1.0953217,-9.307938,-3.3274536,4.3440523,1.820343,0.019699097,-0.37016296
13h3m10s415ms,-1.0953217,-9.307938,-3.3274536,4.3440523,3.0840912,-0.28956604,-0.7729492
13h3m10s487ms,-1.0953217,-9.307938,-3.3274536,4.3440523,6.037781,-1.588562,-1.1912384
13h3m10s559ms,-0.12371826,-10.322327,1.6891174,3.8106904,5.482483,-1.4663544,-2.4760132
13h3m10s634ms,-0.12371826,-10.322327,1.6891174,3.8106904,4.7650146,-0.4018097,-2.3023834
13h3m10s709ms,3.2892761,-6.0145416,8.662735,2.731198,7.2700653,-1.4477081,-2.519394
13h3m10s780ms,3.2892761,-6.0145416,8.662735,2.731198,7.3338013,-0.674942,-3.1421356
13h3m10s859ms,3.2892761,-6.0145416,8.662735,2.731198,4.4561462,1.0503082,-2.3180695
13h3m10s930ms,2.9713135,4.093155,4.7689514,3.415973,2.0722504,2.4920654,-1.7570648
13h3m11s4ms,2.9713135,4.093155,4.7689514,3.415973,1.9372711,2.8125153,-0.4471283
13h3m11s79ms,2.9713135,4.093155,4.7689514,3.415973,-0.71946716,1.2350616,0.13407898
13h3m11s152ms,-0.2814331,8.308746,-3.062561,4.170325,0.4947815,-0.7504425,-0.023406982
13h3m11s227ms,-0.2814331,8.308746,-3.062561,4.170325,-0.42822266,0.27711487,0.20405579
13h3m11s303ms,-0.2814331,8.308746,-3.062561,4.170325,0.1376648,-0.08618164,-0.03552246
13h3m11s376ms,0.5050049,9.944916,-1.7019501,4.256326,-0.460083,0.011505127,-0.07237244
13h3m11s451ms,0.5050049,9.944916,-1.7019501,4.256326,0.07888794,-0.21678162,0.059280396
13h3m11s521ms,0.3019867,9.429993,-1.177063,4.156433,0.050445557,-0.31584167,0.15567017
