
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h47m27s475ms,0.41789246,9.464645,0.97746277,0.5353546,0.04185486,-0.06159973,0.027572632
14h47m27s549ms,0.41789246,9.464645,0.97746277,0.5353546,-0.025665283,-0.087005615,-0.03213501
14h47m27s623ms,0.44802856,9.652115,1.1673889,0.36141205,-9.1552734E-4,-0.026489258,-0.0093688965
14h47m27s695ms,0.44802856,9.652115,1.1673889,0.36141205,0.69621277,-0.13887024,-0.023361206
14h47m27s770ms,0.44802856,9.652115,1.1673889,0.36141205,4.5821533,-0.32025146,0.1640625
14h47m27s843ms,0.42945862,9.242737,1.8856354,0.37740073,6.1227875,-0.06788635,0.17692566
14h47m27s919ms,0.42945862,9.242737,1.8856354,0.37740073,7.233032,0.2654724,0.070114136
14h47m27s994ms,0.42945862,9.242737,1.8856354,0.37740073,5.3388824,0.9086914,-0.39970398
14h47m28s68ms,1.0617981,3.4170074,-6.296921,1.7394829,4.2583923,0.7093353,-0.26229858
14h47m28s142ms,1.0617981,3.4170074,-6.296921,1.7394829,2.6889496,0.5934448,-0.006011963
14h47m28s214ms,2.224823,-5.199814,-8.870743,3.1149507,2.162262,0.35308838,0.058776855
14h47m28s288ms,2.224823,-5.199814,-8.870743,3.1149507,0.97694397,0.7548523,-0.030471802
14h47m28s367ms,2.224823,-5.199814,-8.870743,3.1149507,0.35887146,-0.12042236,0.020950317
14h47m28s437ms,3.0112762,-7.416214,-7.051956,3.4511597,-0.2820282,-0.03578186,-0.14962769
14h47m28s513ms,3.0112762,-7.416214,-7.051956,3.4511597,0.22219849,0.0693512,0.030075073
14h47m28s587ms,3.0112762,-7.416214,-7.051956,3.4511597,0.27937317,-0.009353638,0.033920288
14h47m28s661ms,2.902893,-7.43544,-5.8178864,3.417511,0.28767395,-0.05104065,-0.032974243
14h47m28s735ms,2.902893,-7.43544,-5.8178864,3.417511,-0.21565247,-0.07521057,-0.019180298
14h47m28s807ms,2.8867035,-7.5799255,-5.7373047,3.3645325,0.37374878,-0.113983154,0.120025635
14h47m28s885ms,2.8867035,-7.5799255,-5.7373047,3.3645325,-0.25357056,0.002532959,-0.041992188
14h47m28s960ms,2.8867035,-7.5799255,-5.7373047,3.3645325,0.16731262,-0.13484192,0.082733154
14h47m29s31ms,2.7894287,-7.543869,-5.721039,2.2065978,-0.10449219,-0.055847168,-0.017929077
14h47m29s106ms,2.7894287,-7.543869,-5.721039,2.2065978,-0.3040924,-0.02079773,-0.05432129
14h47m29s181ms,2.7894287,-7.543869,-5.721039,2.2065978,-1.2610779,-0.26748657,0.07424927
14h47m29s254ms,2.7929688,-7.6490326,-7.051651,0.5042664,-6.2042084,-0.6329498,-0.7037506
14h47m29s329ms,2.7929688,-7.6490326,-7.051651,0.5042664,-7.316086,-0.2668457,-0.45117188
14h47m29s405ms,2.7929688,-7.6490326,-7.051651,0.5042664,-7.6788025,-0.16241455,-0.84620667
14h47m29s478ms,2.7700806,-4.67717,-9.640686,0.6553589,-6.350357,0.83729553,-1.0887756
14h47m29s553ms,2.7700806,-4.67717,-9.640686,0.6553589,-3.5684357,-0.06985474,-0.6385498
14h47m29s627ms,1.1517181,7.272232,-1.8802032,3.041394,-1.888794,-0.5138092,-0.3769989
14h47m29s704ms,1.1517181,7.272232,-1.8802032,3.041394,-0.5743866,-0.68066406,-0.17752075
14h47m29s774ms,1.1517181,7.272232,-1.8802032,3.041394,-0.3791046,-0.5299072,-0.2582245
14h47m29s848ms,1.0349579,9.648071,1.5706024,3.4876647,-0.49420166,-0.7805786,-0.23703003
