
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h30m8s638ms,-0.5200348,10.96344,-0.2636261,0.96343994,1.0056763,-0.26789856,-0.004852295
10h30m8s713ms,-0.5200348,10.96344,-0.2636261,0.48171997,-0.5806122,-0.1429596,-0.6259155
10h30m8s791ms,-0.5200348,10.96344,-0.2636261,0.32114664,0.43533325,-0.3840332,0.16795349
10h30m8s862ms,-0.43841553,10.853989,-0.29429626,0.2682228,0.075912476,0.39700317,-0.1643219
10h30m8s937ms,-0.43841553,10.853989,-0.29429626,0.21457824,-0.43374634,-0.32312012,-0.109939575
10h30m9s12ms,-0.43841553,10.853989,-0.29429626,0.021890258,-0.04675293,-0.21594238,0.17883301
10h30m9s84ms,-0.06970215,9.019119,-0.9047394,0.38886413,-1.4045258,0.26957703,0.27420044
10h30m9s159ms,-0.06970215,9.019119,-0.9047394,0.38886413,-5.569031,1.323288,0.41970825
10h30m9s234ms,-0.33317566,7.834442,0.34239197,0.6039093,-7.845642,1.5977631,-0.38090515
10h30m9s308ms,-0.33317566,7.834442,0.34239197,0.6039093,-5.6891327,1.551651,-0.60983276
10h30m9s386ms,-0.33317566,7.834442,0.34239197,0.6039093,-1.3516235,0.10157776,-0.21435547
10h30m9s454ms,-1.7660065,1.477951,8.850037,1.5082337,-1.8554993,0.34519958,-0.5288391
10h30m9s529ms,-1.7660065,1.477951,8.850037,1.5082337,-1.2071686,-0.90792847,-0.047973633
10h30m9s604ms,-1.7660065,1.477951,8.850037,1.2712982,-0.19293213,-0.027816772,-0.30444336
10h30m9s678ms,-1.8314972,-1.9717255,9.001816,1.9612335,0.33285522,-0.18699646,-0.12184143
10h30m9s753ms,-1.8314972,-1.9717255,9.001816,1.9612335,-0.004501343,0.020568848,-0.03401184
10h30m9s828ms,-1.8314972,-1.9717255,9.001816,0.6899353,-0.12176514,0.20106506,-0.043899536
10h30m9s901ms,-1.8551178,-2.7116394,9.355972,0.8379181,1.3614349,-0.15040588,-0.008270264
10h30m9s976ms,-1.8551178,-2.7116394,9.355972,0.8379181,0.25209045,0.5396271,-0.11973572
10h30m10s46ms,-1.6560211,-1.581543,10.964493,0.37400207,5.660034,-1.3126526,0.15446472
10h30m10s125ms,-1.6560211,-1.581543,10.964493,0.37400207,5.4892883,-1.0518188,-0.16004944
10h30m10s200ms,-1.6560211,-1.581543,10.964493,0.37400207,5.1956787,-0.786911,0.064193726
10h30m10s271ms,-1.0535278,2.8789673,6.5550995,1.1181214,3.884735,-0.54418945,0.3710785
10h30m10s345ms,-1.0535278,2.8789673,6.5550995,1.1181214,1.7996368,0.43450928,0.16932678
10h30m10s421ms,-1.0535278,2.8789673,6.5550995,0.89210206,1.0546265,0.31602478,-0.014785767
10h30m10s494ms,0.48260498,9.390488,0.39112854,2.194406,0.1816101,0.3092041,-0.1184082
10h30m10s580ms,0.48260498,9.390488,0.39112854,2.194406,0.53941345,-0.20324707,0.32450867
10h30m10s645ms,0.6255951,9.891556,-0.99264526,1.4025177,-0.26792908,0.1869812,-0.079315186
10h30m10s718ms,0.6255951,9.891556,-0.99264526,1.4025177,-0.011062622,-0.051376343,-0.01713562
10h30m10s793ms,0.6255951,9.891556,-0.99264526,1.4025177,-0.16053772,0.1552887,-0.089019775
10h30m10s879ms,0.6704254,9.959412,-0.7281647,0.11378479,-0.36088562,0.022659302,-0.19680786
10h30m10s941ms,0.6704254,9.959412,-0.7281647,0.11378479,0.079833984,0.013381958,0.028579712
10h30m11s11ms,0.6704254,9.959412,-0.7281647,0.013571167,0.106933594,0.08135986,-0.053649902
10h30m11s86ms,0.3086853,9.6814575,-0.19422913,0.06916199,-0.028320313,-0.02619934,-0.003250122
10h30m11s161ms,0.3086853,9.6814575,-0.19422913,0.06916199,0.037490845,-0.027648926,0.0029296875
10h30m11s236ms,0.3086853,9.6814575,-0.19422913,0.05559082,-0.092178345,0.006072998,-0.088256836
10h30m11s307ms,0.4101715,9.831772,-0.50312805,0.085653685,-0.04727173,-0.025436401,-0.052642822
10h30m11s382ms,0.4101715,9.831772,-0.50312805,0.085653685,-0.03668213,0.004043579,-0.019683838
10h30m11s455ms,0.288208,9.782654,-0.22140503,0.039886475,-0.0074310303,0.0049743652,-0.064208984
10h30m11s531ms,0.288208,9.782654,-0.22140503,0.039886475,0.037490845,-0.013702393,0.012741089
10h30m11s606ms,0.288208,9.782654,-0.22140503,0.039886475,0.045288086,0.009094238,-0.03881836
10h30m11s680ms,0.22859192,9.734482,-0.27897644,0.019458007,0.008544922,-0.003540039,-0.025421143
10h30m11s753ms,0.22859192,9.734482,-0.27897644,0.019458007,0.027648926,0.06253052,-0.0051727295
10h30m11s829ms,0.22859192,9.734482,-0.27897644,0.0096344,-0.01222229,-0.028747559,-0.008056641
10h30m11s901ms,0.1958313,9.75325,-0.36575317,0.013388062,-0.0031433105,0.0070343018,-0.047302246
10h30m11s977ms,0.1958313,9.75325,-0.36575317,0.013388062,-0.046066284,-0.002243042,-0.031021118
10h30m12s58ms,0.15393066,9.862106,-0.413208,0.025524903,-0.06825256,-0.07884216,-0.025268555
10h30m12s124ms,0.15393066,9.862106,-0.413208,0.025524903,0.0076293945,0.027816772,-0.066329956
10h30m12s198ms,0.15393066,9.862106,-0.413208,0.025524903,0.010925293,0.040985107,-0.03907776
10h30m12s274ms,0.05987549,9.655594,-0.1940155,0.06307373,0.009521484,-0.028244019,0.020965576
10h30m12s363ms,0.05987549,9.655594,-0.1940155,0.06307373,-0.022338867,0.016830444,0.031829834
10h30m12s423ms,0.05987549,9.655594,-0.1940155,0.04130249,-0.02659607,-0.032196045,-0.017807007
10h30m12s495ms,0.08641052,9.916458,-0.2938385,0.09347534,-0.046661377,-9.460449E-4,-0.06680298
10h30m12s570ms,0.08641052,9.916458,-0.2938385,0.09347534,0.031066895,0.0632782,-0.073898315
10h30m12s645ms,0.08641052,9.916458,-0.2938385,0.05217285,-0.03302002,-0.003829956,-0.053604126
10h30m12s716ms,0.010131836,9.743042,-0.21784973,0.08685608,0.045806885,8.544922E-4,0.023101807
10h30m12s790ms,0.010131836,9.743042,-0.21784973,0.08685608,-0.028747559,-0.039794922,-0.014038086
10h30m12s865ms,-0.0579834,9.795532,-0.30952454,0.045181274,-0.03919983,-0.016189575,-0.021392822
10h30m12s940ms,-0.0579834,9.795532,-0.30952454,0.045181274,0.010955811,0.0256958,-0.050750732
10h30m13s21ms,-0.0579834,9.795532,-0.30952454,0.045181274,-0.0025939941,0.04777527,-0.0552063
10h30m13s87ms,-0.08621216,9.712814,-0.23019409,0.027041625,-0.026657104,-0.03378296,-0.005844116
10h30m13s162ms,-0.08621216,9.712814,-0.23019409,0.027041625,0.008041382,-0.015396118,0.033966064
10h30m13s239ms,-0.08621216,9.712814,-0.23019409,0.016543578,-0.016906738,-0.009979248,-0.017303467
10h30m13s311ms,-0.14764404,9.794647,-0.2295227,0.032910157,-5.493164E-4,0.021636963,-0.005065918
10h30m13s394ms,-0.14764404,9.794647,-0.2295227,0.032910157,0.051437378,0.05029297,-0.03215027
10h30m13s464ms,-0.13331604,9.837189,-0.18539429,0.024874877,-0.027709961,-4.119873E-4,-0.04182434
10h30m13s532ms,-0.13331604,9.837189,-0.18539429,0.024874877,-0.023452759,0.009933472,0.0079956055
10h30m13s606ms,-0.13331604,9.837189,-0.18539429,0.024874877,0.07066345,0.04849243,0.0036010742
10h30m13s681ms,-0.21760559,9.704483,-0.25126648,0.03504944,-0.041519165,-0.002380371,0.014663696
10h30m13s756ms,-0.21760559,9.704483,-0.25126648,0.03504944,0.029037476,0.027770996,-0.012435913
10h30m13s831ms,-0.21760559,9.704483,-0.25126648,0.026541138,-0.036865234,-0.011383057,-0.005218506
10h30m13s904ms,-0.19244385,9.807861,-0.2372284,0.047216795,-0.032974243,0.030776978,-0.004486084
10h30m13s978ms,-0.19244385,9.807861,-0.2372284,0.047216795,0.025634766,0.010009766,0.004333496
10h30m14s53ms,-0.19244385,9.807861,-0.2372284,0.02067566,0.015823364,-5.79834E-4,-0.016998291
10h30m14s133ms,-0.18786621,9.808838,-0.25639343,0.020870972,-0.0030975342,-0.03125,-0.016143799
10h30m14s203ms,-0.18786621,9.808838,-0.25639343,0.020870972,-0.010986328,-0.008621216,-0.009002686
10h30m14s273ms,-0.2694397,9.698685,-0.1678772,0.022225952,0.067993164,0.038864136,0.023605347
10h30m14s348ms,-0.2694397,9.698685,-0.1678772,0.022225952,0.0033111572,0.0017089844,0.0029907227
10h30m14s423ms,-0.2694397,9.698685,-0.1678772,0.022225952,0.047927856,-0.008651733,-0.04055786
10h30m14s496ms,-0.17675781,9.870834,-0.30374146,0.05646057,-0.010665894,0.0025787354,-0.0388031
10h30m14s573ms,-0.17675781,9.870834,-0.30374146,0.05646057,-0.008392334,0.0082092285,-0.016235352
10h30m14s646ms,-0.17675781,9.870834,-0.30374146,0.03442993,-0.004196167,0.025772095,-0.004058838
10h30m14s721ms,-0.30995178,9.72847,-0.22714233,0.06290283,0.011291504,0.01826477,0.017166138
10h30m14s795ms,-0.30995178,9.72847,-0.22714233,0.06290283,-0.008850098,0.01828003,0.008331299
10h30m14s869ms,-0.26106262,9.807938,-0.31544495,0.044366457,0.0012817383,0.0055999756,0.0023498535
10h30m14s944ms,-0.26106262,9.807938,-0.31544495,0.044366457,0.023742676,-0.030838013,0.027008057
10h30m15s19ms,-0.26106262,9.807938,-0.31544495,0.044366457,0.05569458,-0.038726807,0.035324097
10h30m15s90ms,-0.25338745,9.873047,-0.42112732,0.028915405,-0.08024597,-0.08442688,-0.00982666
10h30m15s165ms,-0.25338745,9.873047,-0.42112732,0.028915405,-0.073776245,0.028869629,-0.08538818
10h30m15s239ms,-0.25338745,9.873047,-0.42112732,0.013021851,-2.1486359,0.8872528,-0.32687378
10h30m15s313ms,-0.087020874,10.293381,-1.0996552,0.09708862,-7.376404,1.0580292,-1.1646118
10h30m15s388ms,-0.087020874,10.293381,-1.0996552,0.09708862,-6.4724884,0.87171936,-1.1996307
10h30m15s464ms,-0.087020874,10.293381,-1.0996552,0.08406677,-3.937271,1.4192505,-0.8678589
10h30m15s537ms,-2.253357,3.889618,6.286026,1.3648193,-2.291687,0.33654785,-0.43434143
10h30m15s612ms,-2.253357,3.889618,6.286026,1.3648193,-1.6953125,-0.6272278,-0.22981262
10h30m15s682ms,-3.325592,-1.4611359,7.4518433,2.3509033,-0.77801514,-0.8232269,-0.27342224
10h30m15s757ms,-3.325592,-1.4611359,7.4518433,2.3509033,-0.16690063,-0.41137695,-0.095565796
10h30m15s832ms,-3.325592,-1.4611359,7.4518433,2.3509033,0.34957886,-0.26997375,-0.0024871826
10h30m15s908ms,-2.6290588,-2.74234,9.850662,1.3263916,-0.0332489,0.08528137,-0.14324951
10h30m15s981ms,-2.6290588,-2.74234,9.850662,1.3263916,0.3325348,0.039978027,-0.061798096
10h30m16s56ms,-2.6290588,-2.74234,9.850662,0.25624084,0.23895264,-0.16479492,-0.018829346
10h30m16s130ms,-2.2952118,-2.541977,8.847961,0.29631346,-0.054840088,0.037643433,0.049743652
10h30m16s204ms,-2.2952118,-2.541977,8.847961,0.29631346,0.024154663,-0.03126526,0.004348755
10h30m16s276ms,-2.2928467,-2.3853912,8.918198,0.07138977,0.07597351,-0.008422852,-0.036743164
10h30m16s353ms,-2.2928467,-2.3853912,8.918198,0.07138977,0.01902771,-0.012451172,-0.013870239
10h30m16s428ms,-2.2928467,-2.3853912,8.918198,0.07138977,0.75579834,-0.2043457,0.061553955
10h30m16s499ms,-2.3651886,-2.1733093,9.629623,0.07373352,2.0962524,-0.22640991,0.21768188
10h30m16s577ms,-2.3651886,-2.1733093,9.629623,0.07373352,3.2936249,-0.39549255,0.05996704
10h30m16s670ms,-2.3651886,-2.1733093,9.629623,0.042416383,5.8827057,-1.1302338,-0.053329468
10h30m16s725ms,-1.8314667,0.95751953,10.970062,0.66858214,7.946411,-0.7676239,0.3141327
10h30m16s798ms,-1.8314667,0.95751953,10.970062,0.66858214,2.9275208,0.46620178,0.28971863
10h30m16s872ms,-1.8314667,0.95751953,10.970062,0.62616575,1.585144,-0.3474884,0.61227417
10h30m16s946ms,-0.7843933,6.188202,0.692688,1.6723022,-0.38534546,0.1846466,0.096221924
10h30m17s20ms,-0.7843933,6.188202,0.692688,1.6723022,1.2819977,-0.24705505,0.38212585
10h30m17s91ms,0.2995453,10.415588,-0.3529358,1.8916137,0.27285767,0.31123352,0.09249878
10h30m17s166ms,0.2995453,10.415588,-0.3529358,1.8916137,-0.28138733,0.005004883,-0.22584534
10h30m17s245ms,0.2995453,10.415588,-0.3529358,1.8916137,-0.026397705,-0.04597473,-0.015274048
10h30m17s315ms,0.4729309,9.699371,-1.2053833,0.9887207,-0.2620697,0.03012085,-0.08244324
10h30m17s390ms,0.4729309,9.699371,-1.2053833,0.9887207,0.066482544,0.021133423,0.077926636
10h30m17s465ms,0.4729309,9.699371,-1.2053833,0.1432434,-0.1550293,0.08572388,0.03353882
10h30m17s538ms,0.18559265,9.675537,-0.5331726,0.14801025,0.08067322,-0.056106567,0.01574707
10h30m17s613ms,0.18559265,9.675537,-0.5331726,0.14801025,-0.02444458,0.005706787,-0.06402588
10h30m17s689ms,0.28657532,9.87146,-0.58576965,0.043951415,-0.01133728,-0.0119018555,-0.044311523
10h30m17s762ms,0.28657532,9.87146,-0.58576965,0.043951415,0.07281494,0.009414673,-0.033599854
10h30m17s837ms,0.28657532,9.87146,-0.58576965,0.043951415,-0.04689026,0.002319336,0.046569824
10h30m17s908ms,0.19673157,9.733582,-0.60783386,0.06676026,-0.030670166,-0.014801025,-0.020080566
10h30m17s981ms,0.19673157,9.733582,-0.60783386,0.06676026,-0.0071868896,0.036956787,-0.02394104
10h30m18s56ms,0.19673157,9.733582,-0.60783386,0.027575683,-0.0021514893,0.03555298,-0.019317627
