
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h59m20s284ms,-0.7710724,10.003983,-0.52064514,0.003982544,0.0011291504,0.078430176,-0.03366089
21h59m20s358ms,-0.7710724,10.003983,-0.52064514,0.001991272,-0.05986023,-0.01876831,-0.006454468
21h59m20s428ms,-0.695282,10.057129,-0.5491333,0.019042969,0.011917114,0.009246826,-0.041259766
21h59m20s503ms,-0.695282,10.057129,-0.5491333,0.014282227,-9.460449E-4,0.05091858,-0.048736572
21h59m20s578ms,-0.695282,10.057129,-0.5491333,0.011425781,0.020874023,-0.05760193,-0.03591919
21h59m20s652ms,-0.7956238,9.938507,-0.5322876,0.034353636,0.03149414,-0.032348633,-0.039123535
21h59m20s727ms,-0.7956238,9.938507,-0.5322876,0.034353636,0.044158936,0.02458191,-0.05493164
21h59m20s801ms,-0.7956238,9.938507,-0.5322876,0.023724366,-0.6419525,0.25497437,-0.19960022
21h59m20s874ms,-0.93608093,10.386658,-0.81085205,0.11335449,-3.9417267,-0.11515808,0.08644104
21h59m20s949ms,-0.93608093,10.386658,-0.81085205,0.11335449,-8.018814,-0.9374237,-2.2219238
21h59m21s20ms,-0.87901306,5.027893,-0.4373169,1.161383,-8.700531,0.7819061,0.40882874
21h59m21s98ms,-0.87901306,5.027893,-0.4373169,1.161383,-4.256378,-0.04185486,-0.8249359
21h59m21s173ms,-0.87901306,5.027893,-0.4373169,1.161383,-3.3695984,-0.22267151,-0.64559937
21h59m21s258ms,-1.8163757,-3.3019104,10.103729,2.7377136,-0.031692505,-1.4118195,-1.093399
21h59m21s318ms,-1.8163757,-3.3019104,10.103729,2.7377136,4.7611237,-1.534378,-0.528183
21h59m21s392ms,-1.8163757,-3.3019104,10.103729,1.6659607,8.81871,-1.5399628,-1.2097931
21h59m21s466ms,-0.5154877,-5.0335236,13.72644,2.0122833,8.069122,-0.2982788,-1.8463745
21h59m21s542ms,-0.5154877,-5.0335236,13.72644,2.0122833,5.0596924,0.78012085,-1.4982605
21h59m21s615ms,0.44935608,3.9817352,3.7773285,2.1493745,1.591568,2.1359863,-1.1053162
21h59m21s691ms,0.44935608,3.9817352,3.7773285,2.1493745,-0.23931885,1.4641418,-0.6531372
21h59m21s765ms,0.44935608,3.9817352,3.7773285,2.1493745,0.05026245,0.2270813,0.056930542
21h59m21s836ms,-2.0724792,8.553345,-2.1540222,2.7173736,-0.4178009,0.07923889,-0.0107421875
21h59m21s916ms,-2.0724792,8.553345,-2.1540222,2.7173736,-0.3672943,-0.011413574,0.13883972
21h59m21s992ms,-2.0724792,8.553345,-2.1540222,0.9143219,-2.0911255,-0.14846802,-0.023132324
21h59m22s60ms,-1.8465576,9.8350525,-1.5123596,1.1706635,-5.5313873,-0.4696045,-0.29161072
21h59m22s135ms,-1.8465576,9.8350525,-1.5123596,1.1706635,-8.873795,-1.0903015,-0.8971863
21h59m22s209ms,-1.8465576,9.8350525,-1.5123596,0.25634155,-6.390503,-2.232376,1.1382904
21h59m22s282ms,-1.3122864,1.6369324,3.4842834,1.8959656,-5.6684875,-0.18928528,0.36672974
21h59m22s363ms,-1.3122864,1.6369324,3.4842834,1.8959656,-2.1576233,-0.7006378,-0.2068634
21h59m22s432ms,1.2154541,-7.6115723,11.019058,3.489325,-0.027618408,-0.27304077,-0.14343262
21h59m22s507ms,1.2154541,-7.6115723,11.019058,3.489325,1.1957092,0.23045349,-0.05130005
21h59m22s581ms,1.2154541,-7.6115723,11.019058,3.489325,5.933304,-1.2575073,-1.2732239
21h59m22s651ms,1.4952545,-6.501358,10.149353,2.0717437,9.386642,-1.8660736,-2.7965393
21h59m22s730ms,1.4952545,-6.501358,10.149353,2.0717437,7.6920624,-1.11203,-2.5532074
21h59m22s829ms,1.4952545,-6.501358,10.149353,0.22204284,4.269684,0.28448486,-1.9969025
21h59m22s909ms,2.4009552,1.8871613,7.340851,1.8997467,2.2378998,1.3113708,-1.1545258
21h59m22s981ms,2.4009552,1.8871613,7.340851,1.8997467,1.1002808,1.2133026,-0.53926086
21h59m23s86ms,-0.41688538,8.220261,-1.5476685,2.9443238,-0.6746521,0.9844055,-0.5108948
21h59m23s158ms,-0.41688538,8.220261,-1.5476685,2.9443238,0.22639465,0.38121033,-0.0059814453
21h59m23s206ms,-0.41688538,8.220261,-1.5476685,2.9443238,-0.40135193,0.23490906,0.19580078
21h59m23s253ms,-1.0074615,9.480957,-1.3628845,1.5187591,-2.0314178,0.13945007,0.17376709
21h59m23s324ms,-1.0074615,9.480957,-1.3628845,1.5187591,-7.8084106,0.6721039,0.079437256
21h59m23s397ms,-1.0074615,9.480957,-1.3628845,0.25213927,-12.044556,1.4029694,1.2189178
21h59m23s468ms,-1.4940491,2.680481,1.2268066,1.6122345,-9.451675,0.8287201,1.0623932
21h59m23s548ms,-1.4940491,2.680481,1.2268066,1.6122345,-1.3290405,-0.72006226,-0.6229706
21h59m23s620ms,-1.4940491,2.680481,1.2268066,1.3600953,-0.061645508,-0.12724304,-0.32569885
21h59m23s692ms,-1.1225739,-7.076187,11.322006,3.3114288,0.8692169,-0.25993347,-0.14955139
21h59m23s766ms,-1.1225739,-7.076187,11.322006,3.3114288,4.412796,-1.0510406,-0.25302124
21h59m23s839ms,-0.40013123,-6.582733,10.967102,2.0500245,11.143478,-2.562729,-1.329361
21h59m23s914ms,-0.40013123,-6.582733,10.967102,2.0500245,10.928299,-2.2237244,-1.7432861
21h59m24s6ms,-0.40013123,-6.582733,10.967102,2.0500245,6.396393,0.330719,-0.90623474
21h59m24s65ms,1.0267334,0.739151,4.8844757,1.5630677,0.80540466,2.3108826,-0.517746
21h59m24s138ms,1.0267334,0.739151,4.8844757,1.5630677,0.11366272,0.47511292,-0.5765686
21h59m24s212ms,1.0267334,0.739151,4.8844757,1.4643768,-0.6058197,0.3313141,-0.6433563
21h59m24s284ms,1.2744141,9.174652,-3.9182892,3.151477,-0.36813354,0.5818176,-0.5207825
21h59m24s362ms,1.2744141,9.174652,-3.9182892,3.151477,-0.49690247,0.06808472,-0.40664673
21h59m24s433ms,0.03730774,9.769318,-1.9826508,1.8060334,-1.0073547,-0.06477356,-0.23568726
21h59m24s507ms,0.03730774,9.769318,-1.9826508,1.8060334,-4.0894165,-0.144104,-0.37974548
21h59m24s582ms,0.03730774,9.769318,-1.9826508,1.8060334,-10.5277405,0.48988342,-1.7071991
21h59m24s655ms,-0.38142395,4.464798,-1.512146,1.179837,-14.41684,2.2043152,-2.041565
21h59m24s730ms,-0.38142395,4.464798,-1.512146,1.179837,-1.8361511,-1.3863068,-2.242447
21h59m24s806ms,-0.38142395,4.464798,-1.512146,1.0609039,0.70118713,-2.2711792,-1.1423492
21h59m24s879ms,-2.185089,-10.376541,8.789139,4.029172,-0.07182312,0.057357788,0.14543152
21h59m24s953ms,-2.185089,-10.376541,8.789139,4.029172,1.94841,-0.28851318,0.22680664
21h59m25s28ms,-2.185089,-10.376541,8.789139,2.968268,7.6072845,-1.0728607,-0.1247406
21h59m25s99ms,0.3869629,-7.7093964,11.003143,3.5016968,11.345932,-1.4963074,-3.04953
21h59m25s179ms,0.3869629,-7.7093964,11.003143,3.5016968,8.701263,-0.30393982,-2.662033
21h59m25s254ms,0.7595215,-0.70832825,7.808548,1.9336426,4.6319275,2.2385864,-1.148407
21h59m25s323ms,0.7595215,-0.70832825,7.808548,1.9336426,0.6307068,2.798462,-0.21336365
21h59m25s398ms,0.7595215,-0.70832825,7.808548,1.9336426,-0.5432129,0.7939606,-0.43624878
21h59m25s471ms,-0.5314636,7.7388306,-4.697464,3.0896454,-0.98924255,0.35517883,-0.22557068
21h59m25s546ms,-0.5314636,7.7388306,-4.697464,3.0896454,-0.20729065,-0.043426514,0.09352112
21h59m25s625ms,-0.5314636,7.7388306,-4.697464,1.6894318,-0.79359436,-0.091674805,0.1055603
21h59m25s689ms,-0.86413574,9.826309,-2.2806396,2.1069274,-4.0048676,0.062042236,-0.18339539
21h59m25s764ms,-0.86413574,9.826309,-2.2806396,2.1069274,-10.158493,-0.6363373,-1.6235504
21h59m25s845ms,-0.09838867,1.1366272,-2.870285,2.1554322,-16.205582,0.66192627,-1.4983673
21h59m25s918ms,-0.09838867,1.1366272,-2.870285,2.1554322,-2.9710693,-1.7132568,-2.3625946
21h59m25s988ms,-0.09838867,1.1366272,-2.870285,2.1554322,-0.75775146,-2.9705963,-1.4298248
21h59m26s62ms,0.18222046,-11.025787,9.19133,4.170419,-1.0576019,-0.40501404,0.19023132
21h59m26s133ms,0.18222046,-11.025787,9.19133,4.170419,1.8300171,0.058944702,0.223526
21h59m26s208ms,0.18222046,-11.025787,9.19133,2.432483,8.026535,-0.8130188,-0.08409119
21h59m26s281ms,2.7575836,-8.875626,11.576996,2.8625152,14.146423,-2.2425232,-2.2717438
21h59m26s356ms,2.7575836,-8.875626,11.576996,2.8625152,9.416458,-1.5005951,-3.9671173
21h59m26s432ms,2.7575836,-8.875626,11.576996,0.43003234,0.29727173,3.1868744,-1.6833038
21h59m26s506ms,2.6082764,0.64985657,3.9556122,2.3351288,1.6394196,1.5648346,-0.8764343
21h59m26s581ms,2.6082764,0.64985657,3.9556122,2.3351288,0.079071045,0.7942047,-0.59736633
21h59m26s650ms,-0.6512909,8.05069,-2.4895172,3.385263,-0.33265686,0.24317932,-0.22853088
21h59m26s724ms,-0.6512909,8.05069,-2.4895172,3.385263,-0.26065063,0.06803894,0.31141663
21h59m26s817ms,-0.6512909,8.05069,-2.4895172,3.385263,-2.2480621,0.28707886,0.34513855
21h59m26s894ms,-0.88778687,9.244598,-2.8991394,1.7189484,-8.3988495,-0.22239685,-0.08717346
21h59m26s951ms,-0.88778687,9.244598,-2.8991394,1.7189484,-14.390396,0.16722107,-1.7124481
21h59m27s23ms,-0.88778687,9.244598,-2.8991394,0.23878174,-9.47113,-0.16896057,-1.2118988
21h59m27s94ms,-0.15724182,-6.55896,3.9987488,3.3994935,2.3038025,-4.0050964,-1.9632263
21h59m27s168ms,-0.15724182,-6.55896,3.9987488,3.3994935,-0.2481842,0.21231079,0.28527832
21h59m27s264ms,-0.15724182,-6.55896,3.9987488,3.1607118,4.163803,0.018157959,0.25976563
21h59m27s329ms,2.3807068,-9.719376,10.556473,3.7927947,8.599533,-0.79541016,-1.0537109
21h59m27s392ms,2.3807068,-9.719376,10.556473,3.7927947,11.077377,-1.7063293,-3.065155
21h59m27s465ms,4.579651,-1.9770813,10.470184,2.180542,6.96817,-0.3208313,-3.074524
21h59m27s540ms,4.579651,-1.9770813,10.470184,2.180542,1.1192932,3.1657104,-0.9927368
21h59m27s615ms,4.579651,-1.9770813,10.470184,2.180542,0.0892334,1.7685242,-0.25061035
21h59m27s684ms,-0.6030426,5.99292,-2.0114746,3.1424592,0.49525452,0.26220703,0.21385193
21h59m27s760ms,-0.6030426,5.99292,-2.0114746,3.1424592,-0.21473694,0.079833984,0.11883545
21h59m27s835ms,-0.6030426,5.99292,-2.0114746,1.5940002,-0.25057983,0.16130066,-0.08129883
21h59m27s905ms,0.1797638,9.718674,-2.094986,2.339151,-0.8695221,0.34518433,-0.06311035
21h59m27s979ms,0.1797638,9.718674,-2.094986,2.339151,-2.8923645,0.2028656,-0.0051116943
21h59m28s58ms,0.021865845,8.799683,-2.6692505,0.928949,-6.942047,-0.57299805,-0.16479492
21h59m28s129ms,0.021865845,8.799683,-2.6692505,0.928949,-12.272644,-0.9610748,-0.06738281
21h59m28s203ms,0.021865845,8.799683,-2.6692505,0.928949,-5.5438995,-3.0571594,2.553955
21h59m28s276ms,2.081604,-5.321869,7.973709,3.0081086,-0.9423218,-1.059967,-0.6809082
21h59m28s351ms,2.081604,-5.321869,7.973709,3.0081086,0.18835449,0.028030396,-0.49298096
21h59m28s426ms,2.081604,-5.321869,7.973709,2.8243103,0.15492249,0.4385376,0.04286194
21h59m28s500ms,4.013077,-6.1884003,10.093918,2.9976165,3.0595245,-0.04171753,-0.2749939
21h59m28s574ms,4.013077,-6.1884003,10.093918,2.9976165,8.566986,-0.43907166,-2.6717224
21h59m28s644ms,4.013077,-6.1884003,10.093918,0.17330627,10.173172,-0.8054352,-4.461426
21h59m28s715ms,6.1527863,-1.9577637,13.022491,1.0194336,6.0483704,-0.12310791,-3.4407501
21h59m28s795ms,6.1527863,-1.9577637,13.022491,1.0194336,0.20343018,2.9307861,-1.23172
21h59m28s867ms,-0.9614868,4.9859467,-0.93730164,2.2348695,0.2731018,1.2184753,-0.61299133
21h59m28s939ms,-0.9614868,4.9859467,-0.93730164,2.2348695,-0.35346985,0.30947876,-0.046310425
21h59m29s14ms,-0.9614868,4.9859467,-0.93730164,2.2348695,0.028564453,-0.047042847,0.2303009
21h59m29s87ms,-1.7438965,9.062927,-1.7490082,2.2041383,-0.4750061,0.23542786,0.27952576
21h59m29s162ms,-1.7438965,9.062927,-1.7490082,2.2041383,-1.5613556,0.21636963,0.19741821
21h59m29s236ms,-1.7438965,9.062927,-1.7490082,0.81539613,-5.5362854,-0.13963318,0.1235199
