
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h47m9s998ms,-0.2950287,10.430252,-0.63690186,0.43025208,-1.3973846,-0.05291748,-0.016189575
21h47m10s73ms,-0.2950287,10.430252,-0.63690186,0.21512604,-3.999466,0.61828613,-0.88056946
21h47m10s144ms,-0.23370361,9.301483,-1.3380432,0.51967365,-6.9578094,0.5050659,-1.2107391
21h47m10s219ms,-0.23370361,9.301483,-1.3380432,0.38975525,-7.4024353,-0.29611206,-1.2149811
21h47m10s294ms,-0.23370361,9.301483,-1.3380432,0.3118042,-3.7330322,-0.6595001,-0.29608154
21h47m10s367ms,-0.69802856,-0.81007385,7.4946136,2.2480652,1.9703827,-1.7657013,-0.618454
21h47m10s443ms,-0.69802856,-0.81007385,7.4946136,2.2480652,6.7768097,-0.8736725,-0.45368958
21h47m10s519ms,-0.69802856,-0.81007385,7.4946136,2.0223114,5.63739,0.93855286,-0.55545044
21h47m10s596ms,0.10043335,-1.1762085,13.794601,2.0955384,5.8671265,0.0973053,-0.34194946
21h47m10s666ms,0.10043335,-1.1762085,13.794601,2.0955384,2.8885193,0.38160706,-0.5577545
21h47m10s737ms,0.028121948,7.117691,1.073883,1.7320068,1.641861,0.67785645,-0.537796
21h47m10s811ms,0.028121948,7.117691,1.073883,1.7320068,1.110733,0.7496033,0.38723755
21h47m10s887ms,0.028121948,7.117691,1.073883,1.7320068,-0.5873718,0.2857666,-0.05845642
21h47m10s961ms,-1.440445,9.395645,-2.1798096,2.1143708,0.2467804,0.092315674,0.22489929
21h47m11s37ms,-1.440445,9.395645,-2.1798096,2.1143708,-0.19360352,0.11312866,-0.11569214
21h47m11s112ms,-1.440445,9.395645,-2.1798096,0.4555908,-0.20780945,-0.04196167,0.08746338
21h47m11s184ms,-0.9033661,10.037445,-1.3071442,0.5839508,-0.7800293,0.18016052,0.32058716
21h47m11s259ms,-0.9033661,10.037445,-1.3071442,0.5839508,-5.23497,0.6742859,-0.8274536
21h47m11s334ms,-0.9033661,10.037445,-1.3071442,0.12835999,-7.756775,0.64826965,-1.6238861
21h47m11s410ms,-0.26062012,8.68071,-2.675354,0.39970702,-7.8859406,0.7857971,-1.5843658
21h47m11s484ms,-0.26062012,8.68071,-2.675354,0.39970702,-1.4338989,-1.5239105,-0.8401184
21h47m11s555ms,-1.9941254,-1.8761597,9.133682,2.382721,-0.28303528,-1.0539703,-0.82566833
21h47m11s630ms,-1.9941254,-1.8761597,9.133682,2.382721,8.743027,-2.4864044,0.18095398
21h47m11s704ms,-1.9941254,-1.8761597,9.133682,2.382721,6.9002686,-0.007949829,-0.93336487
21h47m11s777ms,0.024490356,-0.13493347,13.694077,2.459619,6.1713257,0.6217499,-0.9211273
21h47m11s852ms,0.024490356,-0.13493347,13.694077,2.459619,2.0290985,0.7680664,-0.71455383
21h47m11s928ms,0.024490356,-0.13493347,13.694077,0.34824523,0.42140198,0.51586914,-0.4927826
21h47m12s2ms,-0.83395386,7.025696,-1.5603485,1.7803711,-0.17991638,0.744339,0.054748535
21h47m12s77ms,-0.83395386,7.025696,-1.5603485,1.7803711,-0.49650574,0.14138794,-0.04286194
21h47m12s152ms,-1.3138123,10.04335,-2.4299927,2.0356567,-0.60017395,0.415802,0.023849487
21h47m12s223ms,-1.3138123,10.04335,-2.4299927,2.0356567,-4.668213,1.4968414,-1.0683594
21h47m12s297ms,-1.3138123,10.04335,-2.4299927,2.0356567,-7.6457214,1.1414795,-1.7957306
21h47m12s367ms,-1.6029968,7.4358063,-1.9941864,1.1250397,-7.40448,0.022064209,-1.1340332
21h47m12s447ms,-1.6029968,7.4358063,-1.9941864,1.1250397,-2.848297,-2.023178,-0.53086853
21h47m12s521ms,-1.6029968,7.4358063,-1.9941864,0.5215088,-1.3476868,-0.4016266,-0.8089142
21h47m12s592ms,-1.5837402,-1.0145111,9.971237,2.2115722,2.821228,-1.0939789,-0.74276733
21h47m12s668ms,-1.5837402,-1.0145111,9.971237,2.2115722,7.7697144,-1.8024292,-0.17170715
21h47m12s742ms,-1.5837402,-1.0145111,9.971237,1.6900635,6.226074,0.24223328,-0.42814636
21h47m12s815ms,-0.8891144,-0.5179291,13.372665,1.7893798,6.7508698,0.15176392,-0.8313904
21h47m12s889ms,-0.8891144,-0.5179291,13.372665,1.7893798,1.5480499,1.6141357,-0.97494507
21h47m12s964ms,-0.9157257,6.835251,-1.005722,1.5699524,0.6752472,0.53666687,-0.24441528
21h47m13s39ms,-0.9157257,6.835251,-1.005722,1.5699524,0.10803223,0.39886475,-0.15429688
21h47m13s115ms,-0.9157257,6.835251,-1.005722,1.5699524,-0.2717743,-0.017501831,-0.005935669
21h47m13s196ms,-1.7367401,9.538391,-3.0458527,2.011264,-0.94047546,0.2921753,0.03866577
21h47m13s263ms,-1.7367401,9.538391,-3.0458527,2.011264,-5.038559,1.1903992,-0.38752747
21h47m13s335ms,-1.7367401,9.538391,-3.0458527,0.5406281,-8.009705,0.94000244,-0.7986908
21h47m13s403ms,-1.8998718,7.8963776,-2.6855469,0.8690308,-7.900299,1.039032,-0.37297058
21h47m13s480ms,-1.8998718,7.8963776,-2.6855469,0.8690308,-3.3896332,-1.3582306,-0.08818054
21h47m13s554ms,-1.8998718,7.8963776,-2.6855469,0.3284027,-0.9080353,-1.0585327,-1.0709686
21h47m13s628ms,-2.2317657,-0.95217896,9.967407,2.098114,5.2501373,-1.7063599,-0.4290161
21h47m13s702ms,-2.2317657,-0.95217896,9.967407,2.098114,7.5321045,-1.2224579,0.13671875
21h47m13s774ms,-1.0738678,-1.7328339,12.374893,1.9258423,7.1103516,-1.0617676,0.235672
21h47m13s849ms,-1.0738678,-1.7328339,12.374893,1.9258423,3.731186,0.018737793,0.0660553
21h47m13s924ms,-1.0738678,-1.7328339,12.374893,1.9258423,1.1710663,0.0126953125,-0.8302765
21h47m13s998ms,0.9585724,8.434113,-0.9459076,2.1895204,0.10345459,0.63648987,-0.5774536
21h47m14s73ms,0.9585724,8.434113,-0.9459076,2.1895204,0.32861328,-0.041656494,-0.11199951
21h47m14s148ms,0.9585724,8.434113,-0.9459076,2.0333893,-0.07545471,0.1424408,-0.12716675
21h47m14s221ms,-0.6289978,9.686295,-2.175232,2.2838256,-0.34777832,0.0025634766,0.05329895
21h47m14s296ms,-0.6289978,9.686295,-2.175232,2.2838256,-0.8562622,-0.048538208,-0.075805664
21h47m14s364ms,-0.31562805,10.010971,-1.626358,0.3153717,-0.91374207,0.22984314,-0.04386902
21h47m14s437ms,-0.31562805,10.010971,-1.626358,0.3153717,-2.3442535,0.009490967,-1.0014343
21h47m14s518ms,-0.31562805,10.010971,-1.626358,0.3153717,0.7507019,-0.46548462,0.3765564
21h47m14s586ms,-0.68144226,9.262421,1.7263641,0.21464539,0.39839172,0.17829895,0.15486145
21h47m14s660ms,-0.68144226,9.262421,1.7263641,0.21464539,0.9319916,-0.04838562,0.25552368
21h47m14s736ms,-0.68144226,9.262421,1.7263641,0.14971009,-0.040283203,0.36219788,-0.10696411
21h47m14s812ms,-0.68826294,9.646698,0.42041016,0.22656555,-0.025863647,-0.11323547,0.24043274
21h47m14s913ms,-0.68826294,9.646698,0.42041016,0.22656555,-3.756668,0.5782623,0.33624268
21h47m14s968ms,-0.68826294,9.646698,0.42041016,0.076855466,-9.78804,1.4252167,-1.2630463
21h47m15s34ms,-0.36141968,7.749817,-2.6257324,0.45623168,-9.706711,0.963501,-1.0818939
21h47m15s108ms,-0.36141968,7.749817,-2.6257324,0.45623168,-1.2637787,-1.4946289,-0.088272095
21h47m15s180ms,-2.161621,-3.7037506,10.349487,2.6700897,-1.2216492,1.1819916,-0.870224
21h47m15s254ms,-2.161621,-3.7037506,10.349487,2.6700897,1.4892426,-1.5208435,0.45491028
21h47m15s329ms,-2.161621,-3.7037506,10.349487,2.6700897,3.331314,-0.91937256,0.06781006
21h47m15s399ms,-1.6190033,-3.0099335,11.877167,2.429477,7.0038757,-2.227768,-0.14251709
21h47m15s477ms,-1.6190033,-3.0099335,11.877167,2.429477,6.584152,-1.4383545,-0.79411316
21h47m15s552ms,-1.6190033,-3.0099335,11.877167,0.13876343,4.932846,-0.9441986,-1.3100586
21h47m15s623ms,1.4224854,4.4670105,6.50972,1.6341522,2.5155792,0.012237549,-1.2911682
21h47m15s698ms,1.4224854,4.4670105,6.50972,1.6341522,0.5167694,0.55000305,-0.5257416
21h47m15s772ms,-0.6823425,8.475357,-1.1248169,2.297058,0.15487671,-0.12434387,-0.12614441
