
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h30m7s369ms,0.9799652,9.971832,-0.445755,0.028167725,-1.0320129,0.015853882,-0.33348083
18h30m7s441ms,0.027389526,9.508469,0.62431335,0.24576569,-1.54393,0.25238037,-0.21192932
18h30m7s512ms,1.0788269,8.916428,-0.6315155,0.3611908,-4.481674,0.94259644,-1.3729858
18h30m7s585ms,1.1977692,4.475952,-0.4157257,1.381012,-9.90834,1.9635468,-4.097061
18h30m7s659ms,-3.3660736,-8.1978,2.7233124,3.63956,-9.905533,-0.7733612,-1.4769287
18h30m7s730ms,-6.7550507,-8.715118,19.076889,3.73739,-0.04484558,-1.0854797,1.0206451
18h30m7s804ms,-3.5949554,-2.3791351,17.26146,4.911914,8.262817,-1.1983185,0.9402313
18h30m7s874ms,-1.4034424,-3.121704,15.664352,4.9420195,10.206009,-2.4265747,0.78034973
18h30m7s948ms,-1.1213531,-0.66563416,8.595749,4.5451384,9.168152,-2.613678,0.6507263
18h30m8s22ms,-0.46009827,3.160614,4.5597534,2.7756379,3.0515442,-1.0641327,-0.307312
18h30m8s92ms,-1.1059113,5.5388947,-7.7343445,3.1478302,0.16595459,0.016326904,-0.26457214
18h30m8s166ms,1.0743713,9.366119,-3.2730865,2.6460786,-0.026763916,0.22592163,-0.064971924
18h30m8s236ms,0.5627136,9.225769,-2.758255,2.5256348,-0.71383667,0.1756897,-0.11683655
18h30m8s309ms,0.52949524,9.640274,-1.4705048,2.1173217,-0.16461182,0.15107727,-0.037765503
18h30m8s381ms,0.6311035,9.227966,-2.4234924,1.4345337,-0.48143005,0.366745,-0.030258179
18h30m8s449ms,0.3212738,8.122787,-5.0188293,1.1799133,-3.9019318,1.6777802,-0.43902588
18h30m8s523ms,1.6815643,2.838211,-9.545593,1.4713837,-14.805649,2.1299744,-3.3529358
18h30m8s593ms,-1.9772644,-13.711441,5.759659,4.753244,-11.7469635,0.028656006,-1.0147095
18h30m8s668ms,-7.8685913,-10.042084,19.493042,5.4042144,4.0960693,-0.7939606,0.9591675
18h30m8s741ms,-2.2453766,-1.8217621,19.472519,6.9658175,12.798965,-2.477295,0.4646454
18h30m8s812ms,-1.0968475,-5.38533,12.56012,7.457495,9.773788,-1.5775452,0.8453064
18h30m8s885ms,-1.5354309,-0.5404053,0.9751129,7.369565,4.2109222,-0.941803,0.12937927
18h30m8s956ms,-0.08709717,6.0892944,-3.9245605,5.3855743,0.5979767,0.43818665,-0.09384155
18h30m9s30ms,0.81391907,8.159912,-4.4683075,5.0658264,-0.07727051,0.080825806,-0.097076416
18h30m9s100ms,1.0522919,9.530304,-2.3227997,3.6958404,-0.37927246,0.06059265,-0.16349792
18h30m9s173ms,0.82762146,9.740341,-1.7748566,3.0251343,-0.15827942,0.20825195,-0.09159851
18h30m9s244ms,1.159378,9.536667,-2.4209137,2.0968843,-0.14448547,-0.041610718,-0.0256958
18h30m9s318ms,1.341217,9.779739,-1.6507874,0.81955874,0.058807373,0.08140564,-0.20690918
