
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h58m8s580ms,-0.46873474,9.657562,-0.122421265,0.34243774,0.012924194,-0.05052185,-0.03717041
14h58m8s661ms,-0.46873474,9.657562,-0.122421265,0.34243774,-0.0082092285,-0.0043182373,0.02468872
14h58m8s725ms,-0.46873474,9.657562,-0.122421265,0.34243774,0.08984375,0.03201294,-0.010772705
14h58m8s799ms,-0.56092834,9.613815,0.19293213,0.19309235,0.47990417,0.12911987,-0.011123657
14h58m8s874ms,-0.56092834,9.613815,0.19293213,0.19309235,1.0356598,-0.015380859,0.04385376
14h58m8s950ms,-0.56092834,9.613815,0.19293213,0.19309235,3.8759613,-0.22854614,0.28451538
14h58m9s24ms,-0.53704834,9.020493,0.46029663,0.32650247,6.112488,-0.1149292,0.5218506
14h58m9s107ms,-0.53704834,9.020493,0.46029663,0.32650247,9.8267975,0.0027923584,0.024108887
14h58m9s173ms,0.14031982,0.3885498,-7.076309,2.4028625,4.626709,1.1053619,-0.15852356
14h58m9s241ms,0.14031982,0.3885498,-7.076309,2.4028625,-0.2975006,-0.32284546,0.15901184
14h58m9s320ms,0.14031982,0.3885498,-7.076309,2.4028625,-3.7216797,0.57162476,-0.022354126
14h58m9s390ms,0.71858215,-3.0224915,-14.306992,2.6044984,-7.613693,0.2850952,-0.63804626
14h58m9s465ms,0.71858215,-3.0224915,-14.306992,2.6044984,-8.860489,0.36009216,-1.4681854
14h58m9s540ms,0.71858215,-3.0224915,-14.306992,2.6044984,-6.768997,-0.107284546,-1.2834167
14h58m9s623ms,0.7009125,3.2412262,-4.8172455,3.7887542,-1.4575653,-1.446579,-0.41229248
14h58m9s716ms,0.7009125,3.2412262,-4.8172455,3.7887542,-0.15731812,-0.17198181,-0.2532959
14h58m9s763ms,0.7009125,3.2412262,-4.8172455,3.7887542,0.5133972,-0.3422699,-0.09286499
14h58m9s836ms,-0.5618744,8.713287,4.2986755,4.8744173,1.2439423,-0.31755066,-0.011779785
14h58m9s911ms,-0.5618744,8.713287,4.2986755,4.8744173,4.701874,-0.4857025,0.04121399
14h58m9s987ms,-0.888504,8.495911,3.7156982,4.7992277,7.0934143,0.106933594,-0.09049988
14h58m10s60ms,-0.888504,8.495911,3.7156982,4.7992277,8.808792,0.4315338,-0.108932495
14h58m10s134ms,-0.888504,8.495911,3.7156982,4.7992277,7.95224,1.4645233,-0.6768341
14h58m10s212ms,-0.3379364,-1.5717926,-8.502182,5.08638,-0.5090332,0.07537842,-0.1683197
14h58m10s279ms,-0.3379364,-1.5717926,-8.502182,5.08638,-3.0133057,0.04447937,-0.14852905
14h58m10s358ms,-0.3379364,-1.5717926,-8.502182,5.08638,-7.0039063,0.23750305,-0.7512512
14h58m10s448ms,0.64663696,-3.4728851,-13.266556,4.7843904,-7.8313293,-0.16557312,-0.70207214
14h58m10s505ms,0.64663696,-3.4728851,-13.266556,4.7843904,-6.991165,-0.20005798,-0.7487488
14h58m10s578ms,0.64663696,-3.4728851,-13.266556,4.7843904,-2.9056854,-1.0254211,-0.12515259
14h58m10s652ms,-0.1385498,4.420883,-2.8046875,5.1104,-0.8410187,-0.43048096,-0.071777344
14h58m10s728ms,-0.1385498,4.420883,-2.8046875,5.1104,0.058425903,-0.10638428,0.014022827
14h58m10s800ms,-0.33265686,9.234665,3.2907715,4.9787445,0.17324829,-0.1690979,-0.04234314
14h58m10s874ms,-0.33265686,9.234665,3.2907715,4.9787445,-0.06213379,-0.0049743652,-0.019683838
14h58m10s949ms,-0.33265686,9.234665,3.2907715,4.9787445,0.08119202,-0.02999878,-0.027618408
14h58m11s23ms,-0.41290283,9.345917,2.7138977,4.9575195,0.10420227,0.15264893,-0.031784058
14h58m11s97ms,-0.41290283,9.345917,2.7138977,4.9575195,0.43016052,-0.054992676,-0.042099
14h58m11s172ms,-0.41290283,9.345917,2.7138977,4.9575195,3.4417572,-0.5107422,-0.08380127
