
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h4m54s661ms,-8.126663,-3.4302063,-0.5149231,13.430206,1.2356415,-0.9238281,-0.46794128
14h4m54s736ms,-8.126663,-3.4302063,-0.5149231,6.715103,0.54730225,-0.3464203,-0.016967773
14h4m54s807ms,-9.301544,-2.877777,-0.2502594,4.6608787,0.013076782,-0.0028533936,0.20527649
14h4m54s880ms,-9.301544,-2.877777,-0.2502594,3.4956589,-0.39231873,-0.26184082,0.37399292
14h4m54s954ms,-9.301544,-2.877777,-0.2502594,2.7965271,-1.0255432,-0.108444214,0.038772583
14h4m55s29ms,-9.22377,-4.5796204,1.7381744,0.45085448,-1.2834778,-0.6751404,-0.19535828
14h4m55s111ms,-9.22377,-4.5796204,1.7381744,0.45085448,-0.61535645,-1.1395264,0.11468506
14h4m55s174ms,-9.012466,-3.4548187,0.51976013,0.56532896,-0.36402893,-1.2079468,0.21188354
14h4m55s249ms,-9.012466,-3.4548187,0.51976013,0.56532896,-1.0383759,-2.9792938,-0.44804382
14h4m55s334ms,-9.012466,-3.4548187,0.51976013,0.56532896,-2.6468048,-1.7129211,1.6391144
14h4m55s404ms,-7.0339966,-2.9850006,5.597229,0.31892395,-1.6046295,-3.1596375,1.1744995
14h4m55s473ms,-7.0339966,-2.9850006,5.597229,0.31892395,0.1383667,1.1718597,0.65812683
14h4m55s547ms,-7.0339966,-2.9850006,5.597229,0.09396362,-0.36013794,2.783905,1.2746735
14h4m55s622ms,-11.80011,-2.0271149,3.411972,0.28554076,-0.009780884,4.044098,1.7733154
14h4m55s696ms,-11.80011,-2.0271149,3.411972,0.28554076,1.0864868,2.7785645,2.4894104
14h4m55s770ms,-8.955948,0.38505554,-0.68058777,0.67401123,1.635315,0.55537415,1.0499878
14h4m55s844ms,-8.955948,0.38505554,-0.68058777,0.67401123,0.3189392,-1.6588135,-2.447281
14h4m55s919ms,-8.955948,0.38505554,-0.68058777,0.67401123,-0.5598297,-1.0559387,-2.1683502
14h4m55s991ms,-9.915787,-3.12529,-0.7539978,1.1845032,-0.15376282,0.87457275,0.95098877
14h4m56s68ms,-9.915787,-3.12529,-0.7539978,1.1845032,0.66659546,0.49328613,0.79371643
14h4m56s144ms,-9.915787,-3.12529,-0.7539978,0.7020691,1.1705627,-0.32176208,-1.4854889
14h4m56s213ms,-11.090347,-1.8599701,-1.949295,0.9551331,1.227356,0.15330505,-1.5761108
14h4m56s288ms,-11.090347,-1.8599701,-1.949295,0.9551331,0.18229675,1.8037872,0.66503906
14h4m56s368ms,-11.090347,-1.8599701,-1.949295,0.25306398,-0.6635895,1.0888062,1.2851563
14h4m56s436ms,-8.120926,-3.1201324,-1.4164581,0.50509644,0.11595154,-0.34899902,0.020492554
14h4m56s511ms,-8.120926,-3.1201324,-1.4164581,0.50509644,0.11842346,-0.6822815,-0.21066284
14h4m56s585ms,-9.342804,-4.063217,-1.3972931,0.44064942,-0.58226013,0.2941742,0.27305603
14h4m56s659ms,-9.342804,-4.063217,-1.3972931,0.44064942,-0.39657593,0.14923096,0.17951965
14h4m56s734ms,-9.342804,-4.063217,-1.3972931,0.44064942,-0.27412415,0.78785706,0.27796936
14h4m56s814ms,-10.398712,-2.0062103,-3.6011658,0.6000183,0.8370209,-0.3958435,-0.73210144
14h4m56s883ms,-10.398712,-2.0062103,-3.6011658,0.6000183,1.2028961,-1.2217865,-1.9621887
14h4m56s958ms,-10.398712,-2.0062103,-3.6011658,0.41140136,0.25772095,0.102767944,-0.23362732
14h4m57s29ms,-8.027283,-3.2026215,-2.0429077,0.6506836,-0.25564575,0.7962494,0.8753357
14h4m57s103ms,-8.027283,-3.2026215,-2.0429077,0.6506836,-0.11778259,-0.48846436,0.3352661
14h4m57s178ms,-8.513702,-3.4461365,-1.817337,0.28798524,0.28448486,-0.825119,0.078811646
14h4m57s252ms,-8.513702,-3.4461365,-1.817337,0.28798524,0.67996216,-0.41152954,0.571228
14h4m57s327ms,-8.513702,-3.4461365,-1.817337,0.28798524,0.23738098,0.566452,1.5350037
14h4m57s400ms,-9.016205,-2.5270996,-1.6110077,0.23251037,-0.2755127,0.63516235,1.8259125
14h4m57s481ms,-9.016205,-2.5270996,-1.6110077,0.23251037,0.5406189,0.647583,1.1908569
14h4m57s549ms,-9.016205,-2.5270996,-1.6110077,0.18380737,0.014419556,0.96313477,1.4765015
14h4m57s624ms,-10.558701,-0.08856201,-2.7597656,0.67151487,-0.6502533,0.9126587,1.5713348
14h4m57s700ms,-10.558701,-0.08856201,-2.7597656,0.67151487,-0.7943573,0.030578613,0.42137146
14h4m57s785ms,-10.558701,-0.08856201,-2.7597656,0.48770753,0.03404236,-0.43338013,-0.7953949
14h4m57s849ms,-10.533524,0.92266846,-3.2502594,0.6899536,0.016738892,0.09843445,-0.9128876
14h4m57s919ms,-10.533524,0.92266846,-3.2502594,0.6899536,0.026443481,0.22506714,-0.33106995
14h4m57s992ms,-8.174454,1.5876923,-3.9986725,0.33525085,-0.35533142,0.8547516,0.19511414
14h4m58s68ms,-8.174454,1.5876923,-3.9986725,0.33525085,-0.62335205,0.29718018,0.116104126
14h4m58s143ms,-8.174454,1.5876923,-3.9986725,0.33525085,-0.050109863,0.08303833,-0.8832245
