
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h25m30s366ms,0.51049805,8.743103,0.12863159,1.256897,0.2836151,-0.18051147,0.30633545
13h25m30s495ms,0.51049805,8.743103,0.12863159,1.256897,0.49900818,-0.2820282,0.46990967
13h25m30s536ms,0.8746948,9.258194,-0.47958374,0.88599396,0.59443665,-0.24363708,0.5910034
13h25m30s587ms,0.8746948,9.258194,-0.47958374,0.88599396,0.32766724,0.044021606,0.44026184
13h25m30s662ms,0.8746948,9.258194,-0.47958374,0.88599396,0.51704407,-0.1599884,0.5657501
13h25m30s736ms,2.0073547,9.418823,-1.3172302,0.64420575,0.24868774,0.033813477,0.5142822
13h25m30s810ms,2.0073547,9.418823,-1.3172302,0.64420575,0.044143677,0.090423584,0.22918701
13h25m30s885ms,2.0073547,9.418823,-1.3172302,0.64420575,-0.022354126,0.14942932,0.21273804
13h25m30s960ms,2.8033905,9.02829,-1.835846,0.58078766,-0.026000977,0.22277832,0.29063416
13h25m31s34ms,2.8033905,9.02829,-1.835846,0.58078766,-0.004211426,0.19700623,0.32333374
13h25m31s109ms,2.8033905,9.02829,-1.835846,0.58078766,0.118774414,0.12005615,0.27677917
13h25m31s179ms,3.4102325,8.822067,-1.6600952,0.50587463,0.06010437,0.16871643,0.19920349
13h25m31s256ms,3.4102325,8.822067,-1.6600952,0.50587463,0.018112183,0.033843994,0.10095215
13h25m31s329ms,3.7320557,8.544861,-1.8257751,0.30993652,0.07723999,0.07356262,0.17964172
13h25m31s403ms,3.7320557,8.544861,-1.8257751,0.30993652,0.09005737,0.1121521,0.23406982
13h25m31s478ms,3.7320557,8.544861,-1.8257751,0.30993652,0.1281128,0.054473877,0.2021637
13h25m31s552ms,4.184967,8.620514,-1.7227173,0.22204895,0.003326416,0.16212463,0.044021606
13h25m31s626ms,4.184967,8.620514,-1.7227173,0.22204895,-0.014709473,0.112976074,-0.05947876
13h25m31s701ms,4.184967,8.620514,-1.7227173,0.22204895,0.042800903,0.15458679,-0.031677246
13h25m31s776ms,4.2083282,8.449478,-1.726944,0.22413024,0.23544312,0.14419556,0.25390625
13h25m31s850ms,4.2083282,8.449478,-1.726944,0.22413024,0.11463928,0.32629395,0.3032074
13h25m31s925ms,4.4505005,7.842697,-1.7293243,0.26737976,0.21922302,0.16383362,0.23490906
13h25m31s996ms,4.4505005,7.842697,-1.7293243,0.26737976,0.09378052,0.21162415,0.08390808
13h25m32s70ms,4.4505005,7.842697,-1.7293243,0.26737976,0.055267334,0.059661865,0.11590576
13h25m32s144ms,5.236496,7.866623,-1.9996338,0.2309204,0.0016479492,0.057418823,0.19937134
13h25m32s219ms,5.236496,7.866623,-1.9996338,0.2309204,0.040039063,-0.057800293,0.21937561
13h25m32s294ms,5.236496,7.866623,-1.9996338,0.2309204,-0.11895752,0.029693604,0.09440613
13h25m32s367ms,5.4174805,7.828659,-1.8904724,0.1830719,-0.029159546,-0.0059661865,0.1481781
13h25m32s442ms,5.4174805,7.828659,-1.8904724,0.1830719,0.011383057,0.030075073,0.020431519
13h25m32s518ms,5.4174805,7.828659,-1.8904724,0.1830719,0.06341553,0.102142334,0.11924744
13h25m32s592ms,5.340561,7.6575317,-1.658432,0.20216675,0.0670166,0.056106567,0.03916931
13h25m32s665ms,5.340561,7.6575317,-1.658432,0.20216675,-1.9836426E-4,0.04663086,-0.03100586
13h25m32s736ms,5.572357,7.5292206,-1.8434753,0.19362183,-0.003326416,0.082107544,-0.023773193
13h25m32s811ms,5.572357,7.5292206,-1.8434753,0.19362183,-5.187988E-4,0.09762573,0.06652832
13h25m32s885ms,5.572357,7.5292206,-1.8434753,0.19362183,0.02444458,0.0796051,0.10066223
13h25m32s960ms,5.472748,7.4934998,-1.7213593,0.07940979,0.0552063,0.12225342,0.16537476
13h25m33s35ms,5.472748,7.4934998,-1.7213593,0.07940979,0.046340942,0.090164185,0.09260559
13h25m33s109ms,5.472748,7.4934998,-1.7213593,0.07940979,0.059829712,0.08894348,0.09992981
13h25m33s183ms,5.947296,7.453949,-1.6446381,0.08253479,0.024032593,0.031280518,0.1105957
13h25m33s257ms,5.947296,7.453949,-1.6446381,0.08253479,0.042114258,-0.022125244,0.11734009
13h25m33s342ms,5.947296,7.453949,-1.6446381,0.08253479,-0.0020599365,0.04298401,0.102249146
13h25m33s407ms,6.101761,7.2341156,-1.6589661,0.11890869,0.012390137,-0.0055999756,0.119262695
13h25m33s482ms,6.101761,7.2341156,-1.6589661,0.11890869,-1.5258789E-5,0.03227234,0.11035156
13h25m33s565ms,6.155777,7.130432,-1.5575104,0.10541992,0.06881714,-0.012802124,0.12335205
13h25m33s686ms,6.155777,7.130432,-1.5575104,0.10541992,0.026290894,0.05810547,0.09654236
13h25m33s767ms,6.155777,7.130432,-1.5575104,0.10541992,0.023620605,-0.041915894,0.09025574
13h25m33s824ms,6.335907,6.878845,-1.7020111,0.13007507,0.014816284,0.001876831,0.10531616
13h25m33s887ms,6.335907,6.878845,-1.7020111,0.13007507,-0.003616333,0.031845093,0.11061096
13h25m33s944ms,6.335907,6.878845,-1.7020111,0.13007507,0.02508545,-0.0061798096,0.12445068
13h25m34s1ms,6.4032288,6.7908173,-1.6595306,0.1405365,0.03538513,0.04698181,0.09794617
13h25m34s73ms,6.4032288,6.7908173,-1.6595306,0.1405365,0.075805664,0.042648315,0.22982788
13h25m34s149ms,6.6400604,6.642502,-1.6280365,0.16228943,0.07106018,0.032699585,0.16880798
13h25m34s234ms,6.6400604,6.642502,-1.6280365,0.16228943,0.06808472,0.0592041,0.09732056
13h25m34s299ms,6.6400604,6.642502,-1.6280365,0.16228943,0.062042236,0.06591797,0.09011841
13h25m34s368ms,6.9378815,6.4413605,-1.7206573,0.15855102,0.06903076,0.024093628,0.075927734
13h25m34s444ms,6.9378815,6.4413605,-1.7206573,0.15855102,0.07029724,0.06062317,0.09547424
13h25m34s522ms,6.9378815,6.4413605,-1.7206573,0.15855102,0.048202515,0.06552124,0.113708496
13h25m34s592ms,6.9782715,6.1803894,-1.7030487,0.19000855,0.04814148,0.055526733,0.10295105
13h25m34s667ms,6.9782715,6.1803894,-1.7030487,0.19000855,0.024490356,0.044891357,0.08555603
13h25m34s763ms,6.9782715,6.1803894,-1.7030487,0.19000855,0.030380249,0.03630066,0.07345581
13h25m34s824ms,7.224823,6.031494,-1.733078,0.16947022,0.021240234,0.04371643,0.049743652
13h25m34s889ms,7.224823,6.031494,-1.733078,0.16947022,0.03742981,0.026443481,0.0783844
13h25m34s963ms,7.248749,5.917389,-1.6829681,0.17468567,0.04763794,0.04612732,0.09605408
13h25m35s38ms,7.248749,5.917389,-1.6829681,0.17468567,0.045211792,0.057128906,0.13764954
13h25m35s113ms,7.248749,5.917389,-1.6829681,0.17468567,0.03767395,0.05065918,0.09938049
13h25m35s196ms,7.385025,5.8009186,-1.6407928,0.16831665,0.034454346,0.0766449,0.08685303
13h25m35s260ms,7.385025,5.8009186,-1.6407928,0.16831665,0.046173096,0.064071655,0.13188171
13h25m35s336ms,7.385025,5.8009186,-1.6407928,0.16831665,0.04600525,-0.015090942,0.10935974
13h25m35s409ms,7.5878143,5.6076813,-1.6688995,0.16673584,0.04084778,0.026748657,0.11854553
13h25m35s503ms,7.5878143,5.6076813,-1.6688995,0.16673584,0.032669067,0.040390015,0.120666504
13h25m35s587ms,7.684662,5.373123,-1.6508026,0.16145325,0.034942627,0.0011444092,0.11042786
13h25m35s639ms,7.684662,5.373123,-1.6508026,0.16145325,0.026916504,0.018035889,0.077301025
13h25m35s707ms,7.684662,5.373123,-1.6508026,0.16145325,0.030059814,0.03173828,0.10331726
13h25m35s779ms,7.7499695,5.2178955,-1.6295166,0.16271973,0.062942505,0.011489868,0.17204285
13h25m35s853ms,7.7499695,5.2178955,-1.6295166,0.16271973,0.07583618,0.026062012,0.18156433
13h25m35s928ms,7.7499695,5.2178955,-1.6295166,0.16271973,0.037460327,0.03112793,0.11000061
13h25m36s8ms,7.9841766,4.998047,-1.6490021,0.18386841,0.03201294,0.041870117,0.09324646
13h25m36s118ms,7.9841766,4.998047,-1.6490021,0.18386841,0.03314209,0.03933716,0.09017944
13h25m36s160ms,7.9841766,4.998047,-1.6490021,0.18386841,0.03729248,0.0137786865,0.12513733
13h25m36s222ms,8.122131,4.6976624,-1.670105,0.22065124,0.03425598,0.028930664,0.12503052
13h25m36s297ms,8.122131,4.6976624,-1.670105,0.22065124,0.03164673,0.013061523,0.1586914
13h25m36s392ms,8.168289,4.5026855,-1.6322632,0.22099915,0.039901733,0.055419922,0.15545654
13h25m36s447ms,8.168289,4.5026855,-1.6322632,0.22099915,0.051452637,0.015914917,0.16844177
13h25m36s521ms,8.168289,4.5026855,-1.6322632,0.22099915,0.028015137,0.0014038086,0.057281494
13h25m36s641ms,8.446136,4.3444214,-1.5950775,0.20574036,0.033187866,0.10171509,0.08338928
13h25m36s710ms,8.446136,4.3444214,-1.5950775,0.20574036,0.044189453,0.020202637,0.085128784
13h25m36s765ms,8.446136,4.3444214,-1.5950775,0.20574036,0.042419434,0.018508911,0.1162262
13h25m36s845ms,8.464859,4.076828,-1.6148224,0.2282135,0.032608032,0.056610107,0.07217407
13h25m36s913ms,8.464859,4.076828,-1.6148224,0.2282135,-0.039245605,-0.029708862,-0.179245
13h25m36s971ms,8.607346,4.057663,-1.6894684,0.18807678,0.027374268,0.014892578,0.10203552
13h25m37s38ms,8.607346,4.057663,-1.6894684,0.18807678,0.036087036,0.06503296,0.0987854
13h25m37s115ms,8.607346,4.057663,-1.6894684,0.18807678,0.039276123,0.026443481,0.055343628
13h25m37s186ms,8.599579,3.8190765,-1.5218048,0.17571716,0.024642944,0.057418823,0.101638794
13h25m37s260ms,8.599579,3.8190765,-1.5218048,0.17571716,0.030944824,0.00843811,0.11369324
13h25m37s336ms,8.599579,3.8190765,-1.5218048,0.17571716,0.057754517,-0.00680542,0.15675354
13h25m37s410ms,8.674454,3.6063385,-1.5361938,0.1792694,0.042663574,0.04246521,0.12571716
13h25m37s484ms,8.674454,3.6063385,-1.5361938,0.1792694,0.032104492,0.02217102,0.12646484
13h25m37s559ms,8.674454,3.6063385,-1.5361938,0.1792694,0.05857849,-0.034118652,0.23432922
13h25m37s630ms,8.786514,3.3346863,-1.5337982,0.20194702,0.039733887,0.009353638,0.100112915
13h25m37s708ms,8.786514,3.3346863,-1.5337982,0.20194702,0.02684021,-0.038589478,0.083862305
13h25m37s780ms,8.929153,3.0911713,-1.5719452,0.19713135,0.02357483,-0.0013885498,0.124313354
13h25m37s895ms,8.929153,3.0911713,-1.5719452,0.19713135,0.016693115,0.026290894,0.039779663
13h25m37s999ms,8.929153,3.0911713,-1.5719452,0.19713135,0.04156494,0.039505005,0.10173035
13h25m38s61ms,8.954224,2.9707184,-1.5025177,0.21738891,0.029769897,0.043273926,0.081588745
13h25m38s117ms,8.954224,2.9707184,-1.5025177,0.21738891,0.051345825,-0.018417358,0.17878723
13h25m38s173ms,8.954224,2.9707184,-1.5025177,0.21738891,0.041152954,-0.0016479492,0.13549805
13h25m38s229ms,9.031784,2.6918488,-1.588211,0.22544555,0.009689331,0.032852173,0.040618896
13h25m38s300ms,9.031784,2.6918488,-1.588211,0.22544555,0.020858765,-0.02319336,0.049804688
13h25m38s372ms,9.090454,2.5305328,-1.5373077,0.21516113,0.040878296,0.030151367,0.09706116
13h25m38s449ms,9.090454,2.5305328,-1.5373077,0.21516113,0.045440674,0.01524353,0.13026428
13h25m38s524ms,9.090454,2.5305328,-1.5373077,0.21516113,0.05567932,-0.042114258,0.1651001
13h25m38s594ms,9.136307,2.2950745,-1.5418854,0.20792237,0.037460327,0.035598755,0.10688782
