
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h43m40s925ms,-0.1308899,9.757126,-0.33119202,0.24287415,-0.29266357,-0.15148926,0.3259735
10h43m41s56ms,-0.1308899,9.757126,-0.33119202,0.12143707,-0.12265015,-0.09513855,-0.24850464
10h43m41s120ms,-0.22187805,10.684326,-0.43415833,0.3900248,0.15634155,0.10971069,-0.30595398
10h43m41s166ms,-0.22187805,10.684326,-0.43415833,0.29251862,0.11752319,0.3878479,0.3174591
10h43m41s226ms,-0.22187805,10.684326,-0.43415833,0.2340149,0.02810669,0.5997162,0.26437378
10h43m41s301ms,-0.61376953,9.793182,0.122421265,0.36366883,0.7165985,-0.14300537,-0.16116333
10h43m41s368ms,-0.61376953,9.793182,0.122421265,0.36366883,-0.5654144,-0.043182373,-0.08407593
10h43m41s450ms,-0.61376953,9.793182,0.122421265,0.17822877,-0.23951721,-0.22662354,-0.16247559
10h43m41s557ms,0.31089783,9.696594,-0.39624023,0.1975464,0.32702637,-0.16581726,-0.24565125
10h43m41s621ms,0.31089783,9.696594,-0.39624023,0.1975464,-0.10801697,0.1745758,0.13383484
10h43m41s666ms,-0.20881653,9.232529,0.007965088,0.11213074,0.29612732,-0.092437744,0.07395935
10h43m41s740ms,-0.20881653,9.232529,0.007965088,0.11213074,0.027572632,0.23348999,-0.03161621
10h43m41s815ms,-0.20881653,9.232529,0.007965088,0.11213074,0.29336548,0.1407013,0.13957214
10h43m41s885ms,-0.10597229,9.341522,-0.44213867,0.11461182,0.07875061,-0.13574219,0.082107544
10h43m41s960ms,-0.10597229,9.341522,-0.44213867,0.11461182,0.2411499,-0.02911377,0.19581604
10h43m42s38ms,-0.10597229,9.341522,-0.44213867,0.021798706,0.3633423,-0.006790161,0.16215515
10h43m42s116ms,-0.07972717,9.6636505,-0.67529297,0.08622436,0.34519958,-0.07342529,0.05126953
10h43m42s183ms,-0.07972717,9.6636505,-0.67529297,0.08622436,0.28018188,-0.11201477,0.12602234
10h43m42s258ms,0.24085999,9.640518,-1.371521,0.06905212,0.34579468,-0.046157837,0.1025238
10h43m42s363ms,0.24085999,9.640518,-1.371521,0.06905212,0.30793762,-0.06718445,0.029083252
10h43m42s418ms,0.24085999,9.640518,-1.371521,0.06905212,0.10916138,0.046524048,0.047851563
10h43m42s481ms,0.38882446,9.564194,-1.9344635,0.019891357,0.07008362,0.047927856,0.08807373
10h43m42s555ms,0.38882446,9.564194,-1.9344635,0.019891357,0.43774414,-0.027648926,0.040786743
10h43m42s636ms,0.38882446,9.564194,-1.9344635,0.015264893,0.14736938,-0.0036468506,0.103256226
