
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h47m50s846ms,-0.18591309,9.93396,-0.13595581,0.06604004,0.019851685,0.095214844,-0.06794739
21h47m50s927ms,-0.18591309,9.93396,-0.13595581,0.03302002,4.5776367E-4,-0.042816162,-0.0066833496
21h47m50s993ms,-0.18591309,9.93396,-0.13595581,0.022013346,0.02557373,0.13208008,0.08465576
21h47m51s69ms,-0.13346863,9.946869,-0.15014648,0.019737244,7.7819824E-4,0.5394592,0.0038146973
21h47m51s145ms,-0.13346863,9.946869,-0.15014648,0.015789796,-0.015487671,0.34658813,0.04573059
21h47m51s241ms,-0.13346863,9.946869,-0.15014648,0.002581787,0.0063476563,0.15475464,0.01953125
21h47m51s302ms,-0.33218384,9.910355,-0.33351135,0.009884643,0.008010864,-0.5196991,-0.14955139
21h47m51s367ms,-0.33218384,9.910355,-0.33351135,0.009884643,0.20930481,0.3100891,-0.078948975
21h47m51s441ms,-0.33218384,9.910355,-0.33351135,0.0073028565,0.36288452,1.325882,-0.0019226074
21h47m51s512ms,-0.091278076,10.036087,0.22741699,0.032449342,-0.29856873,0.42988586,0.8625946
21h47m51s591ms,-0.091278076,10.036087,0.22741699,0.032449342,-0.17480469,-0.37739563,0.34498596
21h47m51s662ms,0.32504272,10.56929,-1.148529,0.1317871,0.20851135,0.12887573,0.08918762
21h47m51s737ms,0.32504272,10.56929,-1.148529,0.1317871,0.0756073,0.17752075,0.88383484
21h47m51s811ms,0.32504272,10.56929,-1.148529,0.1317871,0.098464966,-0.4043579,0.75891113
21h47m51s885ms,1.2412872,10.311554,-0.83776855,0.15818787,0.33657837,0.03878784,-0.18363953
21h47m51s961ms,1.2412872,10.311554,-0.83776855,0.15818787,0.3447113,0.06312561,0.6284485
21h47m52s37ms,1.2412872,10.311554,-0.83776855,0.05154724,0.076828,0.1404419,0.50050354
21h47m52s109ms,1.5548553,9.276474,-0.45088196,0.25856322,0.019348145,0.008636475,0.6266022
21h47m52s189ms,1.5548553,9.276474,-0.45088196,0.25856322,0.26779175,0.07260132,0.5407562
21h47m52s257ms,3.0466156,9.389786,-0.7880554,0.22967835,0.23944092,0.070999146,0.27163696
21h47m52s330ms,3.0466156,9.389786,-0.7880554,0.22967835,0.20483398,-0.0069885254,0.4967041
21h47m52s405ms,3.0466156,9.389786,-0.7880554,0.22967835,0.16427612,0.015289307,0.21376038
21h47m52s478ms,3.4190826,8.610519,-1.5096741,0.17851563,0.113479614,0.08831787,0.34675598
21h47m52s554ms,3.4190826,8.610519,-1.5096741,0.17851563,0.03919983,0.008743286,0.44908142
21h47m52s628ms,3.4190826,8.610519,-1.5096741,0.15585327,0.042434692,-0.055908203,0.02645874
21h47m52s702ms,4.2471924,8.685776,-1.7704163,0.17090455,0.11174011,0.092803955,-0.0016479492
21h47m52s777ms,4.2471924,8.685776,-1.7704163,0.17090455,0.06993103,-0.027435303,0.032974243
21h47m52s851ms,4.2471924,8.685776,-1.7704163,0.01505127,0.036315918,-0.045959473,0.094192505
21h47m52s922ms,4.30896,8.542465,-1.7552032,0.04371338,0.06640625,0.0131073,0.010696411
21h47m53s1ms,4.30896,8.542465,-1.7552032,0.04371338,-0.018417358,0.0644989,0.2609253
21h47m53s72ms,4.358917,8.503937,-1.7444916,0.036367796,-0.012542725,0.014007568,0.26004028
21h47m53s147ms,4.358917,8.503937,-1.7444916,0.036367796,0.12013245,-0.04321289,0.20289612
21h47m53s221ms,4.358917,8.503937,-1.7444916,0.036367796,0.059295654,-0.013397217,0.1659851
21h47m53s295ms,5.0597076,8.46579,-1.7850342,0.015335083,0.028640747,-0.028274536,0.09133911
21h47m53s370ms,5.0597076,8.46579,-1.7850342,0.015335083,0.0049591064,0.011184692,0.13098145
21h47m53s445ms,5.0597076,8.46579,-1.7850342,0.0076293945,0.09832764,-0.06365967,-0.031555176
21h47m53s521ms,4.9738007,8.13472,-1.8008728,0.07384338,-0.07583618,0.1363678,0.16615295
21h47m53s599ms,4.9738007,8.13472,-1.8008728,0.07384338,-0.023239136,-0.03715515,0.069992065
21h47m53s666ms,5.184372,8.204178,-1.8150177,0.08010559,0.09152222,0.061553955,-0.03427124
21h47m53s740ms,5.184372,8.204178,-1.8150177,0.08010559,-0.025283813,0.077560425,0.082092285
21h47m53s824ms,5.184372,8.204178,-1.8150177,0.08010559,0.024810791,-0.08572388,0.22183228
21h47m53s888ms,5.4249115,8.131317,-1.9221344,0.028463745,0.09133911,0.04385376,-0.08067322
21h47m53s964ms,5.4249115,8.131317,-1.9221344,0.028463745,0.104019165,-0.09399414,0.14001465
21h47m54s39ms,5.4249115,8.131317,-1.9221344,0.014572144,0.10812378,0.02178955,-0.025650024
21h47m54s124ms,5.3350983,7.9733276,-1.9453735,0.046170045,0.07951355,0.048171997,0.21643066
21h47m54s187ms,5.3350983,7.9733276,-1.9453735,0.046170045,-0.0069732666,-0.0038604736,0.3319397
21h47m54s262ms,5.3350983,7.9733276,-1.9453735,0.0315979,0.07836914,5.0354004E-4,-0.05680847
21h47m54s334ms,5.6929626,7.744232,-2.1233368,0.07741699,0.068222046,0.005645752,0.20791626
21h47m54s408ms,5.6929626,7.744232,-2.1233368,0.07741699,-0.06903076,-0.06121826,0.20358276
21h47m54s482ms,5.624054,7.4020386,-2.232666,0.11425781,-0.05227661,0.027404785,0.16758728
21h47m54s558ms,5.624054,7.4020386,-2.232666,0.11425781,-0.022994995,0.09013367,0.3199005
21h47m54s637ms,5.624054,7.4020386,-2.232666,0.11425781,-0.07841492,0.009552002,0.27075195
21h47m54s705ms,6.074402,7.380127,-2.0092773,0.07282104,-0.035629272,0.12319946,0.011367798
21h47m54s783ms,6.074402,7.380127,-2.0092773,0.07282104,0.026153564,-0.007965088,0.16468811
21h47m54s855ms,6.074402,7.380127,-2.0092773,0.0043823244,0.07795715,0.029022217,0.056655884
21h47m54s930ms,6.5451202,7.236908,-1.8479156,0.03302612,-0.019973755,0.07546997,0.016906738
21h47m55s5ms,6.5451202,7.236908,-1.8479156,0.03302612,-0.01701355,-0.021606445,0.22381592
21h47m55s77ms,6.5377045,6.9861298,-1.8908539,0.07879944,-0.030471802,0.091171265,0.10107422
21h47m55s153ms,6.5377045,6.9861298,-1.8908539,0.07879944,-0.027008057,1.2207031E-4,0.02885437
21h47m55s225ms,6.5377045,6.9861298,-1.8908539,0.07879944,0.06036377,0.0013275146,0.06463623
21h47m55s299ms,6.6368256,6.967621,-1.7980042,0.053857423,-0.029525757,0.064071655,0.11808777
21h47m55s381ms,6.6368256,6.967621,-1.7980042,0.053857423,-0.018051147,0.073150635,0.12756348
21h47m55s449ms,6.6368256,6.967621,-1.7980042,0.0037017823,0.018035889,0.02571106,0.23648071
21h47m55s523ms,6.822403,6.7440033,-1.86763,0.048425294,0.06832886,-0.082092285,0.20233154
21h47m55s598ms,6.822403,6.7440033,-1.86763,0.048425294,0.07550049,0.031433105,-0.047210693
21h47m55s674ms,6.822403,6.7440033,-1.86763,0.04472351,-0.03538513,0.034835815,0.20831299
21h47m55s767ms,7.0238647,6.584244,-1.7879028,0.076675415,0.0047454834,-0.013580322,-0.024810791
21h47m55s827ms,7.0238647,6.584244,-1.7879028,0.076675415,0.0022735596,0.12399292,-0.058135986
21h47m55s895ms,7.0617676,6.4928436,-1.8209991,0.050231934,-0.060424805,-0.011764526,0.15905762
21h47m55s968ms,7.0617676,6.4928436,-1.8209991,0.050231934,-0.083847046,-0.024215698,0.36149597
21h47m56s43ms,7.0617676,6.4928436,-1.8209991,0.050231934,0.0014038086,0.046539307,-0.15052795
21h47m56s116ms,7.368088,6.5194397,-1.6826477,0.023599243,0.038269043,0.013641357,-0.20271301
21h47m56s191ms,7.368088,6.5194397,-1.6826477,0.023599243,-0.073013306,0.057922363,0.20248413
21h47m56s265ms,7.368088,6.5194397,-1.6826477,0.005319214,-0.0063323975,0.05517578,-0.060272217
21h47m56s337ms,7.1187134,6.1838837,-1.6842804,0.07243042,0.048095703,-0.020309448,0.06539917
21h47m56s415ms,7.1187134,6.1838837,-1.6842804,0.07243042,-0.030914307,0.0041656494,0.11325073
21h47m56s487ms,7.3112793,6.301651,-1.6608582,0.09066467,-0.0029296875,-0.027114868,-0.043563843
21h47m56s561ms,7.3112793,6.301651,-1.6608582,0.09066467,-0.03944397,0.0029449463,0.26734924
21h47m56s642ms,7.3112793,6.301651,-1.6608582,0.09066467,0.030059814,0.047607422,0.029083252
21h47m56s710ms,7.33197,6.1893005,-1.5537415,0.04602356,0.05482483,0.02671814,0.03768921
21h47m56s785ms,7.33197,6.1893005,-1.5537415,0.04602356,0.016998291,0.0073547363,0.1665039
21h47m56s860ms,7.33197,6.1893005,-1.5537415,0.022470092,-0.019683838,0.0038757324,0.22822571
21h47m56s933ms,7.4433594,5.888275,-1.6239166,0.082675174,-0.042007446,0.016967773,0.017791748
21h47m57s8ms,7.4433594,5.888275,-1.6239166,0.082675174,-0.0030059814,0.031219482,-0.021759033
21h47m57s108ms,7.4433594,5.888275,-1.6239166,0.06020508,-0.010894775,0.14823914,0.13452148
21h47m57s167ms,7.5905304,5.8378906,-1.4598389,0.07028198,7.6293945E-4,-0.022415161,0.34713745
21h47m57s228ms,7.5905304,5.8378906,-1.4598389,0.07028198,-0.057937622,0.0309906,0.14619446
