
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h2m18s483ms,-0.20272827,9.66153,0.024719238,0.33847046,-0.003692627,0.0012207031,0.0010375977
10h2m18s601ms,-0.19125366,9.655426,0.017074585,0.17228699,6.1035156E-5,-0.0025482178,0.0046081543
10h2m18s639ms,-0.19125366,9.655426,0.017074585,0.17228699,-0.017578125,-0.05218506,0.027893066
10h2m18s702ms,-0.24552917,9.654419,-0.020141602,0.11519369,-0.025100708,-0.092163086,0.03366089
10h2m18s777ms,-0.24552917,9.654419,-0.020141602,0.11519369,-0.017990112,-0.020858765,0.1952362
10h2m18s853ms,-0.24552917,9.654419,-0.020141602,0.11519369,-0.07720947,0.10803223,0.18101501
10h2m18s927ms,-0.024291992,9.871719,0.13627625,0.14072037,-0.10324097,-0.14958191,0.14659119
10h2m19s2ms,-0.024291992,9.871719,0.13627625,0.14072037,0.010543823,-0.24458313,0.3902893
10h2m19s77ms,-0.024291992,9.871719,0.13627625,0.14072037,-0.109954834,-0.123794556,0.7238159
10h2m19s151ms,0.26568604,9.655762,0.4244995,0.15576783,0.2592163,-0.26509094,0.876709
10h2m19s225ms,0.26568604,9.655762,0.4244995,0.15576783,0.064453125,0.045181274,0.5705414
10h2m19s301ms,0.26568604,9.655762,0.4244995,0.15576783,0.078811646,-0.10157776,0.36236572
10h2m19s372ms,1.9890747,9.567017,-0.022964478,0.10582276,0.041275024,-0.04147339,0.3262329
10h2m19s446ms,1.9890747,9.567017,-0.022964478,0.10582276,0.013092041,0.009796143,0.5005646
10h2m19s521ms,2.3802643,8.900162,-0.04397583,0.23797302,0.07850647,-0.0801239,0.7476196
10h2m19s596ms,2.3802643,8.900162,-0.04397583,0.23797302,-0.05885315,0.0206604,0.5403595
10h2m19s671ms,2.3802643,8.900162,-0.04397583,0.23797302,0.065979004,0.016983032,0.6307678
10h2m19s744ms,3.7707672,9.076233,-0.03727722,0.27298585,0.05491638,0.027938843,0.5261688
10h2m19s819ms,3.7707672,9.076233,-0.03727722,0.27298585,0.11642456,0.07147217,0.72958374
10h2m19s894ms,3.7707672,9.076233,-0.03727722,0.27298585,0.0061187744,0.065719604,0.7435608
10h2m19s966ms,4.7003326,8.113403,-0.22579956,0.42209166,0.011230469,0.06842041,0.70606995
10h2m20s40ms,4.7003326,8.113403,-0.22579956,0.42209166,0.01272583,0.033935547,0.517395
10h2m20s117ms,6.0006256,7.3378296,-0.27815247,0.5340149,0.004699707,0.021148682,0.5238037
10h2m20s192ms,6.0006256,7.3378296,-0.27815247,0.5340149,0.0069885254,0.02659607,0.4390869
10h2m20s267ms,6.0006256,7.3378296,-0.27815247,0.5340149,0.017410278,-0.044906616,0.5123291
10h2m20s339ms,6.701523,6.8368683,-0.075424194,0.6164581,0.014251709,0.022277832,0.53648376
10h2m20s415ms,6.701523,6.8368683,-0.075424194,0.6164581,0.049209595,-0.058685303,0.51205444
10h2m20s489ms,6.701523,6.8368683,-0.075424194,0.6164581,-0.040924072,0.11793518,0.29489136
10h2m20s559ms,7.429825,6.150009,-0.25254822,0.62045896,0.0831604,-0.0823822,0.40483093
10h2m20s634ms,7.429825,6.150009,-0.25254822,0.62045896,0.044525146,-0.045028687,0.46061707
10h2m20s713ms,7.429825,6.150009,-0.25254822,0.62045896,0.1277008,0.013641357,0.50883484
10h2m20s783ms,7.7906036,5.4672546,-0.19761658,0.7217957,0.08190918,-0.038894653,0.45936584
10h2m20s859ms,7.7906036,5.4672546,-0.19761658,0.7217957,0.1199646,-0.009719849,0.5436096
10h2m20s933ms,8.291183,4.649521,-0.41474915,0.6927765,0.14910889,-0.013031006,0.5236206
10h2m21s21ms,8.291183,4.649521,-0.41474915,0.6927765,0.16020203,0.012557983,0.43528748
10h2m21s82ms,8.291183,4.649521,-0.41474915,0.6927765,0.08885193,0.12289429,0.29336548
10h2m21s153ms,8.775955,3.8287354,-0.505188,0.7018188,0.103271484,0.041137695,0.33621216
10h2m21s228ms,8.775955,3.8287354,-0.505188,0.7018188,0.061660767,0.101257324,0.27592468
10h2m21s319ms,8.775955,3.8287354,-0.505188,0.7018188,0.06478882,0.08097839,0.2480774
10h2m21s392ms,9.028122,3.1523132,-0.6257477,0.736911,0.06892395,-0.09159851,0.26856995
10h2m21s453ms,9.028122,3.1523132,-0.6257477,0.736911,0.064468384,0.108673096,0.2464447
