
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h8m15s400ms,0.22410583,9.661758,0.5979767,0.33824158,0.34135437,-0.24511719,0.1497345
13h8m15s498ms,0.22410583,9.661758,0.5979767,0.33824158,0.22190857,-0.19178772,0.07368469
13h8m15s549ms,0.47839355,9.599442,0.08622742,0.20027924,0.5373993,-0.5075836,0.21324158
13h8m15s601ms,0.47839355,9.599442,0.08622742,0.20027924,0.44226074,-0.43896484,0.29040527
13h8m15s673ms,0.47839355,9.599442,0.08622742,0.20027924,0.40760803,-0.30540466,0.25154114
13h8m15s746ms,0.80937195,9.472534,-0.73191833,0.17582195,0.10572815,0.0010223389,0.12263489
13h8m15s820ms,0.80937195,9.472534,-0.73191833,0.17582195,0.27764893,-0.21224976,0.2088623
13h8m15s902ms,0.80937195,9.472534,-0.73191833,0.17582195,0.53004456,-0.32199097,0.33029175
13h8m15s967ms,1.1789551,9.344223,-1.4634552,0.16394424,0.52597046,-0.30033875,0.26585388
13h8m16s40ms,1.1789551,9.344223,-1.4634552,0.16394424,0.54933167,-0.17370605,0.30308533
13h8m16s149ms,1.6262054,9.143127,-2.3219147,0.17137451,0.6173248,-0.30615234,0.34298706
13h8m16s230ms,1.6262054,9.143127,-2.3219147,0.17137451,0.49017334,-0.24067688,0.26879883
13h8m16s296ms,1.6262054,9.143127,-2.3219147,0.17137451,0.21678162,0.021881104,0.12516785
13h8m16s368ms,2.0969086,8.838272,-3.4342651,0.16469726,0.047286987,0.088409424,0.025650024
13h8m16s450ms,2.0969086,8.838272,-3.4342651,0.16469726,0.22369385,-0.19024658,0.09567261
13h8m16s505ms,2.0969086,8.838272,-3.4342651,0.16469726,0.33416748,-0.20529175,0.19746399
13h8m16s561ms,2.182602,8.489349,-3.871872,0.22201844,0.35038757,-0.21664429,0.18154907
13h8m16s638ms,2.182602,8.489349,-3.871872,0.22201844,0.5029907,-0.265213,0.21334839
13h8m16s719ms,2.182602,8.489349,-3.871872,0.22201844,0.3891449,-0.08731079,0.1736145
