
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h58m21s823ms,-0.24691772,9.629349,0.052337646,0.37065125,-0.001449585,-0.0014190674,-0.0019378662
14h58m21s909ms,-0.23957825,9.626389,0.051574707,0.18680573,-6.713867E-4,-2.593994E-4,-0.0023345947
14h58m21s974ms,-0.23957825,9.626389,0.051574707,0.18680573,-5.79834E-4,-0.0033569336,0.00970459
14h58m22s45ms,-0.23957825,9.626389,0.051574707,0.18680573,-0.13648987,-0.06239319,0.064437866
14h58m22s116ms,-0.35108948,9.636032,-0.066711426,0.12775166,-0.27778625,0.2149353,0.40109253
14h58m22s193ms,-0.35108948,9.636032,-0.066711426,0.12775166,-9.918213E-4,0.2509308,-0.049926758
14h58m22s266ms,-0.35108948,9.636032,-0.066711426,0.12775166,0.24024963,-0.099823,-0.33644104
14h58m22s342ms,0.17967224,10.485504,0.86720276,0.30818176,0.057876587,0.18858337,-0.089538574
14h58m22s414ms,0.17967224,10.485504,0.86720276,0.30818176,0.18676758,-0.19491577,0.66708374
14h58m22s489ms,0.17967224,10.485504,0.86720276,0.30818176,0.3516388,-0.1724701,1.1009674
14h58m22s573ms,0.010223389,9.1523285,-0.44467163,0.51318055,0.11886597,-0.07337952,0.85487366
14h58m22s640ms,0.010223389,9.1523285,-0.44467163,0.51318055,0.09794617,-0.02722168,0.16929626
14h58m22s711ms,1.6407471,8.978409,-0.32185364,0.47383422,-0.2814026,-0.08772278,-0.33555603
14h58m22s786ms,1.6407471,8.978409,-0.32185364,0.47383422,0.043533325,-0.032440186,0.4109192
14h58m22s861ms,1.6407471,8.978409,-0.32185364,0.47383422,-0.09060669,0.083496094,0.58981323
14h58m22s931ms,1.4802856,9.41507,-0.24134827,0.56057435,0.058151245,-0.16622925,0.8701935
14h58m23s7ms,1.4802856,9.41507,-0.24134827,0.56057435,-0.021072388,0.03514099,0.93289185
14h58m23s124ms,1.4802856,9.41507,-0.24134827,0.56057435,-0.08605957,-0.11100769,1.1383362
14h58m23s175ms,3.2626953,8.583527,-0.34532166,0.72495425,-0.103393555,-0.16256714,1.1262817
14h58m23s231ms,3.2626953,8.583527,-0.34532166,0.72495425,0.022979736,-0.067489624,0.85002136
14h58m23s304ms,5.298538,8.370178,-0.036376953,0.5977295,0.007369995,0.2237854,0.027877808
14h58m23s378ms,5.298538,8.370178,-0.036376953,0.5977295,0.11517334,0.12037659,-0.012329102
14h58m23s452ms,5.298538,8.370178,-0.036376953,0.5977295,0.07966614,0.026489258,0.21836853
14h58m23s527ms,5.498398,7.7041016,-0.3126831,0.4643097,0.060317993,0.0029144287,0.28501892
14h58m23s612ms,5.498398,7.7041016,-0.3126831,0.4643097,0.08950806,-0.009002686,0.275589
14h58m23s676ms,5.498398,7.7041016,-0.3126831,0.4643097,0.050598145,-0.014465332,0.34298706
14h58m23s747ms,5.918915,7.5494385,-0.3478546,0.46045837,0.037826538,-0.018798828,0.43615723
14h58m23s821ms,5.918915,7.5494385,-0.3478546,0.46045837,0.032165527,-0.12757874,0.52737427
14h58m23s905ms,5.918915,7.5494385,-0.3478546,0.46045837,-0.003189087,-0.105285645,0.6005249
14h58m23s970ms,6.448807,6.8488464,-0.52337646,0.5132446,-0.024749756,-0.1802826,0.59906006
14h58m24s45ms,6.448807,6.8488464,-0.52337646,0.5132446,0.086380005,-0.018676758,0.49378967
14h58m24s119ms,7.2817383,6.263443,-0.4544525,0.46401674,0.059783936,0.051086426,0.31254578
14h58m24s193ms,7.2817383,6.263443,-0.4544525,0.46401674,-0.036636353,-0.042770386,0.14199829
14h58m24s269ms,7.2817383,6.263443,-0.4544525,0.46401674,0.018692017,-0.10481262,0.23042297
14h58m24s343ms,7.6185913,5.5954742,-0.7015686,0.5549408,0.009643555,-0.043655396,0.2208252
14h58m24s418ms,7.6185913,5.5954742,-0.7015686,0.5549408,-0.038238525,-0.0018310547,0.16455078
14h58m24s492ms,7.6185913,5.5954742,-0.7015686,0.5549408,-0.048095703,-0.10473633,0.24205017
14h58m24s561ms,7.875717,5.354889,-0.72946167,0.46984252,0.028411865,-0.13723755,0.29748535
14h58m24s643ms,7.875717,5.354889,-0.72946167,0.46984252,0.0048828125,-0.040863037,0.24691772
14h58m24s715ms,8.115219,5.0522003,-0.75582886,0.49944764,-0.042175293,0.02583313,0.11734009
14h58m24s786ms,8.115219,5.0522003,-0.75582886,0.49944764,0.026611328,-0.06707764,0.20179749
14h58m24s860ms,8.115219,5.0522003,-0.75582886,0.49944764,0.018295288,-0.04663086,0.11437988
14h58m24s944ms,8.280304,4.6709747,-0.7305603,0.43557435,0.041259766,-0.023742676,0.16543579
14h58m25s13ms,8.280304,4.6709747,-0.7305603,0.43557435,0.06298828,-0.04156494,0.27630615
14h58m25s84ms,8.280304,4.6709747,-0.7305603,0.43557435,0.093688965,-0.06199646,0.23954773
