
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
2h0m6s207ms,-0.7185974,9.958984,0.08016968,0.041015625,0.010131836,0.013824463,0.012817383
22h0m6s312ms,-0.7185974,9.958984,0.08016968,0.020507813,0.009490967,0.0063171387,-0.044174194
22h0m6s357ms,-0.7185974,9.958984,0.08016968,0.013671875,0.003967285,0.048950195,-0.025924683
22h0m6s431ms,-0.69929504,10.072601,0.11706543,0.038658142,0.062316895,0.03845215,0.012435913
22h0m6s506ms,-0.69929504,10.072601,0.11706543,0.030926514,0.07817078,-0.009414673,-0.034103394
22h0m6s585ms,-0.691864,9.814453,0.03704834,0.074353024,0.042434692,0.0060272217,-0.008392334
22h0m6s652ms,-0.691864,9.814453,0.03704834,0.074353024,-0.0075531006,-0.00390625,-0.0036773682
22h0m6s726ms,-0.691864,9.814453,0.03704834,0.074353024,-0.06466675,0.088394165,0.023925781
22h0m6s801ms,-0.8047638,9.881363,-0.04374695,0.0650116,-0.10122681,0.04283142,0.030212402
22h0m6s875ms,-0.8047638,9.881363,-0.04374695,0.0650116,0.010192871,0.12715149,0.20159912
22h0m6s950ms,-0.8047638,9.881363,-0.04374695,0.013381958,-0.09336853,0.14183044,0.22015381
22h0m7s24ms,-0.71673584,9.954742,0.096206665,0.028057862,0.050338745,-0.019302368,0.29104614
22h0m7s98ms,-0.71673584,9.954742,0.096206665,0.028057862,0.05529785,0.06626892,0.51078796
22h0m7s174ms,-0.71673584,9.954742,0.096206665,0.014675903,0.03694153,0.05680847,0.5347595
22h0m7s247ms,-0.2657776,9.886871,-0.00390625,0.028250122,-0.035064697,0.09324646,0.62294006
22h0m7s322ms,-0.2657776,9.886871,-0.00390625,0.028250122,-0.010192871,-0.0043945313,0.46165466
22h0m7s393ms,1.0302582,9.858093,0.10203552,0.019329835,0.043624878,0.056900024,0.39175415
22h0m7s467ms,1.0302582,9.858093,0.10203552,0.019329835,0.017715454,0.036895752,0.33224487
22h0m7s542ms,1.0302582,9.858093,0.10203552,0.019329835,0.026626587,0.07093811,0.37097168
22h0m7s617ms,1.847168,9.682587,0.0750885,0.040856935,0.054275513,0.009933472,0.38035583
22h0m7s691ms,1.847168,9.682587,0.0750885,0.040856935,-0.03086853,0.10821533,0.2836151
22h0m7s766ms,1.847168,9.682587,0.0750885,0.035101317,0.059387207,0.003189087,0.2974701
22h0m7s840ms,2.5683289,9.468811,-0.039794922,0.077856444,0.016921997,9.460449E-4,0.28985596
22h0m7s914ms,2.5683289,9.468811,-0.039794922,0.077856444,0.037582397,0.059783936,0.30537415
22h0m7s990ms,3.0164795,9.266388,-0.044296265,0.08323975,0.0027770996,0.033859253,0.33581543
22h0m8s76ms,3.0164795,9.266388,-0.044296265,0.08323975,0.041412354,0.01335144,0.35588074
22h0m8s140ms,3.0164795,9.266388,-0.044296265,0.08323975,0.03768921,0.040039063,0.38038635
22h0m8s209ms,3.6547394,9.164124,0.0103302,0.0609375,0.046432495,0.02734375,0.4089203
22h0m8s284ms,3.6547394,9.164124,0.0103302,0.0609375,0.078948975,0.009399414,0.36367798
22h0m8s359ms,3.6547394,9.164124,0.0103302,0.020452881,0.056533813,0.081329346,0.31860352
22h0m8s432ms,4.387207,8.886444,0.024276733,0.07598877,0.11981201,0.009338379,0.28215027
22h0m8s510ms,4.387207,8.886444,0.024276733,0.07598877,0.07321167,0.06510925,0.2722168
22h0m8s582ms,4.387207,8.886444,0.024276733,0.05553589,0.07914734,0.0663147,0.25476074
22h0m8s655ms,4.897751,8.547745,-0.15562439,0.12327576,0.12086487,0.08023071,0.22618103
22h0m8s729ms,4.897751,8.547745,-0.15562439,0.12327576,0.09098816,-0.0625,0.25932312
22h0m8s801ms,5.303879,8.2482605,-0.35942078,0.12763672,0.04737854,-0.064437866,0.31958008
22h0m8s879ms,5.303879,8.2482605,-0.35942078,0.12763672,0.06498718,-0.060012817,0.32543945
22h0m8s953ms,5.303879,8.2482605,-0.35942078,0.12763672,0.039749146,0.03781128,0.28666687
22h0m9s27ms,5.7385406,7.8894196,-0.30747986,0.13166504,0.0796051,0.023757935,0.25512695
22h0m9s98ms,5.7385406,7.8894196,-0.30747986,0.13166504,0.045440674,0.06060791,0.21435547
22h0m9s174ms,5.7385406,7.8894196,-0.30747986,0.07176819,0.023376465,0.08152771,0.15293884
22h0m9s248ms,6.206711,7.566437,-0.4478302,0.13636474,0.030441284,0.045410156,0.15434265
22h0m9s323ms,6.206711,7.566437,-0.4478302,0.13636474,0.055877686,-0.016906738,0.13253784
22h0m9s398ms,6.4628296,7.3588257,-0.42529297,0.106118776,0.018096924,0.028121948,0.09439087
22h0m9s471ms,6.4628296,7.3588257,-0.42529297,0.106118776,0.013122559,0.05935669,0.033065796
22h0m9s545ms,6.4628296,7.3588257,-0.42529297,0.106118776,-0.023925781,0.015594482,0.08239746
22h0m9s616ms,6.569458,7.2055206,-0.45202637,0.07218323,-0.027008057,-0.025909424,0.08370972
22h0m9s695ms,6.569458,7.2055206,-0.45202637,0.07218323,0.0069122314,0.014221191,0.17292786
22h0m9s769ms,6.569458,7.2055206,-0.45202637,0.030661011,-0.013412476,-0.013320923,0.22843933
22h0m9s840ms,6.75531,7.102173,-0.4230652,0.051330566,-0.023254395,-0.08050537,0.10638428
22h0m9s915ms,6.75531,7.102173,-0.4230652,0.051330566,-0.021850586,-0.040542603,0.017532349
22h0m9s989ms,6.75531,7.102173,-0.4230652,0.020669555,-1.0681152E-4,0.0057373047,0.020690918
22h0m10s64ms,6.865448,6.908203,-0.31204224,0.0594635,-0.042312622,0.08113098,-0.019882202
22h0m10s139ms,6.865448,6.908203,-0.31204224,0.0594635,0.02494812,0.13259888,0.111465454
22h0m10s212ms,6.8534546,6.8135376,-0.31759644,0.05772705,-0.0023651123,0.06512451,0.18119812
22h0m10s287ms,6.8534546,6.8135376,-0.31759644,0.05772705,-0.008468628,-0.038131714,0.27786255
22h0m10s361ms,6.8534546,6.8135376,-0.31759644,0.05772705,2.89917E-4,-0.05531311,0.20954895
22h0m10s433ms,7.236664,6.5802155,-0.20024109,0.065597534,-0.018081665,0.0032196045,0.11984253
22h0m10s511ms,7.236664,6.5802155,-0.20024109,0.065597534,-0.008056641,-0.008346558,0.1388855
22h0m10s585ms,7.236664,6.5802155,-0.20024109,0.046664428,-0.014266968,0.05757141,0.17520142
22h0m10s656ms,7.2830963,6.2022247,-0.17521667,0.122262575,-0.013305664,0.020858765,0.15835571
22h0m10s731ms,7.2830963,6.2022247,-0.17521667,0.122262575,-0.022521973,-0.050231934,0.17877197
22h0m10s817ms,7.490982,5.9961853,-0.1464386,0.11680603,0.005264282,-0.054107666,0.19584656
22h0m10s904ms,7.490982,5.9961853,-0.1464386,0.11680603,-6.866455E-4,-0.006591797,0.09439087
22h0m10s962ms,7.490982,5.9961853,-0.1464386,0.11680603,0.100372314,-0.081604004,0.12950134
22h0m11s28ms,7.850952,5.9307556,-0.22155762,0.054293822,-0.009780884,-0.06863403,0.08154297
22h0m11s103ms,7.850952,5.9307556,-0.22155762,0.054293822,0.06732178,-0.090530396,0.22467041
22h0m11s179ms,7.850952,5.9307556,-0.22155762,0.013085937,0.031051636,0.047546387,0.20646667
22h0m11s255ms,7.817688,5.589447,-0.13630676,0.08134766,0.027282715,0.08380127,0.1591034
22h0m11s351ms,7.817688,5.589447,-0.13630676,0.08134766,0.08404541,0.086120605,0.27703857
22h0m11s404ms,7.817688,5.589447,-0.13630676,0.06826172,0.011016846,0.045547485,0.19433594
22h0m11s472ms,8.034729,5.1922607,-0.27908325,0.14769897,0.06869507,-0.024490356,0.31729126
22h0m11s547ms,8.034729,5.1922607,-0.27908325,0.14769897,0.08403015,-0.030944824,0.31428528
22h0m11s622ms,8.33284,4.781006,-0.18190002,0.16168824,0.08816528,0.10813904,0.22123718
22h0m11s695ms,8.33284,4.781006,-0.18190002,0.16168824,0.051132202,0.11009216,0.11582947
22h0m11s771ms,8.33284,4.781006,-0.18190002,0.16168824,0.051849365,0.03956604,0.15228271
22h0m11s844ms,8.598633,4.35614,-0.32377625,0.16722412,0.12826538,-0.16381836,0.26669312
22h0m11s924ms,8.598633,4.35614,-0.32377625,0.16722412,0.06417847,0.07495117,0.27386475
22h0m11s995ms,8.598633,4.35614,-0.32377625,0.08497314,0.05757141,0.0834198,0.1570282
