
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h34m40s490ms,1.239624,9.532761,0.7423706,0.46723938,0.104599,-0.1611023,0.49404907
18h34m40s563ms,2.4821472,9.276947,0.28260803,0.3615265,-0.0090789795,-0.16578674,0.49998474
18h34m40s632ms,2.791977,8.887466,0.080459595,0.3708445,-0.16783142,-0.15937805,0.48475647
18h34m40s704ms,3.180725,9.456314,0.8516998,0.4203453,0.01965332,0.007385254,0.24029541
18h34m40s776ms,3.1518097,8.995712,0.45552063,0.4283966,0.007217407,-0.22270203,0.4896698
18h34m40s849ms,3.5879211,9.106232,0.5463104,0.35705262,-0.13093567,0.006652832,0.36763
18h34m40s920ms,3.5791016,8.854782,0.5744629,0.3561798,-0.08937073,-0.121520996,0.4533081
18h34m40s993ms,4.2772675,8.667221,0.6613159,0.3157959,-0.055877686,-0.1859436,0.44618225
18h34m41s68ms,4.319763,8.494705,0.45907593,0.23652954,-0.051498413,-0.0871582,0.2707672
18h34m41s137ms,4.3431854,8.569565,0.6600952,0.1593811,-0.090270996,-0.15403748,0.53663635
18h34m41s212ms,4.653763,8.342331,0.51560974,0.182724,0.022766113,-0.0110321045,0.25672913
18h34m41s302ms,5.048584,8.339157,0.7211914,0.13306884,-0.010620117,0.20979309,0.009536743
18h34m41s365ms,5.199341,7.8750153,0.35679626,0.18838501,0.14927673,-0.15434265,0.30488586
18h34m41s426ms,5.4414673,8.162155,0.6368561,0.21130982,-0.0060272217,0.017868042,0.09309387
18h34m41s499ms,5.053528,7.84169,0.48439026,0.2604309,-0.070755005,-0.12763977,0.41810608
18h34m41s569ms,5.7172394,7.880234,0.61920166,0.22269288,-0.0476532,0.043167114,0.21806335
18h34m41s642ms,5.6187134,7.4377594,0.4065857,0.31055298,-0.15390015,-0.11804199,0.44900513
18h34m41s717ms,6.0464935,7.719574,0.82751465,0.27408752,0.028289795,-0.02027893,0.088378906
18h34m41s786ms,6.094925,7.4747467,0.68315125,0.265625,0.028625488,-0.057724,0.11198425
18h34m41s860ms,5.930176,7.4236145,0.59510803,0.21175842,0.025375366,-0.021896362,0.04776001
18h34m41s930ms,6.066925,7.375,0.6199341,0.21377258,0.036087036,-4.8828125E-4,0.07826233
18h34m42s6ms,5.7798004,7.3203583,0.51290894,0.13620606,5.645752E-4,-0.04850769,0.17604065
18h34m42s85ms,5.9705505,7.367676,0.57936096,0.08930664,-0.048309326,-0.10899353,0.3829651
18h34m42s148ms,6.320999,7.2810364,0.5644531,0.057669066,0.15325928,-0.03843689,0.107803345
18h34m42s221ms,6.4485626,7.146576,0.52534485,0.07433472,0.039367676,0.021911621,0.08039856
18h34m42s303ms,6.445389,6.9568024,0.44500732,0.102566525,-0.052612305,0.036376953,0.170578
18h34m42s366ms,6.49115,6.922577,0.37368774,0.09848328,-0.10870361,-0.10510254,0.30537415
18h34m42s435ms,6.819519,6.9947205,0.76838684,0.10344849,0.20516968,-0.06539917,0.11695862
18h34m42s508ms,6.720337,6.704834,0.28974915,0.1440979,0.05105591,-0.014312744,0.16481018
18h34m42s603ms,6.866684,6.711151,0.41215515,0.11846924,0.02458191,-0.013031006,0.06614685
18h34m42s655ms,6.7992096,6.6945953,0.374115,0.083825685,-0.02571106,0.023284912,0.0974884
