
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h19m30s624ms,-0.07824707,9.58342,0.4900055,0.4165802,-0.08882141,0.014373779,0.25897217
13h19m30s706ms,-0.07824707,9.58342,0.4900055,0.4165802,-0.07209778,-0.061676025,0.21080017
13h19m30s773ms,0.3557129,9.602005,0.58247375,0.2175827,-0.055023193,-0.029022217,0.12844849
13h19m30s847ms,0.3557129,9.602005,0.58247375,0.2175827,0.007949829,-0.031326294,0.012023926
13h19m30s922ms,0.3557129,9.602005,0.58247375,0.2175827,0.011474609,-0.01008606,-0.024932861
13h19m31s5ms,0.6250763,9.580612,0.7229767,0.15218608,-0.028121948,-0.023361206,0.07510376
13h19m31s79ms,0.6250763,9.580612,0.7229767,0.15218608,-0.019973755,-0.03543091,0.05267334
13h19m31s144ms,0.6250763,9.580612,0.7229767,0.15218608,-0.087890625,-0.0016937256,0.13444519
13h19m31s214ms,0.6716461,9.532257,0.7736511,0.12622833,-0.13319397,0.081726074,0.27261353
13h19m31s293ms,0.6716461,9.532257,0.7736511,0.12622833,-0.105148315,0.08206177,0.26237488
13h19m31s371ms,0.96769714,9.595032,0.83947754,0.113537595,-0.03364563,-0.08859253,0.044174194
13h19m31s451ms,0.96769714,9.595032,0.83947754,0.113537595,-0.009048462,-0.15785217,0.020645142
13h19m31s516ms,0.96769714,9.595032,0.83947754,0.113537595,-0.051193237,0.038253784,0.27236938
13h19m31s587ms,1.2440491,9.25264,1.1065216,0.09869995,-0.05770874,0.036315918,0.2266388
13h19m31s664ms,1.2440491,9.25264,1.1065216,0.09869995,-0.065338135,-0.037521362,0.06286621
13h19m31s753ms,1.2440491,9.25264,1.1065216,0.09869995,-0.06617737,-0.0077056885,0.21302795
13h19m31s825ms,1.5685272,9.415649,1.0836029,0.12758484,-0.079452515,0.0040130615,0.2280426
13h19m31s885ms,1.5685272,9.415649,1.0836029,0.12758484,-0.02192688,-0.07321167,0.0496521
