
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h14m28s91ms,-0.08236694,9.605621,-0.12010193,0.39437866,0.03149414,0.10256958,0.020065308
14h14m28s196ms,-0.08236694,9.605621,-0.12010193,0.39437866,-0.27815247,-1.0995789,0.036315918
14h14m28s241ms,-0.19064331,9.641785,-0.34135437,0.215271,0.24868774,1.1660767,1.066803
14h14m28s313ms,-0.19064331,9.641785,-0.34135437,0.215271,-0.86250305,0.23997498,-1.9210205
14h14m28s387ms,1.642273,13.690384,-1.0145569,1.4930471,-0.8408966,-1.0212097,-1.5838776
14h14m28s462ms,1.642273,13.690384,-1.0145569,1.4930471,0.14724731,-0.22923279,-0.5243988
14h14m28s537ms,1.642273,13.690384,-1.0145569,1.4930471,0.73228455,-0.08912659,-0.16371155
14h14m28s629ms,-1.3630219,8.331284,2.6396027,2.4595604,1.286499,-0.16093445,0.3776703
14h14m28s698ms,-1.3630219,8.331284,2.6396027,2.4595604,1.6804657,-0.38874817,0.7649231
14h14m28s759ms,-1.3630219,8.331284,2.6396027,2.4595604,0.7907562,-0.64115906,0.40812683
14h14m28s833ms,-1.1048737,6.9669495,-0.3040619,2.2405152,0.8868561,0.008361816,0.41131592
14h14m28s915ms,-1.1048737,6.9669495,-0.3040619,2.2405152,0.9261627,-0.37602234,0.5888214
14h14m28s988ms,-1.242279,6.9764404,-1.155014,2.1635375,1.0220947,0.078689575,0.8079376
14h14m29s53ms,-1.242279,6.9764404,-1.155014,2.1635375,1.4718933,0.05770874,0.8736572
14h14m29s127ms,-1.242279,6.9764404,-1.155014,2.1635375,2.671402,-0.42019653,0.8387909
14h14m29s224ms,1.9851532,8.907364,-4.9260254,2.5424895,1.7664337,0.38168335,0.5998535
14h14m29s287ms,1.9851532,8.907364,-4.9260254,2.5424895,0.6834564,0.22749329,0.52223206
14h14m29s351ms,1.9851532,8.907364,-4.9260254,2.5424895,1.3917389,-0.1832428,0.47421265
14h14m29s426ms,2.836792,6.2629547,-7.812134,2.2616515,0.5879059,0.20626831,0.24403381
14h14m29s500ms,2.836792,6.2629547,-7.812134,2.2616515,0.55426025,0.06434631,0.15386963
14h14m29s574ms,2.836792,6.2629547,-7.812134,2.2616515,0.39790344,-0.028396606,0.13838196
14h14m29s654ms,2.977066,4.88797,-8.270279,1.4648285,0.45570374,0.063964844,0.24194336
14h14m29s727ms,2.977066,4.88797,-8.270279,1.4648285,0.06666565,-0.0012054443,0.009735107
14h14m29s793ms,3.1432953,4.208084,-8.284637,1.3279388,-0.14833069,0.15853882,-0.034362793
14h14m29s870ms,3.1432953,4.208084,-8.284637,1.3279388,0.12532043,-0.062057495,0.06298828
14h14m29s945ms,3.1432953,4.208084,-8.284637,1.3279388,0.5832367,-0.06796265,0.263031
14h14m30s15ms,3.1284943,3.9766693,-8.101334,1.3723236,0.24179077,0.06503296,0.15171814
14h14m30s90ms,3.1284943,3.9766693,-8.101334,1.3723236,0.7438965,-0.24407959,0.24690247
14h14m30s164ms,3.1284943,3.9766693,-8.101334,1.3723236,0.42356873,0.20223999,0.22189331
14h14m30s239ms,3.3819427,3.352295,-8.558929,1.1110138,-0.0065612793,0.07167053,-0.09240723
14h14m30s313ms,3.3819427,3.352295,-8.558929,1.1110138,0.5362854,-0.33265686,0.22164917
14h14m30s388ms,3.3819427,3.352295,-8.558929,1.1110138,0.7176361,0.03868103,0.15615845
14h14m30s461ms,3.418991,2.4213715,-8.592911,0.7683166,0.11450195,0.33831787,0.15997314
14h14m30s536ms,3.418991,2.4213715,-8.592911,0.7683166,-0.5253601,-0.101989746,-0.21775818
14h14m30s610ms,3.8469543,2.0514069,-9.794983,0.5673126,-2.4115448,0.7158966,-0.8379059
14h14m30s685ms,3.8469543,2.0514069,-9.794983,0.5673126,-3.2793884,0.4479828,-1.3570099
14h14m30s767ms,3.8469543,2.0514069,-9.794983,0.5673126,-1.8689728,0.024902344,-0.8251343
14h14m30s830ms,3.3369446,4.230606,-7.418457,0.8671753,-1.3832855,0.4114685,-0.5058594
14h14m30s908ms,3.3369446,4.230606,-7.418457,0.8671753,-1.4073792,0.08357239,-0.4269104
14h14m30s982ms,3.3369446,4.230606,-7.418457,0.8671753,-1.3618164,-0.02859497,-0.55867004
14h14m31s53ms,2.9321136,7.705246,-5.017685,1.5158203,0.38955688,-0.10154724,0.1121521
14h14m31s127ms,2.9321136,7.705246,-5.017685,1.5158203,-0.2163086,0.110672,-0.01979065
14h14m31s201ms,2.4448547,8.7326355,-3.3880005,1.5964234,-0.6014557,0.039627075,-0.3202057
14h14m31s276ms,2.4448547,8.7326355,-3.3880005,1.5964234,-0.05923462,-0.051834106,-0.07485962
14h14m31s360ms,2.4448547,8.7326355,-3.3880005,1.5964234,-0.28779602,0.20684814,-0.1427002
14h14m31s424ms,2.0410767,8.527725,-2.917221,1.4512208,-0.15931702,0.012268066,0.008041382
14h14m31s498ms,2.0410767,8.527725,-2.917221,1.4512208,-0.25811768,-0.050979614,-0.07720947
14h14m31s574ms,2.0410767,8.527725,-2.917221,1.4512208,0.0970459,-0.016677856,0.0790863
14h14m31s648ms,2.1738281,8.808258,-2.9405365,1.4333344,0.41444397,-0.047943115,0.15731812
14h14m31s722ms,2.1738281,8.808258,-2.9405365,1.4333344,-0.28353882,0.13763428,-0.14335632
14h14m31s810ms,2.1738281,8.808258,-2.9405365,1.4333344,0.15788269,-0.09140015,0.10803223
14h14m31s888ms,2.2371979,8.709137,-3.2566528,1.0173187,0.2528839,-0.0022888184,0.073913574
14h14m31s946ms,2.2371979,8.709137,-3.2566528,1.0173187,1.1134033,-0.18052673,0.4866333
14h14m32s17ms,2.2973785,8.25444,-3.3044128,0.41333008,1.0200806,-0.030456543,0.49465942
14h14m32s91ms,2.2973785,8.25444,-3.3044128,0.41333008,0.14125061,0.19067383,0.041809082
14h14m32s166ms,2.2973785,8.25444,-3.3044128,0.41333008,-0.009063721,-0.0022888184,0.06568909
14h14m32s238ms,3.1404572,8.134628,-5.122879,0.23181458,0.21194458,-0.059768677,0.0035247803
14h14m32s326ms,3.1404572,8.134628,-5.122879,0.23181458,0.32763672,0.053619385,0.16635132
14h14m32s394ms,3.1404572,8.134628,-5.122879,0.23181458,0.57598877,-0.08314514,0.33674622
14h14m32s462ms,3.0330048,7.429245,-4.8689117,0.33190918,0.2374878,0.06782532,0.06745911
14h14m32s536ms,3.0330048,7.429245,-4.8689117,0.33190918,0.010375977,0.06150818,-0.0066375732
14h14m32s609ms,3.365799,7.2221375,-5.669403,0.31722412,0.20480347,-0.034484863,0.080703735
14h14m32s686ms,3.365799,7.2221375,-5.669403,0.31722412,0.16796875,0.07499695,0.12261963
14h14m32s760ms,3.365799,7.2221375,-5.669403,0.31722412,0.31280518,-0.08743286,0.1363678
14h14m32s835ms,3.4516907,6.8683167,-5.8049927,0.36816406,-0.029281616,0.09005737,0.033462524
14h14m32s906ms,3.4516907,6.8683167,-5.8049927,0.36816406,0.06304932,0.0022735596,0.11903381
14h14m32s983ms,3.4516907,6.8683167,-5.8049927,0.36816406,0.06239319,0.006072998,0.009765625
14h14m33s54ms,3.5341797,6.7035522,-5.9646606,0.31017762,0.034469604,0.0789032,0.097229004
