
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h34m12s170ms,-0.2511139,9.843399,-0.23168945,0.15660095,-0.073135376,0.04562378,-0.29515076
18h34m12s264ms,-0.44296265,9.814117,-0.12649536,0.092941284,-0.029953003,0.084747314,-0.524704
18h34m12s312ms,-0.38172913,9.708221,-0.33694458,0.09725952,-0.11682129,-0.04232788,-0.63990784
18h34m12s386ms,-1.0158539,9.617447,-0.2586975,0.095638275,-0.08357239,-0.011566162,-0.49642944
18h34m12s460ms,-1.6791077,9.621735,0.06933594,0.07736816,-0.0814209,-0.07485962,-0.41906738
18h34m12s531ms,-2.3836212,9.604019,0.309906,0.049591064,0.08886719,0.06150818,-0.42744446
18h34m12s613ms,-2.4445953,9.454117,-0.18606567,0.07371521,-0.09625244,0.06845093,-0.56365967
18h34m12s674ms,-2.7209015,9.282486,-0.05407715,0.086862184,-0.1499176,0.25430298,-0.74983215
18h34m12s747ms,-3.2403564,9.368149,0.117874146,0.085839845,0.18139648,-0.03453064,-0.6773071
18h34m12s818ms,-3.9746246,8.937653,0.24682617,0.17108154,-0.051956177,0.111190796,-0.4693451
18h34m12s890ms,-4.1048737,8.967804,0.014770508,0.17356873,0.040420532,-0.005874634,-0.34762573
18h34m12s964ms,-3.926834,8.933853,-0.18051147,0.15037842,0.20974731,-0.009613037,-0.45080566
18h34m13s35ms,-4.6541443,8.725616,-0.03288269,0.15769958,0.21452332,0.0040283203,-0.36335754
18h34m13s112ms,-4.6840973,8.617813,-0.3399048,0.16212769,-0.0149383545,-0.0051116943,-0.30267334
18h34m13s181ms,-4.829468,8.604385,-0.30142212,0.07871399,0.0368042,0.09144592,-0.2805481
18h34m13s253ms,-5.3041534,8.42691,-0.23712158,0.10817871,0.030715942,0.044448853,-0.1301117
18h34m13s326ms,-5.2096405,8.350952,-0.35050964,0.1165802,-0.14901733,0.14299011,-0.27815247
18h34m13s396ms,-5.307358,8.288605,-0.39360046,0.087402344,-0.19317627,0.17602539,-0.46206665
18h34m13s470ms,-5.7156067,8.147598,-0.14653015,0.09404297,0.037017822,0.03981018,-0.18847656
18h34m13s540ms,-5.4673004,8.091888,-0.35487366,0.10249939,-0.041809082,0.15054321,-0.6740875
18h34m13s620ms,-6.6348114,7.7343445,-0.17028809,0.13851318,0.18301392,0.059387207,-0.024795532
