
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h48m23s835ms,-0.3764038,9.620071,-0.22398376,0.3799286,-0.014831543,-0.046142578,0.018203735
14h48m23s909ms,-0.3764038,9.620071,-0.22398376,0.3799286,-0.022888184,-0.0024108887,-0.008102417
14h48m23s982ms,-0.3764038,9.620071,-0.22398376,0.3799286,0.0069732666,0.04273987,-0.003616333
14h48m24s56ms,-0.32966614,9.621582,-0.13937378,0.1907196,-0.0023345947,0.019805908,-0.0029907227
14h48m24s152ms,-0.32966614,9.621582,-0.13937378,0.1907196,-0.015197754,-0.0786438,-0.0051116943
14h48m24s204ms,-0.32966614,9.621582,-0.13937378,0.1907196,0.012390137,-0.095214844,-0.037750244
14h48m24s275ms,-0.2873993,9.652557,-0.24835205,0.13747151,0.045135498,-0.12788391,-0.17254639
14h48m24s350ms,-0.2873993,9.652557,-0.24835205,0.13747151,0.12345886,-0.013244629,-0.15141296
14h48m24s428ms,-0.5635681,10.064407,-0.13224792,0.20606613,0.13800049,-0.038223267,0.05076599
14h48m24s498ms,-0.5635681,10.064407,-0.13224792,0.20606613,0.0513916,0.10559082,0.2341919
14h48m24s574ms,-0.5635681,10.064407,-0.13224792,0.20606613,-0.002105713,0.038269043,0.24298096
14h48m24s648ms,-0.6067352,9.55394,-0.44450378,0.2669464,-0.18035889,0.047836304,0.29829407
14h48m24s722ms,-0.6067352,9.55394,-0.44450378,0.2669464,-0.07312012,0.008560181,0.39167786
14h48m24s797ms,-0.6067352,9.55394,-0.44450378,0.2669464,-0.15945435,0.082962036,0.20726013
14h48m24s882ms,0.14430237,9.376129,-0.34233093,0.22652283,-0.08589172,0.0488739,0.37901306
14h48m24s956ms,0.14430237,9.376129,-0.34233093,0.22652283,-0.07333374,0.036621094,0.4147339
14h48m25s19ms,0.14430237,9.376129,-0.34233093,0.22652283,-0.08114624,0.0043182373,0.47299194
14h48m25s94ms,0.85176086,9.379959,-0.15136719,0.22698669,-0.025344849,0.055007935,0.45880127
14h48m25s172ms,0.85176086,9.379959,-0.15136719,0.22698669,-0.008895874,0.10244751,0.33668518
14h48m25s242ms,1.703064,9.454773,0.12297058,0.2357544,-0.021957397,0.12284851,0.23936462
14h48m25s314ms,1.703064,9.454773,0.12297058,0.2357544,0.031143188,0.07026672,0.40171814
14h48m25s388ms,1.703064,9.454773,0.12297058,0.2357544,0.10652161,-0.0010223389,0.45742798
14h48m25s463ms,2.2876587,9.20311,0.041244507,0.20371704,0.0155181885,0.08576965,0.31030273
14h48m25s537ms,2.2876587,9.20311,0.041244507,0.20371704,0.0049743652,0.1270752,0.15609741
14h48m25s612ms,2.2876587,9.20311,0.041244507,0.20371704,0.053222656,0.073776245,0.26937866
14h48m25s685ms,3.0107117,9.122299,0.035446167,0.11778565,0.020568848,0.07972717,0.12446594
14h48m25s760ms,3.0107117,9.122299,0.035446167,0.11778565,-0.008392334,0.11003113,0.0849762
14h48m25s835ms,3.0107117,9.122299,0.035446167,0.11778565,0.031173706,0.03933716,0.029830933
14h48m25s909ms,3.3606567,9.011398,0.06253052,0.10440369,0.010543823,0.055984497,1.5258789E-4
14h48m25s999ms,3.3606567,9.011398,0.06253052,0.10440369,0.016082764,0.05342102,0.088272095
14h48m26s53ms,3.328827,8.928146,0.04878235,0.12028809,-0.002029419,0.06492615,0.06555176
14h48m26s127ms,3.328827,8.928146,0.04878235,0.12028809,0.021194458,0.037200928,0.094329834
14h48m26s207ms,3.328827,8.928146,0.04878235,0.12028809,0.016784668,0.03817749,-0.050567627
14h48m26s281ms,3.54216,8.976837,0.045959473,0.11506347,0.016937256,7.7819824E-4,-0.041000366
14h48m26s352ms,3.54216,8.976837,0.045959473,0.11506347,0.006286621,-0.0073547363,0.02949524
14h48m26s426ms,3.54216,8.976837,0.045959473,0.11506347,1.6784668E-4,0.012832642,-0.018234253
14h48m26s542ms,3.4170074,8.877014,0.030349731,0.084695436,0.007080078,0.044692993,0.0033111572
14h48m26s591ms,3.4170074,8.877014,0.030349731,0.084695436,0.024459839,0.03479004,0.030960083
14h48m26s651ms,3.4432983,8.8798065,0.03163147,0.0690918,-0.023330688,0.057373047,0.026275635
14h48m26s748ms,3.4432983,8.8798065,0.03163147,0.0690918,0.009902954,0.009338379,0.06173706
14h48m26s798ms,3.4432983,8.8798065,0.03163147,0.0690918,0.0014343262,0.013900757,0.007385254
14h48m26s867ms,3.5745544,8.907227,0.03466797,0.05239563,0.019729614,0.0075683594,0.011108398
14h48m26s947ms,3.5745544,8.907227,0.03466797,0.05239563,-0.0140686035,0.009124756,-0.022140503
14h48m27s22ms,3.5745544,8.907227,0.03466797,0.05239563,0.024353027,-0.03352356,0.038360596
14h48m27s91ms,3.540985,8.86554,0.042160034,0.04408264,0.008270264,-0.016189575,-0.0010681152
14h48m27s167ms,3.540985,8.86554,0.042160034,0.04408264,-0.007980347,0.038467407,0.020324707
14h48m27s260ms,3.540985,8.86554,0.042160034,0.04408264,0.008102417,0.0074920654,0.009246826
14h48m27s322ms,3.5328674,8.883469,0.097595215,0.0379303,-4.5776367E-5,0.032699585,0.0021820068
14h48m27s389ms,3.5328674,8.883469,0.097595215,0.0379303,0.0059661865,0.009857178,0.038757324
14h48m27s477ms,3.5735474,8.838562,0.08747864,0.026947021,0.016067505,0.007888794,0.03866577
14h48m27s549ms,3.5735474,8.838562,0.08747864,0.026947021,0.004699707,0.014770508,0.021881104
14h48m27s613ms,3.5735474,8.838562,0.08747864,0.026947021,-0.027938843,-0.022613525,-0.0043182373
