
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h40m50s341ms,-9.982254,0.88220215,-0.9676666,9.117798,-0.0592041,-0.12654114,0.031097412
13h40m50s434ms,-9.982254,0.88220215,-0.9676666,9.117798,-0.062088013,-0.12249756,0.05781555
13h40m50s504ms,-10.036942,1.1027527,-0.86795044,4.669174,0.06185913,0.06904602,0.061050415
13h40m50s562ms,-10.036942,1.1027527,-0.86795044,4.669174,0.18988037,0.19171143,-0.19242859
13h40m50s636ms,-10.036942,1.1027527,-0.86795044,4.669174,0.11546326,0.018951416,-9.918213E-4
13h40m50s708ms,-10.359268,0.84384155,-0.6716156,3.1990864,0.08987427,0.06451416,0.004852295
13h40m50s794ms,-10.359268,0.84384155,-0.6716156,3.1990864,0.28172302,0.114593506,0.14382935
13h40m50s857ms,-10.359268,0.84384155,-0.6716156,3.1990864,0.21638489,0.10191345,0.111694336
13h40m50s931ms,-9.652222,0.6502838,0.028366089,2.4477043,0.21151733,-0.046081543,0.012619019
13h40m51s18ms,-9.652222,0.6502838,0.028366089,2.4477043,0.15174866,-0.2862854,-0.029190063
13h40m51s86ms,-9.3220825,0.9906616,-0.22039795,2.026239,0.17668152,-0.18681335,-0.15562439
13h40m51s154ms,-9.3220825,0.9906616,-0.22039795,2.026239,0.2300415,-0.12844849,-0.011062622
13h40m51s229ms,-9.3220825,0.9906616,-0.22039795,2.026239,0.15962219,-0.05921936,-0.1756134
13h40m51s327ms,-10.219543,0.8648071,-0.1396637,0.22785035,0.08216858,0.031707764,-0.06915283
13h40m51s380ms,-10.219543,0.8648071,-0.1396637,0.22785035,0.07524109,0.1669159,-0.12542725
13h40m51s453ms,-10.219543,0.8648071,-0.1396637,0.22785035,0.10411072,0.13414001,-0.106552124
13h40m51s524ms,-9.888229,1.2136383,-0.7441101,0.25350648,0.032592773,0.064971924,0.05744934
13h40m51s598ms,-9.888229,1.2136383,-0.7441101,0.25350648,-0.09802246,-0.11659241,0.1005249
13h40m51s673ms,-9.888229,1.2136383,-0.7441101,0.25350648,0.039382935,0.03315735,0.17880249
13h40m51s746ms,-10.48407,0.9362488,-0.5692291,0.25720215,0.011306763,0.04966736,0.16282654
13h40m51s822ms,-10.48407,0.9362488,-0.5692291,0.25720215,-0.082855225,-0.015777588,0.078125
13h40m51s896ms,-9.239975,0.5592346,-0.733551,0.29389343,-0.17819214,-0.03062439,0.04878235
13h40m51s970ms,-9.239975,0.5592346,-0.733551,0.29389343,-0.1365509,-0.04322815,0.02104187
13h40m52s45ms,-9.239975,0.5592346,-0.733551,0.29389343,-0.11793518,-0.10151672,-0.19328308
13h40m52s116ms,-9.664673,0.41712952,-0.78822327,0.2542389,-0.12504578,-0.07331848,-0.21968079
