
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h20m21s616ms,9.216461,-0.52653503,-1.6302643,10.526535,-0.10131836,0.06411743,-0.028182983
15h20m21s706ms,9.4118805,-0.33416748,-1.9792023,5.3594513,-0.016098022,3.0517578E-4,-0.052337646
15h20m21s806ms,9.4118805,-0.33416748,-1.9792023,5.3594513,0.15042114,0.0315094,-0.0072784424
15h20m21s838ms,10.121429,-0.09712219,-1.2236633,3.6519825,0.15054321,0.21276855,0.07519531
15h20m21s909ms,10.121429,-0.09712219,-1.2236633,3.6519825,0.19580078,-0.11820984,0.18652344
15h20m21s988ms,10.121429,-0.09712219,-1.2236633,3.6519825,0.38998413,-0.1504364,0.15330505
15h20m22s58ms,9.911407,0.28344727,-0.22793579,2.8341293,0.11437988,-0.008239746,-0.14601135
15h20m22s154ms,9.911407,0.28344727,-0.22793579,2.8341293,-0.083862305,-0.15011597,-0.21875
15h20m22s212ms,9.911407,0.28344727,-0.22793579,2.8341293,0.21340942,-0.18725586,-0.12399292
15h20m22s282ms,8.837585,0.16160583,-0.8920746,2.2916718,0.065704346,0.038360596,0.1855774
15h20m22s358ms,8.837585,0.16160583,-0.8920746,2.2916718,-0.16438293,-0.078933716,-0.033721924
15h20m22s432ms,8.837585,0.16160583,-0.8920746,2.2916718,-0.23620605,0.022354126,0.061538696
15h20m22s505ms,9.441818,0.110672,-1.5148621,0.19655152,-0.2406311,-0.36349487,-0.027938843
15h20m22s579ms,9.441818,0.110672,-1.5148621,0.19655152,-0.18978882,0.52593994,-0.20288086
15h20m22s650ms,10.4661255,-0.070129395,-0.49412537,0.19423828,-0.097595215,-0.2061615,-0.049591064
15h20m22s732ms,10.4661255,-0.070129395,-0.49412537,0.19423828,-0.17010498,-0.12483215,-0.0982666
15h20m22s802ms,10.4661255,-0.070129395,-0.49412537,0.19423828,0.07763672,0.009094238,-0.037506104
15h20m22s873ms,8.948776,-0.2444458,-0.5919647,0.18169251,0.052825928,-0.0019226074,0.06188965
15h20m22s947ms,8.948776,-0.2444458,-0.5919647,0.18169251,0.02897644,0.04260254,0.009750366
15h20m23s22ms,8.948776,-0.2444458,-0.5919647,0.18169251,0.032852173,0.019882202,-0.0057678223
15h20m23s97ms,9.0303955,-0.19761658,-1.3582611,0.11494446,0.10298157,-0.010375977,-0.01776123
15h20m23s171ms,9.0303955,-0.19761658,-1.3582611,0.11494446,0.060821533,0.05580139,-0.07597351
15h20m23s246ms,9.933563,-0.2064209,-1.4665527,0.092337035,0.1385498,0.02192688,-0.024139404
15h20m23s319ms,9.933563,-0.2064209,-1.4665527,0.092337035,0.10128784,0.22779846,-0.11288452
15h20m23s394ms,9.933563,-0.2064209,-1.4665527,0.092337035,0.14872742,-0.32667542,0.13752747
15h20m23s468ms,9.900833,0.25968933,-0.47409058,0.17537232,0.23794556,-0.06896973,-0.0028839111
15h20m23s543ms,9.900833,0.25968933,-0.47409058,0.17537232,-0.05076599,-0.061828613,-0.0071868896
15h20m23s617ms,9.900833,0.25968933,-0.47409058,0.17537232,0.0872345,-0.109069824,0.026641846
15h20m23s687ms,9.244843,0.19451904,-0.7444916,0.15224609,0.0521698,0.05065918,0.14025879
15h20m23s763ms,9.244843,0.19451904,-0.7444916,0.15224609,-0.111709595,-0.06074524,0.09840393
15h20m23s841ms,9.244843,0.19451904,-0.7444916,0.15224609,-0.18156433,-0.031280518,0.08409119
15h20m23s921ms,9.2969055,-0.08958435,-1.3561096,0.17420349,-0.21432495,0.036315918,0.0134887695
15h20m23s986ms,9.2969055,-0.08958435,-1.3561096,0.17420349,-0.23852539,-0.16772461,0.13471985
15h20m24s59ms,9.498398,-0.09120178,-1.1750946,0.16516113,-0.1932373,0.2691803,-0.0152282715
15h20m24s134ms,9.498398,-0.09120178,-1.1750946,0.16516113,-0.16183472,0.28567505,-0.008239746
15h20m24s209ms,9.498398,-0.09120178,-1.1750946,0.16516113,-0.24479675,-0.03918457,-0.03540039
15h20m24s283ms,10.016388,-0.28970337,-0.61413574,0.20310059,-0.16882324,-0.05770874,-0.15472412
15h20m24s359ms,10.016388,-0.28970337,-0.61413574,0.20310059,0.020507813,0.034622192,0.0034179688
15h20m24s443ms,10.016388,-0.28970337,-0.61413574,0.20310059,-0.09777832,0.10513306,-0.04135132
15h20m24s513ms,9.056732,-0.25683594,-0.7510834,0.11645202,-0.015182495,0.07887268,-0.043670654
15h20m24s581ms,9.056732,-0.25683594,-0.7510834,0.11645202,-0.040237427,0.021728516,-0.088027954
15h20m24s656ms,9.396652,-0.12539673,-1.1929474,0.12970582,0.055374146,-0.002456665,0.04801941
15h20m24s745ms,9.396652,-0.12539673,-1.1929474,0.12970582,0.13305664,-0.08798218,-0.017654419
15h20m24s806ms,9.396652,-0.12539673,-1.1929474,0.12970582,0.24264526,-0.02809143,-0.037765503
15h20m24s873ms,9.762268,0.09353638,-1.019165,0.116671756,0.12773132,0.35951233,-0.15177917
15h20m24s949ms,9.762268,0.09353638,-1.019165,0.116671756,0.23867798,-0.15101624,0.06021118
15h20m25s23ms,9.762268,0.09353638,-1.019165,0.116671756,0.36108398,-0.13725281,0.12132263
15h20m25s97ms,9.8029785,0.464386,-0.43922424,0.19051819,0.08747864,0.057373047,-0.0054016113
15h20m25s171ms,9.8029785,0.464386,-0.43922424,0.19051819,0.08381653,-0.01638794,-0.06564331
15h20m25s246ms,9.8029785,0.464386,-0.43922424,0.19051819,0.054779053,-0.09194946,-0.018692017
15h20m25s321ms,9.319824,0.22424316,-0.81359863,0.19884643,-0.04423523,0.0099487305,0.01612854
15h20m25s395ms,9.319824,0.22424316,-0.81359863,0.19884643,-0.16403198,-0.10769653,-0.0320282
15h20m25s466ms,9.590149,0.25338745,-1.118927,0.1981018,-0.18095398,-0.07495117,-0.016860962
15h20m25s541ms,9.590149,0.25338745,-1.118927,0.1981018,-0.2668152,-0.15875244,-0.025024414
15h20m25s615ms,9.590149,0.25338745,-1.118927,0.1981018,-0.06289673,0.24887085,-0.1647644
15h20m25s691ms,9.574478,-0.09422302,-0.72036743,0.24133606,-0.22012329,0.0871582,-0.2333374
15h20m25s764ms,9.574478,-0.09422302,-0.72036743,0.24133606,-0.28833008,-0.09547424,-0.0572052
15h20m25s838ms,9.574478,-0.09422302,-0.72036743,0.24133606,-0.0410614,0.112075806,0.045928955
15h20m25s911ms,9.477478,-0.20559692,-0.4999237,0.21982422,-0.0019836426,0.023208618,0.063964844
15h20m25s987ms,9.477478,-0.20559692,-0.4999237,0.21982422,-0.11833191,-0.07046509,0.03378296
15h20m26s62ms,9.477478,-0.20559692,-0.4999237,0.21982422,0.027267456,0.03363037,0.020080566
15h20m26s135ms,9.388199,0.0019683838,-1.2064972,0.18716736,0.07498169,-0.08659363,0.030838013
15h20m26s210ms,9.388199,0.0019683838,-1.2064972,0.18716736,0.1855774,-0.17440796,-0.063079834
15h20m26s280ms,9.734924,0.12409973,-1.0973053,0.16356507,0.21095276,0.005783081,0.06689453
15h20m26s358ms,9.734924,0.12409973,-1.0973053,0.16356507,0.112960815,0.24861145,-0.05706787
15h20m26s433ms,9.734924,0.12409973,-1.0973053,0.16356507,0.24897766,-0.095947266,0.18658447
15h20m26s506ms,9.521912,0.35650635,-0.59324646,0.20421752,0.20809937,0.09843445,0.09919739
15h20m26s578ms,9.521912,0.35650635,-0.59324646,0.20421752,0.05039978,0.08331299,-0.044189453
15h20m26s653ms,9.521912,0.35650635,-0.59324646,0.20421752,0.1063385,-0.040039063,-0.043762207
