
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h4m3s392ms,-9.548798,0.024475098,-0.63890076,9.975525,0.63319397,0.071762085,-0.035827637
14h4m3s473ms,-9.548798,0.024475098,-0.63890076,4.9877625,0.19960022,-0.24986267,-0.17756653
14h4m3s549ms,-10.70459,-0.5087738,-0.4242859,3.5029247,0.23059082,-0.43736267,-0.4649353
14h4m3s616ms,-10.70459,-0.5087738,-0.4242859,2.6271935,0.32061768,-0.41604614,-0.5748596
14h4m3s689ms,-10.70459,-0.5087738,-0.4242859,2.1017547,0.33384705,-0.15916443,-1.2213287
14h4m3s779ms,-10.518875,-1.0711975,0.30439758,0.21913452,0.21308899,-0.013046265,-0.6175537
14h4m3s866ms,-10.518875,-1.0711975,0.30439758,0.21913452,-0.8149719,1.069519,-0.35253906
14h4m3s909ms,-10.213654,-3.4995117,-0.4633789,0.5981476,-2.560028,1.8890991,-0.19798279
14h4m3s990ms,-10.213654,-3.4995117,-0.4633789,0.5981476,-1.2156982,0.45698547,-1.0242004
14h4m4s69ms,-10.213654,-3.4995117,-0.4633789,0.5981476,-0.6907501,-0.22175598,-0.9569702
14h4m4s132ms,-8.25528,-2.6391144,-2.2788086,0.6577423,-0.5169983,-0.11125183,0.094177246
14h4m4s206ms,-8.25528,-2.6391144,-2.2788086,0.6577423,-0.12098694,-0.9308624,0.79852295
14h4m4s282ms,-8.25528,-2.6391144,-2.2788086,0.17207947,0.33911133,-1.2637024,1.540329
14h4m4s355ms,-7.3465576,-1.4632874,-1.6668243,0.40724486,0.21694946,-1.4098206,1.0617981
14h4m4s435ms,-7.3465576,-1.4632874,-1.6668243,0.40724486,-0.6797943,-1.0801697,0.17875671
14h4m4s506ms,-7.3465576,-1.4632874,-1.6668243,0.2351654,-2.1256866,-0.33203125,0.50105286
14h4m4s579ms,-10.799637,-3.1661072,-0.4073944,0.57572937,-2.8512573,0.22401428,0.5806427
14h4m4s654ms,-10.799637,-3.1661072,-0.4073944,0.57572937,-1.9368744,-0.58232117,-0.21374512
14h4m4s730ms,-9.642563,-0.052978516,1.0571289,0.9631897,-1.2510986,-0.26124573,-0.28137207
14h4m4s800ms,-9.642563,-0.052978516,1.0571289,0.9631897,0.10714722,-0.39328003,-0.022872925
14h4m4s877ms,-9.642563,-0.052978516,1.0571289,0.9631897,-0.27775574,0.66400146,-0.12509155
14h4m4s948ms,-11.319916,0.02999878,-0.06098938,0.6392212,-0.2779541,0.71170044,-0.3391571
14h4m5s22ms,-11.319916,0.02999878,-0.06098938,0.6392212,-0.24221802,1.0640411,-0.35025024
14h4m5s97ms,-11.319916,0.02999878,-0.06098938,0.016595459,0.14871216,0.46046448,0.0077819824
14h4m5s171ms,-9.59111,-0.55255127,-0.25221252,0.13310547,0.27896118,-0.185318,-0.2749939
14h4m5s246ms,-9.59111,-0.55255127,-0.25221252,0.13310547,0.635376,-0.3387909,-0.10992432
14h4m5s321ms,-9.137894,-1.8991699,-1.3527985,0.38583374,0.2718506,0.07354736,0.36235046
14h4m5s398ms,-9.137894,-1.8991699,-1.3527985,0.38583374,-0.10484314,0.13813782,0.105392456
14h4m5s469ms,-9.137894,-1.8991699,-1.3527985,0.38583374,-0.24380493,-0.046722412,-0.061904907
14h4m5s541ms,-10.190598,-2.1543427,-1.2446136,0.32035828,-0.22091675,-0.028533936,0.084243774
14h4m5s619ms,-10.190598,-2.1543427,-1.2446136,0.32035828,0.14283752,0.05203247,-0.1915741
14h4m5s693ms,-10.190598,-2.1543427,-1.2446136,0.051034547,0.6645508,-0.045547485,0.06541443
14h4m5s764ms,-10.290924,-1.673996,-0.45903015,0.14710388,0.027023315,0.24023438,0.28977966
14h4m5s838ms,-10.290924,-1.673996,-0.45903015,0.14710388,-0.06500244,0.32052612,0.3943329
14h4m5s913ms,-10.290924,-1.673996,-0.45903015,0.096069336,0.06599426,0.51138306,-0.03378296
14h4m5s987ms,-9.162338,-1.8796997,-1.7766571,0.13721009,-0.538147,0.44677734,-0.09477234
14h4m6s62ms,-9.162338,-1.8796997,-1.7766571,0.13721009,1.3091736,-0.6730957,-0.2668152
14h4m6s135ms,-9.347305,-0.61338806,-1.085907,0.29440308,0.6564636,-0.26184082,-0.08514404
14h4m6s210ms,-9.347305,-0.61338806,-1.085907,0.29440308,0.13227844,0.34222412,0.20262146
14h4m6s285ms,-9.347305,-0.61338806,-1.085907,0.29440308,-0.23342896,-0.44519043,0.18362427
14h4m6s356ms,-10.222458,-3.0496368,-1.2375336,0.7405121,-0.7981415,-0.028747559,-0.1257782
14h4m6s434ms,-10.222458,-3.0496368,-1.2375336,0.7405121,-0.42018127,0.50683594,0.452713
14h4m6s508ms,-10.222458,-3.0496368,-1.2375336,0.48724976,0.02204895,0.20217896,0.63946533
14h4m6s581ms,-8.97554,0.1768341,-2.322586,1.1325439,0.60232544,-0.19952393,0.58613586
14h4m6s654ms,-8.97554,0.1768341,-2.322586,1.1325439,0.16601563,-0.41940308,0.74180603
14h4m6s728ms,-9.327423,-0.61009216,-0.79815674,0.8026794,0.040374756,-0.6745453,0.33370972
14h4m6s802ms,-9.327423,-0.61009216,-0.79815674,0.8026794,-0.60643005,-0.7032623,0.0126953125
14h4m6s878ms,-9.327423,-0.61009216,-0.79815674,0.8026794,-0.48675537,-0.78862,-0.40252686
14h4m6s958ms,-10.650635,0.6345978,0.0050964355,0.40632325,-0.19946289,-0.43289185,0.04347229
14h4m7s26ms,-10.650635,0.6345978,0.0050964355,0.40632325,0.5836029,0.20773315,-0.12019348
14h4m7s100ms,-10.650635,0.6345978,0.0050964355,0.248938,0.74954224,0.254364,-0.31178284
14h4m7s171ms,-10.704559,0.9264221,0.10328674,0.30730286,0.45959473,0.27337646,-0.0033111572
14h4m7s249ms,-10.704559,0.9264221,0.10328674,0.30730286,-0.01071167,0.17828369,-0.0770874
14h4m7s324ms,-10.704559,0.9264221,0.10328674,0.05836487,0.005050659,0.0070343018,-0.0012054443
14h4m7s399ms,-9.608963,-0.8444977,0.16996765,0.41254884,-0.13433838,0.027252197,-0.365448
