
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h50m0s575ms,-9.716263,-0.42840576,-0.92832947,10.428406,-0.09439087,-0.027786255,0.01663208
10h50m0s649ms,-9.716263,-0.42840576,-0.92832947,10.428406,-0.06300354,0.024139404,-0.12185669
10h50m0s719ms,-10.004562,-0.74443054,-0.13938904,5.3722153,0.038101196,-0.02456665,-0.031082153
10h50m0s794ms,-10.004562,-0.74443054,-0.13938904,5.3722153,-0.22677612,0.05154419,0.005935669
10h50m0s873ms,-10.004562,-0.74443054,-0.13938904,5.3722153,-0.64860535,0.26756287,-0.19593811
10h50m0s946ms,-10.654755,-0.7468109,0.0365448,3.5822704,-0.34350586,0.026321411,-0.07839966
10h50m1s17ms,-10.654755,-0.7468109,0.0365448,3.5822704,-0.3371582,-0.13430786,-0.19805908
10h50m1s92ms,-10.654755,-0.7468109,0.0365448,3.5822704,-0.18031311,0.09327698,0.04824829
10h50m1s166ms,-9.496887,-0.21464539,-0.13212585,2.819744,-0.04978943,0.13653564,-0.0087890625
10h50m1s240ms,-9.496887,-0.21464539,-0.13212585,2.819744,0.1663971,0.05088806,-0.1027832
10h50m1s314ms,-9.333252,-0.33093262,0.4320221,2.2790527,0.097579956,0.21585083,-0.09498596
10h50m1s388ms,-9.333252,-0.33093262,0.4320221,2.2790527,0.41375732,0.023513794,-0.106277466
10h50m1s463ms,-9.333252,-0.33093262,0.4320221,2.2790527,0.34687805,-0.049087524,0.19978333
10h50m1s536ms,-11.178101,0.12214661,-0.46124268,0.28398743,-0.28105164,0.041732788,0.02104187
10h50m1s611ms,-11.178101,0.12214661,-0.46124268,0.28398743,-0.23086548,-0.098098755,-0.040863037
10h50m1s686ms,-11.178101,0.12214661,-0.46124268,0.28398743,0.18753052,-0.32925415,-0.12965393
10h50m1s755ms,-9.169281,-0.16950989,-0.621933,0.27911377,0.39007568,-0.28709412,-0.015182495
10h50m1s834ms,-9.169281,-0.16950989,-0.621933,0.27911377,0.1242218,-0.2556305,0.13090515
10h50m1s909ms,-9.169281,-0.16950989,-0.621933,0.27911377,-0.19978333,-0.009887695,0.1171875
10h50m1s979ms,-9.522797,-0.25619507,-0.53852844,0.29597473,-0.43951416,-0.18727112,0.037734985
10h50m2s53ms,-9.522797,-0.25619507,-0.53852844,0.29597473,-0.6340332,0.15052795,0.16764832
10h50m2s127ms,-11.441895,-0.31591797,0.7897339,0.2014862,-0.43518066,-0.19413757,-0.07243347
10h50m2s201ms,-11.441895,-0.31591797,0.7897339,0.2014862,-0.49046326,0.18392944,0.074523926
10h50m2s276ms,-11.441895,-0.31591797,0.7897339,0.2014862,0.008361816,0.17991638,-0.09274292
10h50m2s349ms,-8.650955,-0.21949768,-0.042922974,0.19751282,0.38372803,0.09413147,0.1184082
10h50m2s424ms,-8.650955,-0.21949768,-0.042922974,0.19751282,0.508667,0.2713623,0.17355347
10h50m2s498ms,-8.650955,-0.21949768,-0.042922974,0.19751282,0.59262085,0.20111084,-0.19320679
10h50m2s572ms,-9.868698,0.017349243,0.5586395,0.15426636,0.20019531,-0.03729248,0.058135986
10h50m2s647ms,-9.868698,0.017349243,0.5586395,0.15426636,-0.43598938,0.09448242,-0.23391724
10h50m2s721ms,-11.283463,0.07366943,-0.29855347,0.107199095,-0.43321228,-0.18081665,-0.15208435
10h50m2s795ms,-11.283463,0.07366943,-0.29855347,0.107199095,0.06599426,-0.2414093,-0.1583252
10h50m2s872ms,-11.283463,0.07366943,-0.29855347,0.107199095,0.42848206,-0.41830444,-0.10003662
10h50m2s940ms,-8.442154,0.32313538,-0.75790405,0.13975525,0.296875,-0.14266968,0.26524353
10h50m3s14ms,-8.442154,0.32313538,-0.75790405,0.13975525,-0.13017273,-0.017410278,0.2869873
10h50m3s93ms,-8.442154,0.32313538,-0.75790405,0.13975525,-0.21029663,0.09500122,0.05996704
10h50m3s163ms,-10.39679,-0.75975037,0.4427948,0.34438783,-0.3773651,-0.06529236,0.03994751
10h50m3s238ms,-10.39679,-0.75975037,0.4427948,0.34438783,-0.4259796,-0.15080261,0.10467529
10h50m3s312ms,-10.39679,-0.75975037,0.4427948,0.34438783,-0.45983887,0.07070923,-0.035232544
10h50m3s387ms,-10.6449585,0.059829712,0.48406982,0.48901978,-0.30104065,0.14346313,0.023605347
10h50m3s461ms,-10.6449585,0.059829712,0.48406982,0.48901978,0.2260437,0.15202332,-0.05671692
10h50m3s535ms,-8.657074,-0.04925537,0.3378296,0.46346742,0.32711792,0.00390625,0.11367798
10h50m3s609ms,-8.657074,-0.04925537,0.3378296,0.46346742,0.30696106,0.2484436,-0.04473877
10h50m3s684ms,-8.657074,-0.04925537,0.3378296,0.46346742,0.3691864,0.22090149,-0.21925354
10h50m3s757ms,-10.798096,0.2645874,1.1839905,0.5149719,0.18339539,0.21566772,0.014785767
10h50m3s832ms,-10.798096,0.2645874,1.1839905,0.5149719,-0.49317932,0.026031494,-0.10256958
10h50m3s907ms,-10.798096,0.2645874,1.1839905,0.5149719,-0.12582397,-0.13946533,-0.10131836
10h50m3s976ms,-10.373077,0.32814026,-1.0815582,0.4777893,0.3417511,-0.27163696,-0.13948059
10h50m4s56ms,-10.373077,0.32814026,-1.0815582,0.4777893,0.48716736,-0.16975403,0.07434082
10h50m4s129ms,-10.373077,0.32814026,-1.0815582,0.4777893,0.020629883,-0.10542297,0.2361145
10h50m4s199ms,-8.827255,0.022384644,-0.89837646,0.3223633,-0.09320068,0.11920166,0.047058105
10h50m4s273ms,-8.827255,0.022384644,-0.89837646,0.3223633,-0.1899414,-0.09526062,0.022277832
10h50m4s347ms,-10.334717,-1.3530731,0.8912506,0.43353882,-0.280365,-0.021148682,0.08287048
