
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h15m23s639ms,9.444748,-0.33746338,-0.5897827,10.337463,0.043060303,0.1449585,0.17333984
15h15m23s734ms,9.444748,-0.33746338,-0.5897827,10.337463,0.14257813,-0.08157349,-0.17433167
15h15m23s829ms,9.457031,-0.21679688,-0.56056213,5.229065,0.19522095,0.049957275,-0.057876587
15h15m23s882ms,9.457031,-0.21679688,-0.56056213,5.229065,0.028442383,-0.072052,-0.05027771
15h15m23s941ms,9.457031,-0.21679688,-0.56056213,5.229065,0.124694824,0.02897644,0.0053100586
15h15m24s9ms,9.561783,-0.027572632,-0.7338257,3.549118,0.081970215,0.10618591,-0.045913696
15h15m24s82ms,9.561783,-0.027572632,-0.7338257,3.549118,-0.060760498,0.04283142,-0.0059509277
15h15m24s158ms,9.561783,-0.027572632,-0.7338257,3.549118,-0.13882446,-0.09791565,-0.12161255
15h15m24s231ms,9.675812,0.061203003,-0.68655396,2.6840324,-0.13606262,0.033325195,0.17686462
15h15m24s312ms,9.675812,0.061203003,-0.68655396,2.6840324,-0.15725708,-0.004638672,0.16209412
15h15m24s380ms,9.596161,0.2134552,-0.9844513,2.1776764,-0.13931274,-0.047698975,0.02420044
15h15m24s459ms,9.596161,0.2134552,-0.9844513,2.1776764,-0.095825195,-0.005203247,0.14801025
15h15m24s533ms,9.596161,0.2134552,-0.9844513,2.1776764,-0.2124939,-0.15823364,0.15042114
15h15m24s600ms,9.653168,-0.102386475,-0.7978821,0.17335205,0.021591187,0.111968994,0.033615112
15h15m24s675ms,9.653168,-0.102386475,-0.7978821,0.17335205,-0.38690186,-0.20727539,-0.20121765
15h15m24s757ms,9.653168,-0.102386475,-0.7978821,0.17335205,-0.07371521,0.0740509,-0.0149383545
15h15m24s840ms,9.574326,-0.2705078,-0.35179138,0.18284301,-0.03831482,0.00730896,-0.020019531
15h15m24s899ms,9.574326,-0.2705078,-0.35179138,0.18284301,-0.1616211,-0.017929077,0.051696777
15h15m24s973ms,9.2447815,-0.43811035,-0.6492615,0.17851868,0.07824707,0.058685303,0.041763306
15h15m25s48ms,9.2447815,-0.43811035,-0.6492615,0.17851868,0.04953003,-0.0014038086,0.051879883
15h15m25s122ms,9.2447815,-0.43811035,-0.6492615,0.17851868,0.20918274,0.06692505,0.06352234
15h15m25s197ms,9.804962,-0.28526306,-0.8777313,0.19133301,0.10417175,-0.032958984,0.029678345
15h15m25s271ms,9.804962,-0.28526306,-0.8777313,0.19133301,0.3759613,0.10298157,0.0017547607
15h15m25s347ms,9.804962,-0.28526306,-0.8777313,0.19133301,0.08139038,-0.23332214,-0.035354614
15h15m25s417ms,9.867035,-0.28555298,-0.5925751,0.16094056,0.19799805,-0.200943,0.15168762
15h15m25s491ms,9.867035,-0.28555298,-0.5925751,0.16094056,0.3851471,0.044448853,0.035812378
15h15m25s570ms,9.867035,-0.28555298,-0.5925751,0.16094056,0.13726807,0.07232666,-0.008956909
15h15m25s641ms,9.173462,-0.17645264,-0.5450134,0.11959229,-0.07803345,0.18260193,0.26615906
15h15m25s716ms,9.173462,-0.17645264,-0.5450134,0.11959229,-0.07217407,-0.0894928,-0.13993835
15h15m25s789ms,9.09935,-0.34077454,-1.0763702,0.118832394,-0.124938965,0.02911377,-0.09269714
15h15m25s876ms,9.09935,-0.34077454,-1.0763702,0.118832394,-0.24179077,-0.11790466,-0.16810608
15h15m25s938ms,9.09935,-0.34077454,-1.0763702,0.118832394,-0.21846008,0.13589478,-0.012435913
15h15m26s13ms,10.120941,-0.32746887,-0.6749115,0.08797302,-0.16447449,0.04425049,-0.08227539
15h15m26s88ms,10.120941,-0.32746887,-0.6749115,0.08797302,-0.26792908,0.020950317,0.054977417
15h15m26s162ms,10.120941,-0.32746887,-0.6749115,0.08797302,0.031707764,-0.010070801,-0.22291565
