
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h43m37s6ms,0.8317566,9.522385,0.58395386,0.47761536,-0.057678223,0.28269958,-0.11994934
18h43m37s82ms,-0.11540222,9.711685,1.1587219,0.33345795,0.01713562,0.47166443,0.13189697
18h43m37s152ms,0.49520874,9.833618,0.6955414,0.26294962,0.049942017,0.2849121,-0.0131073
18h43m37s220ms,0.34884644,9.9939575,0.2720642,0.23729706,-0.10983276,0.17030334,0.0018310547
18h43m37s294ms,-0.2207489,11.213821,0.7202759,0.4338104,-0.13731384,0.27856445,-0.09535217
18h43m37s365ms,-1.2257385,11.824768,0.9117279,0.4604767,0.1877594,0.35951233,-0.13191223
18h43m37s438ms,-0.64663696,11.306702,0.17843628,0.52622986,-0.05303955,0.19888306,-0.30786133
18h43m37s512ms,-0.79737854,10.668106,0.27374268,0.6295624,0.23400879,0.41937256,-0.4626007
18h43m37s582ms,-1.4371796,10.205856,0.2239685,0.68994445,0.08319092,0.38891602,-0.30021667
18h43m37s655ms,-1.2371674,10.085541,-0.18798828,0.47003478,-0.37039185,0.27172852,-0.1907196
18h43m37s730ms,-1.7503357,10.483826,0.20063782,0.42750245,-0.022781372,0.34094238,-0.10534668
18h43m37s800ms,-1.813736,10.003326,0.543396,0.41998902,0.04208374,0.26072693,0.031951904
18h43m37s873ms,-1.4841309,9.587494,0.30130005,0.3754364,0.21287537,0.24630737,0.0491333
18h43m37s944ms,-1.4191589,9.46373,-0.4197998,0.30773926,0.24325562,0.36439514,0.19096375
18h43m38s17ms,-0.8078766,8.746902,0.59298706,0.42704162,-0.006668091,0.18852234,0.08592224
18h43m38s87ms,-0.8948517,8.90686,1.2097626,0.37937623,-0.18412781,0.08898926,-0.025344849
18h43m38s161ms,-1.0662079,8.808533,2.6727142,0.3029419,0.32307434,0.08854675,-0.026519775
18h43m38s231ms,-1.1728058,9.273407,1.2779846,0.31275025,-0.03617859,-0.09806824,0.10147095
18h43m38s305ms,-0.8086395,9.4236145,1.3023224,0.31803894,-0.040039063,0.058914185,0.17733765
18h43m38s379ms,-0.9146881,9.518509,0.88186646,0.19365235,-0.022064209,-0.03173828,0.14074707
18h43m38s449ms,-0.41941833,9.269501,0.852005,0.21146241,-0.024871826,-0.01260376,0.076416016
18h43m38s523ms,-0.14680481,9.237656,0.45440674,0.1981659,-0.050750732,-0.012710571,-0.038375854
18h43m38s593ms,-0.15965271,9.440018,0.6457367,0.14566346,-0.08493042,-0.059051514,0.0460968
18h43m38s668ms,-0.55184937,9.821518,0.72735596,0.191922,0.061447144,-0.019088745,0.048355103
18h43m38s741ms,-0.37849426,9.785675,0.22349548,0.18011169,0.15010071,0.037857056,0.13597107
18h43m38s812ms,-0.010940552,9.489243,0.29260254,0.18959656,0.020217896,0.100234985,0.14135742
18h43m38s885ms,-0.112457275,10.1319275,0.28578186,0.31176454,0.09724426,0.17114258,0.0887146
18h43m38s955ms,-0.40242004,10.040115,0.48635864,0.28965455,0.14379883,0.14471436,0.18623352
18h43m39s29ms,-0.6887665,9.2582855,0.16661072,0.36972046,0.1078949,-0.02746582,0.36808777
18h43m39s105ms,-0.1867218,9.4236145,0.36167908,0.39561766,0.07337952,0.24684143,0.24310303
18h43m39s173ms,-0.19996643,9.503082,0.05316162,0.35222474,-0.054779053,0.021118164,0.20811462
18h43m39s243ms,0.042312622,9.033752,0.3028412,0.3175537,0.10095215,0.026931763,0.17167664
18h43m39s317ms,0.7009125,8.997833,-0.48965454,0.30637512,-0.32128906,0.04676819,-0.13746643
18h43m39s390ms,-0.13934326,9.692612,0.10345459,0.28896484,-0.102508545,-0.097976685,-0.17279053
18h43m39s460ms,-0.24502563,9.880508,0.93769836,0.2934784,0.15475464,0.019866943,0.011581421
18h43m39s534ms,-0.019729614,9.573639,0.07191467,0.33895874,0.012069702,0.0010223389,-0.051208496
18h43m39s608ms,0.12619019,9.336441,0.22239685,0.29253235,0.023406982,0.055358887,-0.12124634
18h43m39s679ms,-0.017044067,9.471268,0.024291992,0.31231385,-0.029693604,-0.001373291,-0.016998291
18h43m39s753ms,0.40483093,9.716293,0.17756653,0.22236328,-0.09979248,-0.026824951,-0.10317993
18h43m39s822ms,-0.0023956299,10.136307,0.54515076,0.2687866,0.047454834,-0.055877686,-0.103027344
18h43m39s892ms,-0.30560303,10.138245,0.38269043,0.2078003,0.06576538,-0.1158905,0.0037384033
18h43m39s967ms,0.072891235,9.804794,0.15301514,0.22705078,0.060913086,-0.0035552979,0.06628418
18h43m40s40ms,0.45986938,9.6536255,0.0677948,0.23031922,-0.18077087,-0.065460205,-0.09861755
18h43m40s111ms,-0.4030304,10.024475,0.7322235,0.255484,0.061340332,-0.036499023,0.011520386
18h43m40s184ms,-0.07077026,9.8285675,0.2657013,0.21066284,-0.021606445,-0.10177612,0.016601563
18h43m40s258ms,0.026397705,9.621216,0.51016235,0.2517456,0.19296265,-0.077301025,0.089416504
18h43m40s329ms,-0.13761902,9.618393,0.67414856,0.18562011,-0.08534241,-0.1910553,0.0049743652
18h43m40s402ms,0.08465576,9.674835,0.41641235,0.16667481,0.14308167,-0.12913513,0.035308838
18h43m40s472ms,-0.21551514,9.701035,0.48095703,0.09774475,0.06059265,-0.25569153,0.07775879
18h43m40s547ms,-0.33724976,9.5716095,0.5020447,0.08444824,-0.01109314,-0.21020508,-0.053344727
18h43m40s617ms,-0.17796326,9.8042755,0.42778015,0.08951111,0.005218506,-0.21939087,-0.046035767
18h43m40s690ms,0.035614014,9.750244,0.046707153,0.099752806,-0.12954712,-0.24130249,0.052505493
18h43m40s759ms,-0.021820068,9.720352,0.6632843,0.09444275,0.09379578,-0.16899109,0.056854248
18h43m40s833ms,0.17585754,9.533005,0.3456421,0.12667236,-0.0068969727,-0.20993042,-0.024093628
18h43m40s907ms,0.14900208,9.671707,0.52259827,0.12852784,0.045013428,-0.20671082,0.0021362305
18h43m40s978ms,0.3660431,9.662704,0.27392578,0.08379517,0.113342285,-0.15461731,0.0074920654
18h43m41s50ms,0.4528656,9.623459,0.12861633,0.08083801,-0.24932861,-0.26649475,-0.08201599
18h43m41s121ms,0.1717987,9.872971,0.25556946,0.12476196,0.11682129,0.007904053,-0.06340027
18h43m41s195ms,0.16410828,9.968369,0.54248047,0.10637207,0.07408142,0.02319336,-0.053588867
18h43m41s269ms,0.016586304,9.89447,0.37660217,0.09341125,-0.042556763,0.011581421,0.041641235
18h43m41s338ms,-0.2544098,9.694183,0.5284424,0.13166809,-0.0579834,0.062072754,0.101989746
18h43m41s412ms,-0.22076416,9.513275,0.12992859,0.1600006,-0.16537476,0.09208679,0.10209656
18h43m41s484ms,-0.17289734,9.564667,0.6991272,0.12037659,-0.024642944,0.1390686,0.11251831
18h43m41s556ms,-0.00843811,9.49556,0.25982666,0.11511841,-0.12097168,0.13743591,0.09524536
