
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h44m12s189ms,0.75946045,9.594284,0.29690552,0.40571594,-0.056854248,-0.042007446,-0.056137085
18h44m12s262ms,0.58903503,9.653961,0.42852783,0.23269653,0.019973755,-0.10752869,0.016448975
18h44m12s354ms,0.74246216,9.567261,0.48246765,0.18403117,-0.012527466,-0.18249512,0.004058838
18h44m12s409ms,0.67848206,9.672745,0.36779785,0.16439438,-0.014587402,-0.14318848,0.01574707
18h44m12s478ms,0.70599365,9.765442,0.062454224,0.15005493,0.0011444092,-0.1497345,-0.012298584
18h44m12s551ms,0.86569214,9.6707,0.15872192,0.08786011,-0.13075256,-0.17782593,-0.037979126
18h44m12s625ms,0.73931885,9.7191925,0.20153809,0.08562317,-0.012786865,-0.18119812,-0.036453247
18h44m12s695ms,0.6480408,9.7378235,0.43670654,0.07200928,-0.045288086,-0.24343872,-0.04849243
18h44m12s768ms,0.70666504,9.679581,0.124298096,0.062561035,-0.13072205,-0.31202698,-0.11244202
18h44m12s840ms,0.1754303,9.889023,0.4657898,0.08591004,-0.04020691,-0.2852478,-0.120788574
18h44m12s924ms,0.24459839,9.841202,0.745697,0.07652588,0.20071411,-0.1769867,-0.012542725
18h44m12s983ms,0.23278809,10.074478,0.36331177,0.11348267,0.034805298,-0.3265686,-0.014877319
18h44m13s58ms,-0.03742981,9.815811,0.6299591,0.16148987,0.11984253,-0.295578,0.08509827
18h44m13s129ms,0.16442871,9.416748,0.5231781,0.22965392,0.03440857,-0.3507843,0.06732178
18h44m13s200ms,0.509964,9.208572,0.8084259,0.22940063,0.05155945,-0.2957611,-0.0155181885
18h44m13s274ms,0.5653534,9.38681,0.6086273,0.255484,-0.08425903,-0.46704102,0.002029419
18h44m13s345ms,0.27381897,9.515854,1.2847748,0.23463745,0.06765747,-0.26538086,-0.052886963
18h44m13s418ms,0.7175751,9.819077,0.41201782,0.24354859,-0.16586304,-0.2390747,-0.07180786
18h44m13s488ms,0.83180237,9.650742,0.6793823,0.19740295,-0.106536865,-0.2891693,0.0034484863
18h44m13s563ms,0.46910095,9.691162,1.040451,0.16385193,-0.050094604,-0.15202332,-0.047805786
18h44m13s636ms,0.9403229,9.598267,0.5194397,0.14678344,0.07058716,-0.06687927,-0.0012969971
18h44m13s707ms,1.0178528,9.6905365,0.49996948,0.1394287,-0.20452881,-0.16215515,-0.10090637
18h44m13s776ms,0.43798828,10.117828,1.1536407,0.16424255,0.051498413,0.028686523,0.079711914
18h44m13s849ms,0.1602478,10.474182,0.7467804,0.20184632,0.14480591,0.15786743,0.19335938
18h44m13s923ms,0.52597046,9.530197,0.17372131,0.3825592,-0.0032653809,0.21903992,0.15249634
18h44m13s994ms,0.67375183,9.146393,0.84513855,0.44074097,-0.07295227,0.16314697,0.063430786
18h44m14s78ms,0.20983887,9.787933,0.8229828,0.5505951,-0.16575623,0.022140503,-0.060165405
18h44m14s141ms,-0.26106262,9.973373,1.2658234,0.50222474,-0.0052337646,0.03691101,0.030288696
18h44m14s212ms,0.111831665,9.793045,0.4394226,0.46701965,-0.050872803,-0.023376465,0.0054016113
18h44m14s286ms,0.3615265,9.510132,0.14709473,0.3348053,-0.069381714,-0.09037781,-0.06695557
18h44m14s355ms,0.37878418,9.526947,0.7052002,0.26140746,0.0063323975,-0.16500854,-0.040542603
18h44m14s430ms,0.2523651,9.599915,0.72161865,0.14769287,0.029312134,-0.18478394,-0.012496948
18h44m14s503ms,0.57011414,9.468506,0.2877655,0.1368866,-0.047225952,-0.21914673,-0.12527466
18h44m14s574ms,0.41197205,9.42778,0.4870758,0.10896607,0.009262085,-0.22753906,-0.051834106
18h44m14s642ms,0.5576477,9.701462,0.401062,0.107119754,-0.060638428,-0.26226807,-0.07991028
18h44m14s716ms,0.3039856,10.027481,0.63690186,0.16896057,0.019958496,-0.26446533,0.013244629
18h44m14s790ms,0.6396942,10.251022,0.31045532,0.19907531,-0.05961609,-0.26261902,0.0034484863
